Date,Td,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day)
2020/02/26,2.66,445,544.57,123,149.86,12,14.00,2,3.86
2020/02/27,2.85,650,765.14,205,220.57,17,18.43,5,4.43
2020/02/28,2.98,888,1023.29,238,258.14,21,25.00,4,6.57
2020/02/29,3.12,1128,1334.71,240,311.43,29,34.86,8,9.86
2020/03/01,3.24,1694,1712.43,566,377.71,34,48.43,5,13.57
2020/03/02,3.35,2036,2170.71,342,458.29,52,67.14,18,18.71
2020/03/03,3.43,2502,2706.14,466,535.43,79,92.29,27,25.14
2020/03/04,3.55,3089,3385.43,587,679.29,107,121.43,28,29.14
2020/03/05,3.66,3858,4197.00,769,811.57,148,168.86,41,47.43
2020/03/06,3.84,4636,5216.43,778,1019.43,197,227.57,49,58.71
2020/03/07,3.95,5883,6308.86,1247,1092.43,233,306.43,36,78.86
2020/03/08,4.12,7375,7647.86,1492,1339.00,366,409.29,133,102.86
2020/03/09,4.31,9172,9255.71,1797,1607.86,463,533.29,97,124.00
2020/03/10,4.49,10149,11116.29,977,1860.57,631,686.00,168,152.71
2020/03/11,4.70,12462,13298.29,2313,2182.00,827,858.57,196,172.57
2020/03/12,4.92,15113,15780.00,2651,2481.71,1016,1064.71,189,206.14
2020/03/13,5.15,17660,18466.86,2547,2686.86,1266,1306.86,250,242.14
2020/03/14,5.41,21157,21517.86,3497,3051.00,1441,1574.29,175,267.43
2020/03/15,5.68,24747,24839.43,3590,3321.57,1809,1881.57,368,307.29
2020/03/16,6.01,27980,28542.57,3233,3703.14,2158,2222.86,349,341.29
2020/03/17,6.43,31506,32737.00,3526,4194.43,2503,2618.00,345,395.14
2020/03/18,6.94,35713,37368.57,4207,4631.57,2978,3101.43,475,483.43
2020/03/19,7.51,41035,42281.57,5322,4913.00,3405,3625.14,427,523.71
2020/03/20,8.14,47021,47416.86,5986,5135.29,4032,4185.00,627,559.86
2020/03/21,8.86,53578,52798.29,6557,5381.43,4825,4801.71,793,616.71
2020/03/22,9.64,59138,58323.00,5560,5524.71,5475,5448.14,650,646.43
2020/03/23,10.53,63927,63973.57,4789,5650.57,6077,6135.29,602,687.14
2020/03/24,11.49,69176,69613.14,5249,5639.57,6820,6864.14,743,728.86
2020/03/25,12.51,74386,75169.43,5210,5556.29,7503,7606.71,683,742.57
2020/03/26,13.60,80589,80676.71,6203,5507.29,8215,8364.43,712,757.71
2020/03/27,14.73,86498,86078.43,5909,5401.71,9134,9152.14,919,787.71
2020/03/28,15.89,92472,91309.29,5974,5230.86,10023,9953.29,889,801.14
2020/03/29,17.15,97689,96479.00,5217,5169.71,10779,10760.71,756,807.43
2020/03/30,18.37,101739,101429.29,4050,4950.29,11591,11575.00,812,814.29
2020/03/31,19.58,105792,106190.57,4053,4761.29,12428,12367.43,837,792.43
2020/04/01,20.73,110574,110784.86,4782,4594.29,13155,13130.14,727,762.71
2020/04/02,21.85,115241,115250.43,4667,4465.57,13915,13859.86,760,729.71
2020/04/03,22.99,119827,119651.57,4586,4401.14,14681,14564.43,766,704.57
2020/04/04,24.05,124632,123907.86,4805,4256.29,15362,15235.71,681,671.29
2020/04/05,25.14,128948,128029.00,4316,4121.14,15887,15880.57,525,644.86
2020/04/06,26.25,132547,132084.00,3599,4055.00,16523,16504.00,636,623.43
2020/04/07,27.35,135586,136048.29,3039,3964.29,17127,17099.43,604,595.43
2020/04/08,28.65,139422,139996.71,3836,3948.43,17669,17686.00,542,586.57
2020/04/09,30.13,143626,143913.14,4204,3916.43,18279,18259.14,610,573.14
2020/04/10,31.75,147577,147765.86,3951,3852.71,18849,18822.29,570,563.14
2020/04/11,33.51,152271,151609.00,4694,3843.14,19468,19385.14,619,562.86
2020/04/12,34.97,156363,155285.14,4092,3676.14,19899,19953.14,431,568.00
2020/04/13,36.64,159516,158901.57,3153,3616.43,20465,20509.00,566,555.86
2020/04/14,38.39,162488,162452.57,2972,3551.00,21067,21065.57,602,556.57
2020/04/15,40.18,165155,165831.71,2667,3379.14,21645,21602.57,578,537.00
2020/04/16,41.96,168941,169061.57,3786,3229.86,22170,22139.86,525,537.29
2020/04/17,43.69,172434,172163.29,3493,3101.71,22745,22661.14,575,521.29
2020/04/18,45.63,175925,175230.29,3491,3067.00,23227,23172.71,482,511.57
2020/04/19,48.39,178972,178397.71,3047,3167.43,23660,23664.14,433,491.43
2020/04/20,51.22,181228,181402.29,2256,3004.57,24114,24146.86,454,482.71
2020/04/21,54.54,183957,184339.43,2729,2937.14,24648,24607.43,534,460.57
2020/04/22,57.85,187327,187114.57,3370,2775.14,25085,25058.43,437,451.00
2020/04/23,61.56,189973,189786.43,2646,2671.86,25549,25484.71,464,426.29
