date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-2-4,10,0,0,7.285714285714285,2.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,,,,0.0
2020-2-5,12,0,0,8.142857142857142,2.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,3.964804439232978,3.399999999999999,0.7058823529411764,0.0
2020-2-6,12,0,0,8.857142857142856,0.0,0.7142857142857142,0.0,0.0,0.0,0.0,0.0,5.096623256150263,2.5909090909090913,0.6140350877192982,0.0
2020-2-7,12,0,1,9.428571428571429,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,6.683817247651918,2.0666666666666664,0.5161290322580645,0.0
2020-2-8,16,0,1,9.999999999999998,4.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,8.788817946685148,1.736842105263158,0.4242424242424242,0.0
2020-2-9,16,0,1,11.142857142857142,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,9.95706708623416,1.6279069767441858,0.3857142857142857,0.0
2020-2-10,18,0,1,12.285714285714285,2.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,9.578368861761291,1.6595744680851066,0.39743589743589747,0.0
2020-2-11,18,0,3,13.714285714285714,0.0,1.4285714285714284,0.0,0.0,0.0,0.0,0.0,9.285797322063832,1.6862745098039218,0.40697674418604657,0.0
2020-2-12,18,0,3,14.857142857142856,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,9.307613461637937,1.6842105263157894,0.40625,0.0
2020-2-13,19,0,3,15.714285714285712,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,9.380317369993467,1.67741935483871,0.40384615384615385,0.0
2020-2-14,19,0,3,16.714285714285715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.498408141997071,1.6666666666666663,0.3999999999999999,0.0
2020-2-15,22,0,7,17.71428571428571,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.445652179885467,1.671428571428572,0.40170940170940184,0.0
2020-2-16,22,0,7,18.57142857142857,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,10.4665996436098,1.5897435897435896,0.37096774193548376,0.0
2020-2-17,22,0,7,19.428571428571427,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,11.742935893758853,1.5116279069767442,0.3384615384615385,0.0
2020-2-18,22,0,13,19.999999999999996,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,13.93033881853353,1.4166666666666667,0.2941176470588235,0.0
2020-2-19,22,0,15,20.57142857142857,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,16.32297862534948,1.346153846153846,0.2571428571428571,0.0
2020-2-20,22,0,15,21.142857142857142,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,18.0149905760071,1.309090909090909,0.23611111111111116,0.0
2020-2-21,22,0,15,21.57142857142857,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,20.643569407687522,1.264957264957265,0.20945945945945943,0.0
2020-2-22,22,0,15,22.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,24.629811389309744,1.217741935483871,0.17880794701986757,0.0
2020-2-23,22,0,15,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.639376642008976,1.1846153846153848,0.1558441558441559,0.0
2020-2-24,22,0,18,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.03555426127066,1.1323529411764708,0.11688311688311692,0.0
2020-2-25,22,0,18,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.90778628139199,1.1,0.09090909090909105,0.0
2020-2-26,22,0,18,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2681061442339,1.0694444444444446,0.06493506493506507,0.0
2020-2-27,23,0,18,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.09336029179867,1.0405405405405406,0.038961038961038974,0.0
2020-2-28,23,0,18,22.142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,246.63691739604874,1.0198675496688743,0.019480519480519543,0.0
2020-2-29,25,0,18,22.285714285714285,2.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,749.6360587077127,1.0064935064935066,0.006451612903225823,0.0
2020-3-1,29,0,18,22.714285714285715,4.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,376.0271281590202,1.0129870129870129,0.012820512820512775,0.0
2020-3-2,29,0,18,23.71428571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,151.85562830306233,1.0324675324675325,0.03144654088050314,0.0
2020-3-3,36,0,22,24.714285714285715,7.0,1.0,0.0,0.0,0.0,0.0,0.0,64.66340028278198,1.0779220779220777,0.07228915662650592,0.0
2020-3-4,50,0,22,26.714285714285715,14.0,2.0,0.0,0.0,0.0,0.0,0.0,41.705967853065715,1.1233766233766234,0.10982658959537572,0.0
2020-3-5,50,0,22,30.71428571428571,0.0,4.0,0.0,0.0,0.0,0.0,0.0,24.990368070184655,1.2142857142857144,0.17647058823529416,0.0
2020-3-6,83,0,22,34.57142857142857,33.0,3.857142857142857,0.0,0.0,0.0,0.0,0.0,14.828358227066255,1.3870967741935483,0.2790697674418604,0.0
2020-3-7,93,0,23,43.14285714285714,10.0,8.571428571428571,0.0,0.0,0.0,0.0,0.0,11.050403728936967,1.5512820512820513,0.3553719008264463,0.0
2020-3-8,99,0,24,52.857142857142854,6.0,9.714285714285714,0.0,0.0,0.0,0.0,0.0,7.563301178540381,1.8993710691823897,0.4735099337748344,0.0
2020-3-9,117,0,24,62.85714285714285,18.0,10.0,0.0,0.0,0.0,0.0,0.0,6.053572233319386,2.2289156626506026,0.5513513513513514,0.0
2020-3-10,129,0,24,75.42857142857142,12.0,12.571428571428571,0.0,0.0,0.0,0.0,0.0,5.197769617292878,2.543352601156069,0.6068181818181817,0.0
2020-3-11,149,0,26,88.71428571428571,20.0,13.285714285714285,0.0,0.0,0.0,0.0,0.0,4.674458492013044,2.8235294117647056,0.6458333333333333,0.0
2020-3-12,149,0,26,102.85714285714286,0.0,14.142857142857139,0.0,0.0,0.0,0.0,0.0,4.574396189840508,2.8883720930232557,0.6537842190016103,0.0
2020-3-13,197,0,26,116.99999999999997,48.0,14.142857142857139,0.0,0.0,0.0,0.0,0.0,4.450124048609576,2.9752066115702482,0.663888888888889,0.0
2020-3-14,238,0,35,133.28571428571428,41.0,16.285714285714285,0.0,0.0,0.0,0.0,0.0,4.863424945254613,2.7119205298013243,0.6312576312576312,0.0
2020-3-15,428,0,42,153.99999999999997,190.0,20.71428571428571,0.0,0.0,0.0,0.0,0.0,5.245992807729058,2.521621621621621,0.6034297963558414,0.0
2020-3-16,566,0,42,200.99999999999997,138.0,47.0,0.0,0.0,0.0,0.0,0.0,5.4146804007567155,2.4499999999999997,0.5918367346938775,0.0
2020-3-17,673,2,49,265.1428571428571,107.0,64.14285714285714,0.0,2.0,0.0,0.0,0.06178970799728744,4.950451308108145,2.664772727272728,0.6247334754797442,0.0
