Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,526,34.00,525.14,4.86,1,0.14,0.00,0.00,0.00,0.00,1271.58,1.00,0.00
Akita,16,0.00,16.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Aomori,27,1.00,27.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Chiba,1030,46.00,999.14,6.57,11,9.00,0.14,1.00,0.14,0.00,87.09,1.83,1.59
Ehime,82,5.00,82.00,0.71,0,0.00,0.00,0.00,0.00,0.00,,,1.59
Fukui,122,8.00,122.00,1.14,0,0.00,0.00,0.00,0.00,0.00,,,1.59
Fukuoka,878,33.00,863.86,4.71,1,4.00,0.08,0.00,0.00,0.00,207.14,3.42,0.00
Fukushima,82,0.00,82.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Gifu,163,7.00,160.00,1.00,3,0.86,0.04,0.00,0.00,0.00,191.64,,0.00
Gunma,155,19.00,154.14,2.71,0,0.29,0.01,0.00,0.00,0.00,371.52,1.64,0.00
Hiroshima,171,3.00,169.29,0.43,2,0.29,0.01,0.00,0.00,0.00,636.42,,0.00
Hokkaido,1277,101.00,1272.86,14.43,0,2.00,0.04,0.00,0.29,0.01,120.37,0.40,14.29
Hyogo,716,45.00,710.00,6.43,4,1.43,0.03,0.00,0.00,0.00,615.89,3.16,0.00
Ibaraki,187,10.00,181.57,1.43,1,1.86,0.07,0.00,0.00,0.00,90.99,2.32,0.00
Ishikawa,300,27.00,300.00,3.86,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Iwate,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagawa,28,0.00,28.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagoshima,110,0.00,58.14,0.00,3,14.00,0.88,0.00,0.00,0.00,2.91,,0.00
Kanagawa,1605,96.00,1560.71,13.71,9,13.86,0.15,0.00,0.00,0.00,73.27,1.35,0.00
Kochi,74,3.00,74.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kumamoto,49,3.00,49.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kyoto,404,18.00,389.57,2.57,3,3.29,0.13,0.00,0.00,0.00,88.80,1.43,0.00
Mie,46,1.00,46.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Miyagi,98,1.00,96.43,0.14,0,0.57,0.02,0.00,0.00,0.00,103.20,1.00,0.00
Miyazaki,18,0.00,17.29,0.00,0,0.14,0.01,0.00,0.00,0.00,291.12,,0.00
Nagano,77,,77.00,,0,0.00,0.00,,,,,,0.00
Nagasaki,18,1.00,17.29,0.14,0,0.14,0.01,0.00,0.00,0.00,291.12,,0.00
Nara,98,2.00,94.00,0.29,2,0.86,0.06,0.00,0.00,0.00,225.61,,0.00
Niigata,85,0.00,84.29,0.00,0,0.14,0.01,0.00,0.00,0.00,1428.92,,0.00
Oita,60,1.00,60.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Okayama,28,,27.71,,0,0.29,0.02,,,,75.99,,
Okinawa,142,7.00,142.00,1.00,0,0.00,0.00,0.00,0.00,0.00,,,
Osaka,1905,86.00,1868.43,12.29,12,8.86,0.10,0.00,0.00,0.00,162.39,4.75,0.00
Saga,47,0.00,47.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Saitama,1282,67.00,1213.71,9.57,27,19.43,0.26,1.00,0.29,0.00,48.74,1.62,1.47
Shiga,103,1.00,103.00,0.14,0,0.00,0.00,0.00,0.00,0.00,247.45,,1.47
Shimane,24,0.00,24.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,1.47
Shizuoka,86,1.00,84.57,0.14,0,0.71,0.02,0.00,0.00,0.00,93.30,3.16,0.00
Tochigi,87,0.00,84.57,0.00,0,1.14,0.06,0.00,0.00,0.00,25.12,0.85,0.00
Tokushima,9,1.00,6.43,0.14,3,0.43,0.06,0.00,0.00,0.00,41.19,2.19,0.00
Tokyo,6973,325.00,6639.00,46.43,106,97.29,0.70,0.00,0.00,0.00,52.89,1.68,0.00
Tottori,4,0.00,3.86,0.00,0,0.14,0.03,0.00,0.00,0.00,19.31,,0.00
Toyama,228,22.00,227.86,3.14,0,0.14,0.01,0.00,0.00,0.00,1287.40,,0.00
Wakayama,64,3.00,64.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Yamagata,71,0.00,69.71,0.00,0,0.29,0.03,0.00,0.00,0.00,471.13,,0.00
Yamaguchi,37,0.00,37.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Yamanashi,75,1.00,75.00,0.14,0,0.00,0.00,0.00,0.00,0.00,147.40,,0.00
Zenkoku,19667,979.00,19034.57,139.86,188,181.57,0.14,2.00,0.71,0.00,81.18,1.73,0.39
