Pref.,Total cases(ave7),cases(ave7),Total deaths(ave7),deaths(ave7),Td,Rt,K,CFR
Aichi,507.14285714285717,0.14285714285714285,4.857142857142857,0.0,2458.2456777868138,1.0,0.001971830985915579,0.0
Akita,15.999999999999996,0.0,0.0,0.0,nan,nan,0.0,0.0
Aomori,27.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.0
Chiba,906.5714285714287,0.7142857142857142,6.285714285714286,0.2857142857142857,1229.2117510390174,1.1727931963588538,0.003939489442168598,0.5
Ehime,81.71428571428571,0.14285714285714285,0.5714285714285714,0.14285714285714285,87.07924078069225,0.24909129060994623,0.054195804195804276,0.14285714285714288
Fukui,122.0,0.0,1.1428571428571428,0.0,nan,nan,0.0,0.14285714285714288
Fukuoka,709.1428571428571,12.285714285714285,3.571428571428571,0.0,67.1559828380416,5.454065278463166,0.06970185334407741,0.0
Fukushima,81.0,0.0,0.0,0.0,nan,nan,0.0,0.0
Gifu,150.1428571428571,0.14285714285714285,1.0,0.0,5097.057407349784,nan,0.0009514747859181716,0.0
Gunma,148.99999999999997,0.0,2.714285714285714,0.14285714285714285,1684.462008616511,nan,0.0028763183125598557,1.0
Hiroshima,167.14285714285714,0.14285714285714285,0.42857142857142855,0.14285714285714285,1416.791452351679,1.0,0.0034188034188032956,1.0
Hokkaido,1075.5714285714284,4.857142857142857,11.571428571428571,0.7142857142857142,108.25566872735135,0.9066481774549463,0.04383052198167081,0.1282051282051282
Hyogo,699.0,0.0,5.7142857142857135,0.2857142857142857,nan,nan,0.0,0.1282051282051282
Ibaraki,168.0,0.0,1.2857142857142856,0.0,nan,nan,0.0,0.1282051282051282
Ishikawa,297.2857142857142,0.2857142857142857,3.4285714285714284,0.2857142857142857,334.1372794739916,0.5197052890437638,0.014416146083613413,0.4
Iwate,0.0,0.0,0.0,0.0,nan,nan,nan,0.4
Kagawa,28.0,0.0,0.0,0.0,nan,nan,0.0,0.4
Kagoshima,10.0,0.0,0.0,0.0,nan,nan,0.0,0.4
Kanagawa,1352.142857142857,4.857142857142857,10.428571428571429,0.7142857142857142,170.8623763642042,0.770248032901221,0.027997886951928175,0.10204081632653061
Kochi,74.0,0.0,0.42857142857142855,0.0,nan,nan,0.0,0.10204081632653061
Kumamoto,47.99999999999999,0.0,0.42857142857142855,0.0,nan,nan,0.0,0.10204081632653061
Kyoto,358.0,0.0,2.142857142857143,0.14285714285714285,nan,nan,0.0,0.10204081632653061
Mie,45.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.10204081632653061
Miyagi,88.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.10204081632653061
Miyazaki,17.0,0.0,0.0,0.0,nan,nan,0.0,0.10204081632653061
Nagano,76.0,0.0,nan,nan,nan,nan,0.0,0.10204081632653061
Nagasaki,17.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.10204081632653061
Nara,91.85714285714285,0.14285714285714285,0.2857142857142857,0.0,443.26319605160114,1.0,0.010886469673405785,0.0
Niigata,83.0,0.0,0.0,0.0,nan,nan,0.0,0.0
Oita,59.99999999999999,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.0
Okayama,24.999999999999993,0.0,nan,nan,nan,nan,0.0,0.0
Okinawa,141.99999999999997,0.0,0.8571428571428571,0.0,nan,nan,0.0,0.0
Osaka,1782.1428571428573,0.2857142857142857,11.142857142857142,1.1428571428571428,2239.390795559269,0.3167639217533158,0.0021643286573148623,0.8
Saga,47.0,0.0,0.0,0.0,nan,nan,0.0,0.8
Saitama,1002.1428571428571,0.42857142857142855,6.7142857142857135,0.14285714285714285,943.0439129033294,0.4962912517021799,0.005131860299358748,0.12500000000000003
Shiga,99.99999999999997,0.0,0.14285714285714285,0.0,846.6769639380068,nan,0.005714285714285561,0.0
Shimane,23.999999999999996,0.0,0.0,0.0,nan,nan,0.0,0.0
Shizuoka,75.71428571428571,0.14285714285714285,0.14285714285714285,0.0,211.86272826765114,0.6095068271022377,0.022641509433962148,0.0
Tochigi,65.0,0.0,0.0,0.0,198.2617051755695,nan,0.0241758241758242,0.0
Tokushima,5.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.0
Tokyo,5211.142857142857,11.285714285714285,41.14285714285714,6.285714285714285,285.8282937506144,0.911088186821673,0.016832063161357658,0.4888888888888889
Tottori,2.9999999999999996,0.0,0.0,0.0,nan,nan,0.0,0.4888888888888889
Toyama,226.99999999999994,0.0,3.0,0.14285714285714285,nan,nan,0.0,0.4888888888888889
Wakayama,63.0,0.0,0.42857142857142855,0.0,nan,nan,0.0,0.4888888888888889
Yamagata,68.99999999999999,0.0,0.0,0.0,nan,nan,0.0,0.4888888888888889
Yamaguchi,37.0,0.0,0.0,0.0,nan,nan,0.0,0.4888888888888889
Yamanashi,62.28571428571428,0.5714285714285714,0.14285714285714285,0.14285714285714285,115.08389352715191,1.640670712015276,0.041284403669724856,0.5
Zenkoku,16445.142857142855,36.42857142857143,120.85714285714285,10.714285714285715,312.95242291646656,1.0665685088977073,0.015384481740157607,0.32188841201716745
