Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,23368,379.00,22517.14,54.14,227,243.14,3.22,4.00,6.00,0.08,56.55,1.01,2.47
Akita,255,1.00,241.71,0.14,2,4.00,0.42,0.00,0.00,0.00,24.41,0.76,0.00
Aomori,699,13.00,679.43,1.86,4,5.57,0.45,2.00,0.57,0.05,60.42,0.63,10.26
Chiba,21448,228.00,20070.57,32.57,314,411.86,6.56,4.00,5.57,0.09,26.79,1.03,1.35
Ehime,970,18.00,927.14,2.57,1,14.86,1.12,1.00,0.29,0.02,31.70,0.93,1.92
Fukui,506,17.00,483.14,2.43,2,6.29,0.82,1.00,0.57,0.07,47.87,0.81,9.09
Fukuoka,15367,170.00,14696.57,24.29,0,220.57,4.32,0.00,2.71,0.05,30.74,0.87,1.23
Fukushima,1693,42.00,1601.14,6.00,15,25.00,1.37,2.00,1.14,0.06,36.67,0.96,4.57
Gifu,4142,67.00,3925.00,9.57,54,74.86,3.79,0.00,1.14,0.06,35.71,1.17,1.53
Gunma,3734,68.00,3589.86,9.71,33,43.86,2.28,1.00,1.00,0.05,42.97,0.88,2.28
Hiroshima,4700,91.00,4582.14,13.00,36,36.00,1.29,2.00,2.57,0.09,77.73,0.97,7.14
Hokkaido,17125,588.00,16649.14,84.00,115,132.29,2.54,3.00,5.29,0.10,76.68,1.00,4.00
Hyogo,15830,371.00,15034.29,53.00,211,237.14,4.36,2.00,8.43,0.15,37.93,1.05,3.55
Ibaraki,4600,60.00,4320.43,8.57,57,82.00,2.87,4.00,2.14,0.08,30.39,0.98,2.61
Ishikawa,1447,58.00,1415.86,8.29,5,10.57,0.94,1.00,0.43,0.04,59.19,0.76,4.05
Iwate,495,27.00,488.29,3.86,0,1.71,0.14,1.00,0.29,0.02,80.06,0.51,16.67
Kagawa,620,14.00,588.43,2.00,10,9.14,0.96,0.00,1.14,0.12,35.01,0.81,12.50
Kagoshima,1566,18.00,1511.29,2.57,10,15.14,0.95,0.00,0.43,0.03,38.26,1.16,2.83
Kanagawa,39592,432.00,37696.00,61.71,433,571.00,6.20,9.00,9.00,0.10,31.83,0.83,1.58
Kochi,835,14.00,820.71,2.00,6,4.00,0.58,1.00,0.14,0.02,73.29,0.82,3.57
Kumamoto,3299,59.00,3164.14,8.43,15,31.86,1.84,0.00,2.00,0.12,42.19,0.54,6.28
Kyoto,8091,109.00,7568.86,15.57,128,137.29,5.35,2.00,2.86,0.11,29.69,1.14,2.08
Mie,2129,29.00,1989.71,4.14,29,40.14,2.27,0.00,0.71,0.04,36.52,1.39,1.78
Miyagi,3345,22.00,3217.86,3.14,26,39.86,1.74,0.00,0.00,0.00,42.37,0.93,0.00
Miyazaki,1794,17.00,1721.57,2.43,17,20.57,1.93,0.00,0.43,0.04,33.02,0.74,2.08
Nagano,2256,34.00,2167.71,4.86,17,25.57,1.26,2.00,1.57,0.08,39.76,0.77,6.15
Nagasaki,1446,25.00,1379.14,3.57,11,20.57,1.57,2.00,1.00,0.08,29.24,0.84,4.86
Nara,2957,36.00,2842.57,5.14,25,34.43,2.60,0.00,0.57,0.04,46.99,1.06,1.66
Niigata,889,9.00,839.71,1.29,21,14.43,0.66,0.00,0.29,0.01,45.95,1.43,1.98
Oita,1115,16.00,1039.43,2.29,22,22.86,2.03,0.00,0.57,0.05,36.27,1.80,2.50
Okayama,2303,17.00,2230.57,2.43,18,21.29,1.13,0.00,0.14,0.01,52.36,0.83,0.67
Okinawa,7368,90.00,7004.00,12.86,98,96.71,6.63,0.00,0.29,0.02,45.64,1.17,0.30
Osaka,42824,895.00,41211.00,127.86,397,466.71,5.29,15.00,16.86,0.19,51.59,1.01,3.61
Saga,938,4.00,892.14,0.57,7,15.14,1.87,0.00,0.00,0.00,27.18,0.82,0.00
Saitama,24386,325.00,23206.43,46.43,292,348.71,4.75,5.00,5.00,0.07,34.41,0.93,1.43
Shiga,2067,28.00,1957.14,4.00,10,32.43,2.30,1.00,1.14,0.08,36.97,1.15,3.52
Shimane,254,0.00,244.86,0.00,4,2.14,0.32,0.00,0.00,0.00,98.97,1.44,0.00
Shizuoka,4468,76.00,4234.00,10.86,84,62.71,1.73,2.00,1.57,0.04,41.33,0.97,2.51
Tochigi,3687,41.00,3540.86,5.86,34,43.29,2.24,1.00,1.86,0.10,35.54,0.70,4.29
Tokushima,381,13.00,354.86,1.86,6,10.00,1.39,0.00,0.43,0.06,22.54,1.61,4.29
Tokyo,97571,847.00,93456.71,121.00,1064,1197.57,8.57,20.00,13.29,0.10,43.16,0.93,1.11
Tottori,198,2.00,191.14,0.29,0,2.00,0.36,0.00,0.00,0.00,51.19,1.05,0.00
Toyama,857,27.00,837.86,3.86,8,6.00,0.58,0.00,0.00,0.00,67.29,0.72,0.00
Wakayama,1032,13.00,983.29,1.86,8,14.86,1.63,0.00,0.29,0.03,33.66,0.99,1.92
Yamagata,480,13.00,462.43,1.86,7,3.86,0.36,0.00,0.00,0.00,102.96,1.78,0.00
Yamaguchi,1190,14.00,1085.00,2.00,21,29.14,2.17,2.00,1.29,0.10,18.22,0.93,4.41
Yamanashi,898,13.00,880.57,1.86,0,4.86,0.60,0.00,0.14,0.02,64.75,0.54,2.94
Zenkoku,377215,5450.00,360541.86,778.57,3904,4894.00,3.89,90.00,101.14,0.08,40.20,0.94,2.07
