Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,17090,227.00,16488.29,32.43,185,186.29,2.47,6.00,3.57,0.05,48.77,0.93,1.92
Akita,149,1.00,141.29,0.14,3,2.43,0.26,0.00,0.00,0.00,21.72,0.68,0.00
Aomori,516,8.00,486.29,1.14,10,9.00,0.73,0.00,0.00,0.00,30.81,1.34,0.00
Chiba,11877,124.00,11214.43,17.71,194,181.14,2.88,0.00,1.29,0.02,38.15,1.13,0.71
Ehime,493,13.00,470.29,1.86,9,6.86,0.52,0.00,0.14,0.01,30.04,0.94,2.08
Fukui,360,12.00,355.86,1.71,1,1.43,0.19,0.00,0.14,0.02,124.78,0.93,10.00
Fukuoka,9477,122.00,8847.43,17.43,703,127.43,2.50,3.00,0.57,0.01,42.43,1.14,0.45
Fukushima,1008,22.00,955.86,3.14,25,14.43,0.79,1.00,0.43,0.02,35.31,0.80,2.97
Gifu,2494,39.00,2330.14,5.57,52,50.29,2.55,1.00,1.14,0.06,25.84,1.16,2.27
Gunma,2449,46.00,2342.29,6.57,37,32.43,1.68,0.00,0.86,0.04,42.17,1.02,2.64
Hiroshima,3538,43.00,3305.86,6.14,72,68.43,2.45,2.00,2.86,0.10,23.55,0.82,4.18
Hokkaido,13778,476.00,13497.00,68.00,93,90.86,1.74,4.00,4.43,0.08,82.79,0.96,4.87
Hyogo,10333,229.00,9938.86,32.71,97,128.71,2.37,8.00,5.86,0.11,39.47,0.88,4.55
Ibaraki,2592,38.00,2484.71,5.43,32,30.14,1.06,0.00,0.29,0.01,49.18,1.17,0.95
Ishikawa,1119,51.00,1084.29,7.29,14,9.86,0.87,0.00,0.14,0.01,66.77,1.03,1.45
Iwate,394,24.00,387.57,3.43,0,2.00,0.16,0.00,0.14,0.01,59.05,0.49,7.14
Kagawa,315,3.00,305.86,0.43,4,2.71,0.29,0.00,0.00,0.00,28.70,0.37,0.00
Kagoshima,1060,14.00,1014.71,2.00,27,13.43,0.85,0.00,0.14,0.01,48.14,1.16,1.06
Kanagawa,22892,285.00,21628.86,40.71,412,378.29,4.11,2.00,3.57,0.04,32.79,1.05,0.94
Kochi,689,9.00,668.57,1.29,2,6.71,0.97,0.00,0.43,0.06,44.45,0.65,6.38
Kumamoto,1981,22.00,1873.57,3.14,34,34.57,1.99,1.00,0.86,0.05,31.07,0.92,2.48
Kyoto,4989,57.00,4680.43,8.14,186,76.29,2.97,4.00,1.43,0.06,34.87,0.89,1.87
Mie,1339,20.00,1297.57,2.86,15,13.00,0.74,1.00,0.57,0.03,61.60,1.14,4.40
Miyagi,2252,16.00,2189.00,2.29,20,21.14,0.92,0.00,0.29,0.01,39.15,0.65,1.35
Miyazaki,878,9.00,763.43,1.29,119,23.29,2.19,4.00,0.57,0.05,49.71,2.47,2.45
Nagano,1260,16.00,1201.57,2.29,18,17.14,0.84,0.00,0.29,0.01,49.99,1.39,1.67
Nagasaki,703,5.00,650.43,0.71,0,13.14,1.00,0.00,0.29,0.02,13.16,1.88,2.17
Nara,2130,25.00,2037.57,3.57,22,27.71,2.09,0.00,0.43,0.03,41.58,0.98,1.55
Niigata,572,3.00,547.00,0.43,7,7.43,0.34,0.00,0.00,0.00,38.54,0.94,0.00
Oita,730,6.00,695.86,0.86,10,10.86,0.97,0.00,0.14,0.01,35.09,1.20,1.32
Okayama,1473,13.00,1389.57,1.86,33,23.57,1.25,0.00,0.00,0.00,35.43,1.02,0.00
Okinawa,5487,83.00,5386.71,11.86,36,32.43,2.22,2.00,0.29,0.02,97.31,1.06,0.88
Osaka,31058,612.00,30239.14,87.43,286,239.86,2.72,11.00,7.14,0.08,75.54,1.05,2.98
Saga,500,3.00,472.71,0.43,23,6.14,0.76,0.00,0.00,0.00,59.77,1.21,0.00
Saitama,15180,219.00,14479.71,31.29,243,208.00,2.83,4.00,2.29,0.03,37.72,1.01,1.10
Shiga,1297,13.00,1204.86,1.86,37,24.29,1.72,0.00,0.29,0.02,29.93,1.11,1.18
Shimane,214,0.00,210.43,0.00,0,0.86,0.13,0.00,0.00,0.00,54.26,0.37,0.00
Shizuoka,2812,41.00,2715.29,5.86,24,29.43,0.81,0.00,0.14,0.00,59.77,1.12,0.49
Tochigi,1731,6.00,1535.57,0.86,69,54.57,2.82,0.00,0.00,0.00,17.78,1.63,0.00
Tokushima,201,9.00,198.14,1.29,2,0.86,0.12,0.00,0.00,0.00,246.82,1.64,0.00
Tokyo,63474,634.00,60815.86,90.57,884,796.86,5.70,2.00,2.29,0.02,46.91,1.14,0.29
Tottori,127,0.00,117.00,0.00,4,3.71,0.67,0.00,0.00,0.00,13.26,1.03,0.00
Toyama,577,26.00,560.43,3.71,5,4.14,0.40,0.00,0.00,0.00,75.88,0.81,0.00
Wakayama,661,7.00,629.29,1.00,9,8.71,0.95,0.00,0.00,0.00,79.44,3.40,0.00
Yamagata,402,9.00,389.57,1.29,5,3.43,0.32,0.00,0.43,0.04,46.90,0.71,12.50
Yamaguchi,609,3.00,586.71,0.43,12,6.86,0.51,0.00,0.00,0.00,32.17,0.81,0.00
Yamanashi,588,11.00,558.57,1.57,20,9.00,1.12,0.00,0.00,0.00,47.99,1.46,0.00
Zenkoku,245848,3654.00,235374.43,522.00,4095,3040.14,2.42,56.00,43.71,0.03,45.08,1.05,1.44
