Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,291722,1495.00,277109.14,213.57,4785,4526.57,60.03,25.00,16.43,0.22,30.62,0.94,0.36
Akita,8614,31.00,7993.86,4.43,225,174.57,18.34,0.00,0.00,0.00,26.54,1.13,0.00
Aomori,19158,54.00,17941.71,7.71,533,339.29,27.57,0.00,0.14,0.01,29.33,1.05,0.04
Chiba,250667,1263.00,239220.14,180.43,3681,3449.00,54.91,25.00,13.29,0.21,34.54,0.94,0.39
Ehime,15773,111.00,15107.29,15.86,276,184.14,13.88,1.00,0.86,0.06,44.16,1.01,0.47
Fukui,11147,39.00,10266.43,5.57,351,241.00,31.60,0.00,0.14,0.02,24.67,1.15,0.06
Fukuoka,218369,869.00,208922.57,124.14,3513,2763.86,54.12,14.00,10.57,0.21,36.86,0.87,0.38
Fukushima,22721,184.00,21846.43,26.29,349,256.29,14.00,0.00,0.29,0.02,42.14,0.97,0.11
Gifu,49763,260.00,47427.57,37.14,720,671.00,33.99,1.00,1.57,0.08,33.85,0.90,0.23
Gunma,48728,241.00,46715.29,34.43,740,573.71,29.78,2.00,1.71,0.09,41.68,0.94,0.30
Hiroshima,70087,364.00,68036.86,52.00,671,625.86,22.39,10.00,5.29,0.19,54.99,0.89,0.84
Hokkaido,161447,1709.00,154660.29,244.14,2393,2020.57,38.76,14.00,9.43,0.18,37.16,0.88,0.47
Hyogo,239990,1730.00,228822.71,247.14,4008,3646.14,67.04,9.00,13.14,0.24,31.48,0.93,0.36
Ibaraki,66845,271.00,63198.71,38.71,1219,1118.29,39.18,0.00,2.57,0.09,31.12,1.02,0.23
Ishikawa,22460,159.00,21357.14,22.71,470,329.43,29.15,0.00,0.57,0.05,35.44,1.06,0.17
Iwate,9059,58.00,8291.57,8.29,305,215.29,17.76,1.00,0.43,0.04,23.47,1.31,0.20
Kagawa,16764,66.00,15540.14,9.43,489,354.00,37.31,2.00,1.29,0.14,25.48,1.19,0.36
Kagoshima,29028,114.00,27681.57,16.29,529,379.86,23.93,2.00,1.71,0.11,35.90,0.90,0.45
Kanagawa,420530,1597.00,400912.43,228.14,5995,6007.57,65.20,33.00,16.29,0.18,35.15,0.97,0.27
Kochi,11159,71.00,10629.43,10.14,225,155.43,22.53,2.00,2.00,0.29,31.09,0.81,1.29
Kumamoto,45968,205.00,44104.14,29.29,696,535.29,30.84,4.00,2.43,0.14,42.24,0.90,0.45
Kyoto,116540,391.00,111165.57,55.86,2435,1566.57,60.99,9.00,5.43,0.21,35.41,0.94,0.35
Mie,38190,228.00,36366.29,32.57,755,525.71,29.74,2.00,2.14,0.12,35.07,0.96,0.41
Miyagi,37486,130.00,35397.43,18.57,847,605.29,26.40,0.00,0.57,0.02,31.05,1.04,0.09
Miyazaki,17510,82.00,16857.14,11.71,254,183.86,17.28,1.00,1.43,0.13,50.22,0.98,0.78
Nagano,29325,140.00,28126.57,20.00,447,356.71,17.54,0.00,1.57,0.08,39.35,0.91,0.44
Nagasaki,23550,103.00,22549.86,14.71,440,277.43,21.17,1.00,1.14,0.09,44.09,0.94,0.41
Nara,51147,243.00,47864.57,34.71,1389,947.14,71.59,10.00,5.14,0.39,26.94,1.03,0.54
Niigata,27413,66.00,26055.86,9.43,562,389.14,17.69,0.00,0.14,0.01,35.16,0.97,0.04
Oita,22155,94.00,21279.86,13.43,329,247.86,22.03,0.00,0.29,0.03,42.56,0.86,0.12
Okayama,45752,183.00,43974.86,26.14,710,520.00,27.62,3.00,1.14,0.06,40.24,0.86,0.22
Okinawa,96676,423.00,94869.43,60.43,737,514.29,35.25,0.00,0.29,0.02,108.15,1.09,0.06
Osaka,611261,3739.00,582128.71,534.14,11471,8494.43,96.34,49.00,32.86,0.37,33.73,0.91,0.39
Saga,21529,60.00,20476.71,8.57,379,301.00,37.21,1.00,1.29,0.16,32.73,0.88,0.43
Saitama,291233,1147.00,277005.86,163.86,4462,4357.29,59.34,1.00,3.14,0.04,33.26,1.00,0.07
Shiga,44542,131.00,41737.86,18.71,1040,800.00,56.64,2.00,1.57,0.11,28.57,1.08,0.20
Shimane,5957,8.00,5709.57,1.14,84,65.29,9.79,0.00,0.14,0.02,54.19,1.01,0.22
Shizuoka,81635,305.00,77279.86,43.57,1684,1273.71,35.20,3.00,4.00,0.11,32.88,1.01,0.31
Tochigi,42289,170.00,40145.86,24.29,846,613.57,31.76,3.00,2.29,0.12,32.08,0.95,0.37
Tokushima,9549,73.00,8709.00,10.43,402,224.57,31.14,0.00,0.29,0.04,25.20,1.37,0.13
Tokyo,941379,3527.00,903978.57,503.86,14567,11056.43,79.14,24.00,21.29,0.15,40.81,0.92,0.19
Tottori,5804,8.00,5397.43,1.14,178,110.71,20.08,0.00,0.43,0.08,34.80,1.53,0.39
Toyama,15587,59.00,14256.29,8.43,602,364.43,35.22,0.00,0.29,0.03,20.90,1.07,0.08
Wakayama,21230,97.00,20213.71,13.86,404,293.57,32.12,1.00,1.29,0.14,33.17,0.86,0.44
Yamagata,10760,64.00,10157.29,9.14,246,169.71,15.94,1.00,0.57,0.05,33.08,1.08,0.34
Yamaguchi,19828,120.00,19023.43,17.14,318,226.43,16.88,1.00,1.14,0.09,45.37,0.99,0.50
Yamanashi,15182,39.00,14558.14,5.57,0,192.71,23.90,0.00,0.14,0.02,30.15,0.90,0.07
Zenkoku,4673508,22521.00,4461071.14,3217.29,77761,63245.00,50.28,257.00,190.14,0.15,35.87,0.94,0.30
