Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,105998,1152.00,105894.57,164.57,34,34.14,0.45,0.00,1.14,0.02,1345.63,0.69,3.35
Akita,1893,27.00,1892.71,3.86,0,0.29,0.03,0.00,0.14,0.02,854.70,0.16,50.00
Aomori,5866,38.00,5807.57,5.43,19,16.86,1.37,0.00,0.00,0.00,331.89,2.06,0.00
Chiba,100160,1015.00,100083.71,145.00,18,26.71,0.43,4.00,1.43,0.02,1672.91,0.71,5.35
Ehime,5299,82.00,5275.29,11.71,5,8.86,0.67,0.00,0.14,0.01,335.63,1.05,1.61
Fukui,3098,37.00,3088.57,5.29,1,3.14,0.41,0.00,0.00,0.00,558.54,0.84,0.00
Fukuoka,74271,619.00,74209.86,88.43,16,20.14,0.39,0.00,0.57,0.01,2202.72,0.90,2.84
Fukushima,9473,175.00,9467.14,25.00,3,1.29,0.07,0.00,0.14,0.01,3031.01,0.55,11.11
Gifu,19005,217.00,18964.14,31.00,7,15.86,0.80,1.00,0.14,0.01,618.09,0.96,0.90
Gunma,16685,174.00,16665.71,24.86,3,7.00,0.36,0.00,0.14,0.01,1278.20,0.85,2.04
Hiroshima,21884,199.00,21827.57,28.43,30,14.71,0.53,0.00,0.00,0.00,843.87,0.81,0.00
Hokkaido,60546,1469.00,60461.43,209.86,27,23.71,0.45,0.00,0.00,0.00,2012.81,1.56,0.00
Hyogo,78084,1392.00,77973.29,198.86,30,37.71,0.69,0.00,0.43,0.01,871.02,0.74,1.14
Ibaraki,24346,217.00,24319.86,31.00,9,10.00,0.35,0.00,0.00,0.00,1110.79,0.80,0.00
Ishikawa,7931,129.00,7921.43,18.43,3,2.71,0.24,0.00,0.71,0.06,1791.21,0.65,26.32
Iwate,3486,53.00,3485.86,7.57,0,0.14,0.01,0.00,0.00,0.00,5917.29,0.46,0.00
Kagawa,4695,38.00,4693.57,5.43,0,0.43,0.05,0.00,0.00,0.00,3793.13,0.42,0.00
Kagoshima,9092,65.00,9081.14,9.29,4,2.86,0.18,0.00,0.00,0.00,2282.27,1.36,0.00
Kanagawa,168619,1294.00,168472.00,184.86,33,52.14,0.57,4.00,2.00,0.02,1532.86,0.82,3.84
Kochi,4128,32.00,4121.71,4.57,2,1.57,0.23,1.00,0.14,0.02,1684.21,0.89,9.09
Kumamoto,14355,136.00,14333.57,19.43,18,4.71,0.27,0.00,0.14,0.01,1992.77,0.89,3.03
Kyoto,35779,289.00,35740.29,41.29,13,14.29,0.56,0.00,0.57,0.02,1087.24,0.77,4.00
Mie,14736,163.00,14715.86,23.29,9,6.43,0.36,0.00,0.00,0.00,1045.40,0.94,0.00
Miyagi,16250,118.00,16244.71,16.86,1,1.71,0.07,1.00,0.14,0.01,3829.09,0.63,8.33
Miyazaki,6150,41.00,6145.29,5.86,4,1.14,0.11,0.00,0.00,0.00,2896.46,0.75,0.00
Nagano,8824,96.00,8810.86,13.71,2,4.43,0.22,0.00,0.00,0.00,862.47,0.77,0.00
Nagasaki,6060,73.00,6048.29,10.43,4,3.71,0.28,0.00,0.14,0.01,703.50,0.88,3.85
Nara,15811,149.00,15775.43,21.29,9,9.86,0.75,0.00,0.00,0.00,947.57,1.09,0.00
Niigata,7967,61.00,7956.00,8.71,4,4.00,0.18,0.00,0.00,0.00,678.22,0.51,0.00
Oita,8178,84.00,8172.57,12.00,1,2.57,0.23,0.00,0.00,0.00,758.05,0.48,0.00
Okayama,15212,136.00,15192.00,19.43,7,5.86,0.31,0.00,0.00,0.00,1194.75,0.78,0.00
Okinawa,50011,362.00,49924.00,51.71,31,23.00,1.58,6.00,3.71,0.25,1357.34,0.98,16.15
Osaka,201606,3020.00,201309.71,431.43,65,97.14,1.10,2.00,2.43,0.03,930.23,0.78,2.50
