Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,97874,1070.00,94369.00,152.86,1024,1036.29,13.74,3.00,2.43,0.03,40.73,0.81,0.23
Akita,1757,26.00,1721.71,3.71,12,10.00,1.05,0.00,0.43,0.05,96.50,0.88,4.29
Aomori,5096,33.00,4933.71,4.71,44,44.86,3.65,0.00,0.00,0.00,49.41,0.71,0.00
Chiba,95542,940.00,93911.29,134.29,459,424.43,6.76,7.00,6.71,0.11,63.18,0.55,1.58
Ehime,4932,81.00,4856.86,11.57,24,20.29,1.53,0.00,0.00,0.00,121.40,0.74,0.00
Fukui,2827,36.00,2761.43,5.14,17,17.86,2.34,0.00,0.00,0.00,78.68,0.87,0.00
Fukuoka,71494,584.00,70186.00,83.43,378,379.86,7.44,1.00,1.43,0.03,78.93,0.69,0.38
Fukushima,9212,173.00,9094.57,24.71,36,32.57,1.78,0.00,0.57,0.03,138.09,0.73,1.75
Gifu,17797,206.00,17358.00,29.43,155,129.14,6.54,0.00,0.29,0.01,60.13,0.70,0.22
Gunma,16051,165.00,15830.00,23.57,56,64.29,3.34,1.00,0.43,0.02,100.69,0.64,0.67
Hiroshima,20534,189.00,20057.71,27.00,294,123.00,4.40,0.00,0.57,0.02,66.13,0.58,0.46
Hokkaido,59022,1461.00,58588.57,208.71,156,122.43,2.35,1.00,0.71,0.01,191.23,0.61,0.58
Hyogo,72766,1363.00,70878.00,194.71,528,532.29,9.79,0.00,2.29,0.04,62.52,0.79,0.43
Ibaraki,22820,201.00,22333.29,28.71,139,139.14,4.88,0.00,0.86,0.03,72.05,0.79,0.62
Ishikawa,7588,123.00,7502.71,17.57,34,22.00,1.95,0.00,0.00,0.00,179.84,0.75,0.00
Iwate,3366,50.00,3295.14,7.14,24,20.29,1.67,0.00,0.00,0.00,64.16,0.71,0.00
Kagawa,4564,34.00,4516.43,4.86,9,15.00,1.58,0.00,0.00,0.00,94.15,0.48,0.00
Kagoshima,8806,57.00,8651.00,8.14,46,43.86,2.76,0.00,0.71,0.04,91.40,0.74,1.63
Kanagawa,161470,1174.00,158860.29,167.71,861,757.29,8.22,6.00,5.00,0.05,81.61,0.62,0.66
Kochi,3964,31.00,3860.14,4.43,32,29.14,4.22,0.00,0.00,0.00,53.16,0.63,0.00
Kumamoto,13750,131.00,13507.57,18.71,71,73.71,4.25,0.00,0.43,0.02,76.50,0.64,0.58
Kyoto,33910,257.00,33166.43,36.71,199,226.86,8.83,0.00,0.43,0.02,62.61,0.71,0.19
Mie,14066,147.00,13753.43,21.00,85,92.86,5.25,2.00,1.29,0.07,57.17,0.60,1.38
Miyagi,15671,106.00,15472.14,15.14,77,54.29,2.37,2.00,0.29,0.01,121.73,0.63,0.53
Miyazaki,5911,34.00,5826.71,4.86,0,36.86,3.46,0.00,0.14,0.01,77.74,0.60,0.39
Nagano,8343,95.00,8248.86,13.57,28,26.71,1.31,0.00,0.14,0.01,129.65,0.66,0.53
Nagasaki,5737,70.00,5646.71,10.00,21,27.57,2.10,0.00,0.14,0.01,85.08,0.70,0.52
Nara,14933,142.00,14629.71,20.29,92,93.14,7.04,0.00,0.14,0.01,66.07,0.69,0.15
Niigata,7364,58.00,7198.29,8.29,53,43.14,1.96,0.00,0.43,0.02,92.53,0.89,0.99
Oita,7722,73.00,7595.14,10.43,32,39.29,3.49,0.00,0.57,0.05,71.19,0.55,1.45
Okayama,14667,132.00,14451.29,18.86,46,63.43,3.37,0.00,0.00,0.00,78.88,0.56,0.00
Okinawa,47051,273.00,45988.71,39.00,270,395.57,27.12,3.00,1.71,0.12,76.99,1.12,0.43
Osaka,189348,2870.00,185015.86,410.00,1263,1234.57,14.00,1.00,5.71,0.06,64.49,0.70,0.46
Saga,5578,29.00,5507.71,4.14,20,20.57,2.54,0.00,0.14,0.02,85.38,0.50,0.69
Saitama,110091,941.00,108044.71,134.43,780,558.29,7.60,6.00,4.71,0.06,87.17,0.70,0.84
Shiga,11730,97.00,11530.29,13.86,64,60.86,4.31,0.00,0.00,0.00,72.68,0.58,0.00
Shimane,1507,2.00,1475.71,0.29,5,9.00,1.35,0.00,0.00,0.00,60.99,0.55,0.00
Shizuoka,25380,193.00,24807.29,27.57,138,175.29,4.84,0.00,1.14,0.03,46.81,0.56,0.65
Tochigi,14447,105.00,14156.43,15.00,88,83.14,4.30,0.00,0.00,0.00,88.72,0.85,0.00
Tokushima,3075,64.00,2976.43,9.14,29,27.86,3.86,0.00,0.00,0.00,58.62,0.86,0.00
Tokyo,365216,2645.00,360890.86,377.86,1273,1231.57,8.82,17.00,14.29,0.10,120.70,0.64,1.16
Tottori,1577,5.00,1545.29,0.71,13,7.86,1.42,0.00,0.14,0.03,77.31,0.48,1.82
Toyama,4674,45.00,4622.57,6.43,22,15.86,1.53,1.00,0.14,0.01,105.31,0.57,0.90
Wakayama,5035,58.00,4952.86,8.29,20,24.86,2.72,0.00,0.43,0.05,72.31,0.59,1.72
Yamagata,3396,53.00,3340.57,7.57,16,15.57,1.46,1.00,0.43,0.04,113.93,0.80,2.75
Yamaguchi,5404,87.00,5324.00,12.43,25,23.00,1.71,0.00,0.00,0.00,81.77,0.56,0.00
Yamanashi,4833,26.00,4748.43,3.71,0,35.86,4.45,0.00,0.14,0.02,75.31,0.71,0.40
Zenkoku,1627898,16735.00,1597989.86,2390.71,9058,8661.57,6.89,52.00,55.43,0.04,78.07,0.69,0.64
