Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,528,34.00,525.71,4.86,2,0.43,0.01,0.00,0.00,0.00,1272.96,1.34,0.00
Akita,16,0.00,16.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Aomori,27,1.00,27.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Chiba,1062,46.00,1021.57,6.57,22,10.71,0.17,0.00,0.14,0.00,72.81,1.66,1.33
Ehime,82,5.00,82.00,0.71,0,0.00,0.00,0.00,0.00,0.00,,,1.33
Fukui,122,8.00,122.00,1.14,0,0.00,0.00,0.00,0.00,0.00,,,1.33
Fukuoka,898,33.00,875.14,4.71,13,5.71,0.11,0.00,0.00,0.00,147.68,2.69,0.00
Fukushima,82,0.00,82.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Gifu,162,7.00,160.71,1.00,2,0.29,0.01,0.00,0.00,0.00,192.51,0.61,0.00
Gunma,155,19.00,154.71,2.71,0,0.14,0.01,0.00,0.00,0.00,325.99,1.00,0.00
Hiroshima,171,3.00,169.86,0.43,0,0.29,0.01,0.00,0.00,0.00,522.03,1.64,0.00
Hokkaido,1282,101.00,1277.14,14.43,4,1.00,0.02,0.00,0.00,0.00,163.12,0.24,0.00
Hyogo,720,45.00,713.29,6.43,3,1.57,0.03,0.00,0.00,0.00,438.05,2.06,0.00
Ibaraki,189,10.00,185.43,1.43,1,1.00,0.04,0.00,0.00,0.00,73.43,1.49,0.00
Ishikawa,300,27.00,300.00,3.86,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Iwate,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagawa,28,0.00,28.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagoshima,122,0.00,88.29,0.00,0,14.43,0.91,0.00,0.00,0.00,2.49,5.22,0.00
Kanagawa,1653,97.00,1596.71,13.86,25,15.43,0.17,1.00,0.14,0.00,64.91,1.36,0.93
Kochi,74,3.00,74.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,0.93
Kumamoto,49,3.00,49.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,0.93
Kyoto,415,18.00,398.71,2.57,2,4.14,0.16,0.00,0.00,0.00,74.93,1.46,0.00
Mie,46,1.00,46.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Miyagi,99,1.00,97.57,0.14,1,0.57,0.02,0.00,0.00,0.00,104.46,1.00,0.00
Miyazaki,18,0.00,17.57,0.00,0,0.14,0.01,0.00,0.00,0.00,146.76,,0.00
Nagano,77,,77.00,,0,0.00,0.00,,,,,,0.00
Nagasaki,19,1.00,17.71,0.14,1,0.29,0.02,0.00,0.00,0.00,117.89,,0.00
Nara,102,2.00,96.57,0.29,2,1.43,0.11,0.00,0.00,0.00,100.05,,0.00
Niigata,86,0.00,84.86,0.00,0,0.29,0.01,0.00,0.00,0.00,477.92,,0.00
Oita,60,1.00,60.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Okayama,28,,28.00,,0,0.00,0.00,,,,76.80,,0.00
Okinawa,145,7.00,142.71,1.00,1,0.43,0.03,0.00,0.00,0.00,967.01,,0.00
Osaka,1915,86.00,1886.43,12.29,10,9.14,0.10,0.00,0.00,0.00,144.18,1.42,0.00
Saga,47,0.00,47.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Saitama,1352,67.00,1266.71,9.57,22,23.00,0.31,0.00,0.29,0.00,40.46,1.73,1.24
Shiga,104,1.00,103.29,0.14,0,0.14,0.01,0.00,0.00,0.00,289.90,0.61,0.00
Shimane,24,0.00,24.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Shizuoka,91,1.00,87.00,0.14,3,0.71,0.02,0.00,0.00,0.00,63.21,3.16,0.00
Tochigi,90,0.00,87.00,0.00,2,0.86,0.04,0.00,0.00,0.00,29.63,0.50,0.00
Tokushima,9,1.00,7.29,0.14,0,0.43,0.06,0.00,0.00,0.00,24.99,,0.00
Tokyo,7272,325.00,6871.71,46.43,224,107.00,0.77,0.00,0.00,0.00,45.65,1.56,0.00
Tottori,4,0.00,4.00,0.00,0,0.00,0.00,0.00,0.00,0.00,20.12,,0.00
Toyama,230,22.00,228.43,3.14,1,0.29,0.03,0.00,0.00,0.00,859.62,1.64,0.00
Wakayama,66,3.00,64.29,0.43,2,0.29,0.03,0.00,0.00,0.00,1089.28,,0.00
Yamagata,71,1.00,70.29,0.14,0,0.29,0.03,0.00,0.14,0.01,262.81,,50.00
Yamaguchi,37,0.00,37.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,50.00
Yamanashi,75,1.00,75.00,0.14,0,0.00,0.00,0.00,0.00,0.00,229.14,,50.00
Zenkoku,20204,981.00,19474.71,140.14,343,200.43,0.16,1.00,0.71,0.00,69.31,1.55,0.36
