Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,10938,127.00,10367.29,18.14,215,155.57,2.06,4.00,1.71,0.02,37.04,1.10,1.10
Akita,90,1.00,90.00,0.14,0,0.00,0.00,0.00,0.00,0.00,47.64,,1.10
Aomori,324,6.00,306.86,0.86,3,5.29,0.43,0.00,0.00,0.00,60.71,3.28,0.00
Chiba,7388,91.00,7161.14,13.00,74,64.14,1.02,1.00,0.71,0.01,58.61,0.96,1.11
Ehime,341,6.00,326.14,0.86,2,4.29,0.32,0.00,0.00,0.00,22.49,0.44,0.00
Fukui,321,11.00,318.57,1.57,0,1.00,0.13,0.00,0.00,0.00,131.14,0.68,0.00
Fukuoka,5977,109.00,5896.43,15.57,0,25.14,0.49,0.00,0.29,0.01,95.53,0.87,1.14
Fukushima,528,8.00,508.43,1.14,13,4.14,0.23,0.00,0.29,0.02,96.80,1.30,6.90
Gifu,1227,14.00,1131.71,2.00,32,24.57,1.24,0.00,0.00,0.00,31.50,1.32,0.00
Gunma,1371,22.00,1278.29,3.14,30,25.14,1.31,0.00,0.14,0.01,31.97,1.23,0.57
Hiroshima,1023,6.00,887.71,0.86,80,34.00,1.22,0.00,0.00,0.00,32.99,3.34,0.00
Hokkaido,9669,237.00,9080.71,33.86,212,163.29,3.13,13.00,7.57,0.15,26.96,0.89,4.64
Hyogo,6169,91.00,5783.00,13.00,129,101.43,1.86,1.00,1.57,0.03,31.76,1.04,1.55
Ibaraki,1808,23.00,1663.29,3.29,31,38.43,1.35,0.00,0.29,0.01,24.36,1.04,0.74
Ishikawa,867,50.00,859.43,7.14,3,2.43,0.21,0.00,0.00,0.00,210.63,1.36,0.00
Iwate,220,4.00,206.00,0.57,7,4.14,0.34,0.00,0.14,0.01,18.87,0.72,3.45
Kagawa,159,2.00,149.71,0.29,4,2.43,0.26,0.00,0.00,0.00,41.74,1.88,0.00
Kagoshima,637,13.00,624.00,1.86,0,3.57,0.22,0.00,0.00,0.00,126.79,1.17,0.00
Kanagawa,13505,211.00,12946.71,30.14,191,146.71,1.59,4.00,2.43,0.03,49.78,1.03,1.66
Kochi,215,4.00,173.57,0.57,19,9.29,1.35,0.00,0.00,0.00,30.82,9.00,0.00
Kumamoto,1079,13.00,1041.00,1.86,16,9.57,0.55,0.00,0.00,0.00,83.79,1.47,0.00
Kyoto,2736,39.00,2685.43,5.57,0,21.57,0.84,0.00,0.29,0.01,71.76,0.90,1.32
Mie,940,9.00,888.43,1.29,13,13.71,0.78,0.00,0.29,0.02,32.24,0.94,2.08
Miyagi,1272,10.00,1226.00,1.43,21,11.00,0.48,0.00,0.00,0.00,61.51,0.89,0.00
Miyazaki,545,1.00,517.14,0.14,11,9.71,0.91,0.00,0.00,0.00,35.79,1.26,0.00
Nagano,786,6.00,746.43,0.86,12,11.86,0.58,0.00,0.00,0.00,32.77,0.98,0.00
Nagasaki,273,3.00,271.29,0.43,0,1.14,0.09,0.00,0.00,0.00,127.33,0.80,0.00
Nara,1291,13.00,1199.14,1.86,27,24.14,1.82,0.00,0.29,0.02,35.33,1.30,1.18
Niigata,354,0.00,341.43,0.00,4,3.29,0.15,0.00,0.00,0.00,71.41,0.85,0.00
Oita,378,3.00,326.86,0.43,18,14.00,1.24,0.00,0.00,0.00,15.77,1.53,0.00
Okayama,645,11.00,618.14,1.57,11,7.57,0.40,0.00,0.00,0.00,33.65,0.71,0.00
Okinawa,4535,72.00,4406.71,10.29,41,34.43,2.36,0.00,0.43,0.03,65.64,0.98,1.24
Osaka,22197,352.00,21041.71,50.29,399,312.29,3.54,6.00,5.14,0.06,38.28,1.07,1.65
Saga,336,2.00,322.57,0.29,3,4.14,0.51,0.00,0.14,0.02,62.37,1.68,3.45
Saitama,9159,152.00,8711.43,21.71,167,114.00,1.55,0.00,1.86,0.03,49.02,1.21,1.63
Shiga,814,11.00,796.86,1.57,6,4.86,0.34,0.00,0.29,0.02,90.88,0.86,5.88
Shimane,153,0.00,149.43,0.00,1,1.00,0.15,0.00,0.00,0.00,118.40,1.49,0.00
Shizuoka,1827,14.00,1699.86,2.00,0,54.29,1.50,0.00,0.57,0.02,18.39,1.09,1.05
Tochigi,732,2.00,682.43,0.29,13,14.00,0.72,0.00,0.00,0.00,34.42,1.69,0.00
Tokushima,185,9.00,182.14,1.29,1,0.57,0.08,0.00,0.00,0.00,361.47,1.64,0.00
Tokyo,43377,511.00,41886.14,73.00,584,392.71,2.81,2.00,3.29,0.02,62.98,1.07,0.84
Tottori,61,0.00,59.57,0.00,0,0.43,0.08,0.00,0.00,0.00,72.48,0.69,0.00
Toyama,461,26.00,459.86,3.71,0,0.43,0.04,0.00,0.00,0.00,205.81,0.37,0.00
Wakayama,490,7.00,469.14,1.00,5,6.29,0.69,1.00,0.14,0.02,35.82,0.89,2.27
Yamagata,158,1.00,143.71,0.14,6,3.57,0.34,0.00,0.00,0.00,19.66,1.60,0.00
Yamaguchi,409,2.00,396.57,0.29,3,3.57,0.27,0.00,0.00,0.00,56.36,0.90,0.00
Yamanashi,381,9.00,356.43,1.29,0,6.43,0.80,0.00,0.14,0.02,49.71,1.13,2.22
Zenkoku,158351,2314.00,151384.86,330.57,2407,1895.57,1.51,32.00,28.00,0.02,46.08,1.06,1.48
