Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,1096,35.00,864.00,5.00,86,63.00,0.84,0.00,0.14,0.00,11.85,2.73,0.23
Akita,18,0.00,16.71,0.00,0,0.29,0.03,0.00,0.00,0.00,111.09,,0.00
Aomori,31,1.00,30.86,0.14,0,0.14,0.01,0.00,0.00,0.00,128.56,1.00,0.00
Chiba,1499,46.00,1418.71,6.57,24,23.71,0.38,0.00,0.00,0.00,36.44,1.05,0.00
Ehime,87,5.00,84.14,0.71,2,0.57,0.04,0.00,0.00,0.00,201.70,2.69,0.00
Fukui,129,8.00,127.29,1.14,0,0.43,0.06,0.00,0.00,0.00,330.12,1.34,0.00
Fukuoka,1432,33.00,1236.14,4.71,90,53.14,1.04,0.00,0.00,0.00,19.40,2.49,0.00
Fukushima,86,0.00,85.57,0.00,0,0.29,0.02,0.00,0.00,0.00,261.78,,0.00
Gifu,240,7.00,215.57,1.00,9,6.57,0.33,0.00,0.00,0.00,21.25,2.23,0.00
Gunma,179,19.00,176.29,2.71,0,1.43,0.07,0.00,0.00,0.00,67.17,0.93,0.00
Hiroshima,261,3.00,238.86,0.43,4,6.86,0.25,0.00,0.00,0.00,25.00,1.51,0.00
Hokkaido,1391,103.00,1372.00,14.71,5,5.71,0.11,0.00,0.14,0.00,130.32,0.83,2.50
Hyogo,1014,45.00,916.43,6.43,49,24.71,0.45,0.00,0.00,0.00,30.52,1.53,0.00
Ibaraki,244,10.00,238.00,1.43,2,2.00,0.07,0.00,0.00,0.00,49.35,0.72,0.00
Ishikawa,313,27.00,309.29,3.86,0,1.00,0.09,0.00,0.00,0.00,188.56,1.83,0.00
Iwate,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagawa,45,0.00,44.71,0.00,0,0.14,0.02,0.00,0.00,0.00,37.49,0.15,0.00
Kagoshima,216,0.00,193.00,0.00,5,6.29,0.40,0.00,0.00,0.00,27.99,2.16,0.00
Kanagawa,2253,98.00,2170.29,14.00,14,30.57,0.33,0.00,0.00,0.00,38.25,0.97,0.00
Kochi,79,3.00,77.71,0.43,0,0.43,0.06,0.00,0.00,0.00,186.10,2.19,0.00
Kumamoto,100,3.00,63.86,0.43,28,7.00,0.40,0.00,0.00,0.00,19.16,16.12,0.00
Kyoto,657,19.00,593.29,2.71,71,13.00,0.51,1.00,0.14,0.01,24.61,1.07,1.10
Mie,70,1.00,62.00,0.14,5,1.71,0.10,0.00,0.00,0.00,33.21,1.47,0.00
Miyagi,142,1.00,138.86,0.14,2,0.86,0.04,0.00,0.00,0.00,35.86,0.37,0.00
Miyazaki,73,0.00,37.29,0.00,11,7.57,0.71,0.00,0.00,0.00,7.79,,0.00
Nagano,92,,88.14,,0,0.86,0.04,,,,68.82,1.14,
Nagasaki,53,2.00,48.14,0.29,1,1.29,0.10,0.00,0.14,0.01,13.78,0.93,11.11
Nara,209,2.00,189.57,0.29,4,6.57,0.50,0.00,0.00,0.00,17.09,1.36,0.00
Niigata,94,0.00,92.00,0.00,2,0.57,0.03,0.00,0.00,0.00,139.59,1.23,0.00
Oita,60,1.00,60.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Okayama,64,,52.29,,3,2.86,0.15,,,,11.97,1.23,
Okinawa,192,7.00,172.86,1.00,6,5.29,0.36,0.00,0.00,0.00,33.53,4.18,0.00
Osaka,3188,88.00,2843.14,12.57,273,92.43,1.05,1.00,0.29,0.00,19.11,1.35,0.31
Saga,67,0.00,60.57,0.00,0,2.57,0.32,0.00,0.00,0.00,19.36,7.88,0.00
Saitama,2091,72.00,1981.43,10.29,23,37.29,0.51,0.00,0.29,0.00,26.99,1.02,0.77
Shiga,155,1.00,143.00,0.14,2,5.43,0.38,0.00,0.00,0.00,17.62,4.26,0.00
Shimane,28,0.00,26.71,0.00,0,0.43,0.06,0.00,0.00,0.00,67.34,2.19,0.00
Shizuoka,200,1.00,129.14,0.14,81,13.00,0.36,0.00,0.00,0.00,20.20,4.01,0.00
Tochigi,163,0.00,148.86,0.00,4,3.86,0.20,0.00,0.00,0.00,17.93,0.83,0.00
Tokushima,16,1.00,11.43,0.14,4,0.86,0.12,0.00,0.00,0.00,36.34,,0.00
Tokyo,11345,328.00,10643.43,46.86,131,218.43,1.56,0.00,0.14,0.00,27.19,1.07,0.07
Tottori,6,0.00,5.43,0.00,0,0.14,0.03,0.00,0.00,0.00,59.00,,0.00
Toyama,236,22.00,234.71,3.14,1,0.43,0.04,0.00,0.00,0.00,263.30,2.19,0.00
Wakayama,130,3.00,112.14,0.43,8,4.86,0.53,0.00,0.00,0.00,19.24,2.58,0.00
Yamagata,75,1.00,75.00,0.14,0,0.00,0.00,0.00,0.00,0.00,634.40,,0.00
Yamaguchi,50,0.00,46.43,0.00,1,1.14,0.09,0.00,0.00,0.00,31.79,1.40,0.00
Yamanashi,88,1.00,83.14,0.14,3,1.29,0.16,0.00,0.00,0.00,60.29,2.93,0.00
Zenkoku,30257,997.00,27958.43,142.43,954,657.00,0.52,2.00,1.29,0.00,27.70,1.30,0.20
