Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,29987,612.00,29347.86,87.43,230,168.14,2.23,4.00,1.14,0.02,120.33,1.25,0.68
Akita,367,9.00,350.57,1.29,5,4.57,0.48,0.00,0.43,0.05,46.33,1.05,9.38
Aomori,1305,20.00,1246.43,2.86,6,18.29,1.49,0.00,0.00,0.00,49.48,1.44,0.00
Chiba,31608,600.00,31185.43,85.71,145,108.43,1.73,0.00,1.57,0.03,195.40,1.18,1.45
Ehime,1955,27.00,1827.71,3.86,48,32.57,2.46,0.00,0.29,0.02,40.66,1.12,0.88
Fukui,729,31.00,689.29,4.43,19,10.00,1.31,0.00,0.57,0.07,63.30,1.55,5.71
Fukuoka,20132,344.00,19761.71,49.14,137,92.14,1.80,1.00,1.14,0.02,190.82,1.77,1.24
Fukushima,2985,118.00,2892.43,16.86,37,24.00,1.31,0.00,0.00,0.00,107.94,,0.00
Gifu,5350,129.00,5249.00,18.43,17,29.57,1.50,0.00,0.00,0.00,146.00,1.50,0.00
Gunma,5481,102.00,5389.14,14.57,21,27.43,1.42,0.00,0.14,0.01,127.19,1.23,0.52
Hiroshima,5406,107.00,5334.14,15.29,33,17.29,0.62,0.00,0.14,0.01,256.75,1.56,0.83
Hokkaido,22381,801.00,22089.29,114.43,98,77.57,1.49,4.00,3.00,0.06,188.22,1.09,3.87
Hyogo,25334,624.00,23876.00,89.14,538,370.57,6.81,2.00,2.43,0.04,47.93,1.37,0.66
Ibaraki,7432,129.00,7272.86,18.43,47,43.14,1.51,0.00,0.14,0.01,124.30,1.25,0.33
Ishikawa,2182,66.00,2119.14,9.43,18,17.43,1.54,0.00,0.00,0.00,83.96,1.23,0.00
Iwate,779,31.00,769.86,4.43,3,2.57,0.21,0.00,0.14,0.01,87.10,0.50,5.56
Kagawa,1061,19.00,1026.57,2.71,6,10.14,1.07,0.00,0.00,0.00,66.31,1.00,0.00
Kagoshima,1964,28.00,1939.57,4.00,18,6.00,0.38,0.00,0.00,0.00,193.62,0.82,0.00
Kanagawa,50879,800.00,50216.00,114.29,220,176.71,1.92,0.00,0.29,0.00,213.46,1.28,0.16
Kochi,963,19.00,952.29,2.71,3,2.43,0.35,0.00,0.00,0.00,412.23,1.09,0.00
Kumamoto,3591,74.00,3571.43,10.57,0,7.86,0.45,0.00,0.00,0.00,401.90,3.38,0.00
Kyoto,10616,176.00,10477.86,25.14,0,47.86,1.86,0.00,0.29,0.01,87.46,1.19,0.60
Mie,3174,74.00,3092.71,10.57,21,23.29,1.32,0.00,0.14,0.01,85.16,1.11,0.61
Miyagi,7580,46.00,7410.29,6.57,28,54.57,2.38,0.00,0.43,0.02,60.62,0.69,0.79
Miyazaki,2043,22.00,2032.00,3.14,0,3.29,0.31,0.00,0.00,0.00,153.70,2.97,0.00
Nagano,3505,52.00,3343.29,7.43,92,40.57,1.99,2.00,1.14,0.06,57.53,1.12,2.82
Nagasaki,1769,39.00,1710.00,5.57,20,14.43,1.10,0.00,0.00,0.00,135.19,3.90,0.00
Nara,5079,61.00,4819.57,8.71,82,72.14,5.45,0.00,0.71,0.05,40.52,1.00,0.99
Niigata,1939,18.00,1841.43,2.57,24,28.86,1.31,0.00,0.00,0.00,43.93,1.17,0.00
Oita,1378,22.00,1362.57,3.14,5,4.29,0.38,0.00,0.00,0.00,223.31,1.29,0.00
Okayama,3214,35.00,3074.86,5.00,61,34.29,1.82,0.00,0.00,0.00,62.25,1.18,0.00
Okinawa,11489,130.00,11124.71,18.57,92,106.86,7.32,0.00,0.14,0.01,62.06,0.99,0.13
Osaka,67972,1269.00,64373.14,181.29,1220,1039.57,11.79,3.00,7.14,0.08,43.23,1.30,0.69
Saga,1337,13.00,1305.14,1.86,10,8.71,1.08,0.00,0.00,0.00,104.11,1.33,0.00
Saitama,35452,728.00,34924.43,104.00,166,146.43,1.99,0.00,1.57,0.02,164.47,1.15,1.07
Shiga,3204,60.00,3094.14,8.57,31,32.14,2.28,0.00,0.14,0.01,81.09,1.69,0.44
Shimane,297,0.00,294.86,0.00,0,0.71,0.11,0.00,0.00,0.00,283.70,1.44,0.00
Shizuoka,6147,121.00,6052.29,17.29,37,24.71,0.68,0.00,0.00,0.00,183.93,1.27,0.00
Tochigi,5068,70.00,5005.57,10.00,11,18.14,0.94,0.00,0.00,0.00,159.79,0.89,0.00
Tokushima,903,26.00,798.57,3.71,38,27.14,3.76,1.00,0.57,0.08,22.08,1.58,2.11
Tokyo,130083,1847.00,128140.14,263.86,543,542.71,3.88,1.00,6.14,0.04,166.23,1.18,1.13
Tottori,334,2.00,319.57,0.29,0,4.57,0.83,0.00,0.00,0.00,42.19,1.80,0.00
Toyama,1144,29.00,1087.86,4.14,24,13.43,1.30,0.00,0.00,0.00,59.12,1.11,0.00
Wakayama,1778,19.00,1665.43,2.71,44,31.29,3.42,0.00,0.00,0.00,35.38,1.27,0.00
Yamagata,1331,27.00,1282.00,3.86,8,15.14,1.42,1.00,1.00,0.09,38.06,0.80,6.60
Yamaguchi,1553,43.00,1497.71,6.14,13,13.00,0.97,0.00,0.00,0.00,147.17,2.76,0.00
Yamanashi,1057,19.00,1044.86,2.71,0,4.14,0.51,0.00,0.00,0.00,115.85,1.18,0.00
Zenkoku,531317,9638.00,518281.71,1376.86,4219,3599.14,2.86,19.00,30.86,0.02,100.67,1.24,0.86
