Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,509,34.00,508.71,4.86,0,0.14,0.00,0.00,0.00,0.00,1437.41,,0.00
Akita,16,0.00,16.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Aomori,27,1.00,27.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Chiba,907,45.00,906.29,6.43,3,-0.29,-0.00,0.00,0.00,0.00,10258.00,,0.00
Ehime,82,4.00,82.00,0.57,0,0.00,0.00,0.00,0.00,0.00,925.93,,0.00
Fukui,122,8.00,122.00,1.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Fukuoka,799,27.00,783.71,3.86,2,5.86,0.11,0.00,0.14,0.00,40.88,0.62,2.44
Fukushima,81,0.00,81.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,2.44
Gifu,151,7.00,151.00,1.00,0,0.00,0.00,0.00,0.00,0.00,730.23,,2.44
Gunma,151,19.00,149.86,2.71,0,0.29,0.01,0.00,0.00,0.00,845.87,,0.00
Hiroshima,168,3.00,167.57,0.43,0,0.00,0.00,0.00,0.00,0.00,1420.43,,0.00
Hokkaido,1117,90.00,1102.71,12.86,8,3.71,0.07,0.00,0.57,0.01,162.55,0.88,15.38
Hyogo,699,42.00,699.00,6.00,0,0.00,0.00,0.00,0.00,0.00,,,15.38
Ibaraki,168,10.00,168.00,1.43,0,0.00,0.00,0.00,0.00,0.00,,,15.38
Ishikawa,299,27.00,298.43,3.86,0,0.14,0.01,0.00,0.29,0.03,919.02,0.46,200.00
Iwate,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,200.00
Kagawa,28,0.00,28.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,200.00
Kagoshima,10,0.00,10.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,200.00
Kanagawa,1387,87.00,1380.00,12.43,0,2.43,0.03,0.00,0.43,0.00,199.59,0.74,17.65
Kochi,74,3.00,74.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,17.65
Kumamoto,48,3.00,48.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,17.65
Kyoto,358,18.00,358.00,2.57,0,0.00,0.00,0.00,0.14,0.01,,,17.65
Mie,45,1.00,45.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,17.65
Miyagi,88,1.00,88.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,17.65
Miyazaki,17,0.00,17.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,17.65
Nagano,76,,76.00,,0,0.00,0.00,,,,,,17.65
Nagasaki,17,1.00,17.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,17.65
Nara,92,2.00,92.00,0.29,0,0.00,0.00,0.00,0.00,0.00,1559.93,,17.65
Niigata,83,0.00,83.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,17.65
Oita,60,1.00,60.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,17.65
Okayama,25,,25.00,,0,0.00,0.00,,,,,,17.65
Okinawa,142,7.00,142.00,1.00,0,0.00,0.00,0.00,0.14,0.01,,,17.65
Osaka,1784,84.00,1783.29,12.00,0,0.14,0.00,0.00,0.14,0.00,6054.36,0.61,100.00
Saga,47,0.00,47.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,100.00
Saitama,1007,51.00,1005.14,7.29,0,0.57,0.01,0.00,0.43,0.01,1363.13,1.00,75.00
Shiga,100,1.00,100.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,75.00
Shimane,24,0.00,24.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,75.00
Shizuoka,75,1.00,75.57,0.14,0,-0.14,-0.00,0.00,0.00,0.00,,,75.00
Tochigi,66,0.00,65.86,0.00,0,0.14,0.01,0.00,0.00,0.00,370.37,,0.00
Tokushima,5,1.00,5.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Tokyo,5383,311.00,5320.71,44.43,14,19.14,0.14,0.00,0.86,0.01,208.68,1.50,4.48
Tottori,3,0.00,3.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,4.48
Toyama,227,22.00,227.00,3.14,0,0.00,0.00,0.00,0.00,0.00,,,4.48
Wakayama,63,3.00,63.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,4.48
Yamagata,69,0.00,69.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,4.48
Yamaguchi,37,0.00,37.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,4.48
Yamanashi,65,1.00,64.71,0.14,0,0.14,0.02,0.00,0.00,0.00,102.22,0.37,0.00
Zenkoku,16801,916.00,16696.57,130.86,27,32.29,0.03,0.00,3.14,0.00,275.69,0.98,9.73
