Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,106536,1159.00,106519.71,165.57,2,5.71,0.08,0.00,0.14,0.00,9064.89,0.78,2.50
Akita,1925,27.00,1925.00,3.86,0,0.00,0.00,0.00,0.00,0.00,3438.68,,2.50
Aomori,5897,38.00,5897.00,5.43,0,0.00,0.00,0.00,0.00,0.00,66759.89,,2.50
Chiba,100445,1028.00,100434.71,146.86,4,2.57,0.04,1.00,0.29,0.00,14637.86,0.55,11.11
Ehime,5409,82.00,5409.00,11.71,0,0.00,0.00,0.00,0.00,0.00,26242.21,,11.11
Fukui,3115,38.00,3115.00,5.43,0,0.00,0.00,0.00,0.00,0.00,,,11.11
Fukuoka,74568,622.00,74545.14,88.86,0,7.43,0.15,0.00,0.00,0.00,6877.65,1.25,0.00
Fukushima,9487,176.00,9486.57,25.14,0,0.14,0.01,0.00,0.14,0.01,64438.36,1.00,100.00
Gifu,19240,218.00,19238.29,31.14,0,0.71,0.04,0.00,0.00,0.00,9072.76,0.39,0.00
Gunma,16847,176.00,16839.14,25.14,0,2.86,0.15,0.00,0.00,0.00,4172.23,1.53,0.00
Hiroshima,22152,202.00,22147.14,28.86,0,1.57,0.06,0.00,0.00,0.00,5045.96,0.50,0.00
Hokkaido,61062,1472.00,61013.43,210.29,6,17.14,0.33,0.00,0.00,0.00,2125.16,1.48,0.00
Hyogo,78653,1396.00,78638.14,199.43,8,4.86,0.09,0.00,0.00,0.00,7521.19,0.62,0.00
Ibaraki,24447,220.00,24441.57,31.43,1,1.57,0.06,0.00,0.14,0.01,7903.66,0.68,9.09
Ishikawa,7968,129.00,7967.71,18.43,0,0.14,0.01,0.00,0.00,0.00,19327.37,0.37,0.00
Iwate,3487,53.00,3487.00,7.57,0,0.00,0.00,0.00,0.00,0.00,23684.22,,0.00
Kagawa,4705,38.00,4705.00,5.43,0,0.00,0.00,0.00,0.00,0.00,22826.38,,0.00
Kagoshima,9103,66.00,9102.29,9.43,0,0.14,0.01,0.00,0.00,0.00,154573.55,,0.00
Kanagawa,169199,1312.00,169152.86,187.43,10,14.57,0.16,0.00,0.14,0.00,7372.60,1.08,0.98
Kochi,4167,33.00,4167.00,4.71,0,0.00,0.00,0.00,0.00,0.00,47173.86,,0.98
Kumamoto,14395,136.00,14395.00,19.43,0,0.00,0.00,0.00,0.00,0.00,40740.48,,0.98
Kyoto,35978,291.00,35968.00,41.57,0,3.57,0.14,0.00,0.00,0.00,5451.26,0.82,0.00
Mie,14812,163.00,14810.86,23.29,0,0.43,0.02,0.00,0.00,0.00,29588.11,2.19,0.00
Miyagi,16276,118.00,16275.43,16.86,0,0.14,0.01,0.00,0.00,0.00,69095.34,0.61,0.00
Miyazaki,6151,41.00,6151.00,5.86,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Nagano,8883,97.00,8883.00,13.86,0,0.00,0.00,0.00,0.00,0.00,100565.61,,0.00
Nagasaki,6119,73.00,6118.43,10.43,0,0.14,0.01,0.00,0.00,0.00,69266.78,,0.00
Nara,15928,149.00,15925.86,21.29,0,1.00,0.08,0.00,0.00,0.00,8721.92,0.72,0.00
Niigata,8016,61.00,8011.00,8.71,1,1.14,0.05,0.00,0.00,0.00,5550.38,1.23,0.00
Oita,8186,84.00,8186.00,12.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Okayama,15513,136.00,15496.57,19.43,0,6.86,0.36,0.00,0.00,0.00,1196.50,0.91,0.00
Okinawa,50300,398.00,50296.86,56.86,2,0.71,0.05,0.00,0.00,0.00,25880.80,0.51,0.00
Osaka,203032,3062.00,202983.43,437.43,5,16.00,0.18,0.00,0.57,0.01,6723.60,0.74,3.57
Saga,5866,30.00,5865.86,4.29,0,0.14,0.02,0.00,0.00,0.00,16600.01,1.00,0.00
Saitama,115785,1055.00,115768.00,150.71,3,6.00,0.08,0.00,0.14,0.00,8328.02,0.75,2.38
Shiga,12432,104.00,12429.71,14.86,0,1.14,0.08,0.00,0.00,0.00,5145.93,1.40,0.00
Shimane,1731,5.00,1731.00,0.71,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Shizuoka,26781,209.00,26780.00,29.86,0,0.43,0.01,0.00,0.00,0.00,13179.63,0.35,0.00
Tochigi,15478,117.00,15475.86,16.71,0,1.29,0.07,0.00,0.00,0.00,5253.83,1.20,0.00
Tokushima,3291,66.00,3291.00,9.43,0,0.00,0.00,0.00,0.14,0.02,18626.94,,0.00
Tokyo,382095,3164.00,382050.00,452.00,6,15.00,0.11,1.00,0.86,0.01,14010.56,0.85,5.71
Tottori,1669,5.00,1669.00,0.71,0,0.00,0.00,0.00,0.00,0.00,14169.14,,5.71
Toyama,4867,52.00,4867.00,7.43,0,0.00,0.00,0.00,0.00,0.00,,,5.71
Wakayama,5299,62.00,5299.00,8.86,0,0.00,0.00,0.00,0.00,0.00,12853.03,,5.71
Yamagata,3554,56.00,3552.86,8.00,0,0.43,0.04,0.00,0.00,0.00,9279.88,,0.00
Yamaguchi,5788,93.00,5787.29,13.29,0,0.29,0.02,0.00,0.00,0.00,3851.70,0.19,0.00
Yamanashi,5155,29.00,5155.00,4.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Zenkoku,1721792,18341.00,1721454.71,2620.14,48,114.14,0.09,2.00,2.57,0.00,8014.56,0.85,2.25
