Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,12525,143.00,11892.71,20.43,206,171.14,2.27,1.00,1.57,0.02,40.63,1.10,0.92
Akita,94,1.00,90.86,0.14,2,0.57,0.06,0.00,0.00,0.00,511.89,,0.00
Aomori,373,6.00,358.29,0.86,2,4.29,0.35,0.00,0.00,0.00,35.91,0.90,0.00
Chiba,8189,97.00,7839.57,13.86,111,95.71,1.52,0.00,0.57,0.01,60.61,1.31,0.60
Ehime,359,8.00,354.43,1.14,1,1.43,0.11,0.00,0.29,0.02,70.95,0.45,20.00
Fukui,332,11.00,328.86,1.57,1,1.43,0.19,0.00,0.00,0.00,169.40,1.64,0.00
Fukuoka,6622,110.00,6329.71,15.71,71,80.29,1.57,0.00,0.14,0.00,75.05,1.88,0.18
Fukushima,611,8.00,571.57,1.14,12,10.00,0.55,0.00,0.00,0.00,44.76,1.88,0.00
Gifu,1498,20.00,1377.43,2.86,37,34.00,1.72,0.00,0.86,0.04,28.08,1.26,2.52
Gunma,1652,26.00,1525.43,3.71,40,35.86,1.86,0.00,0.57,0.03,31.22,1.26,1.59
Hiroshima,1560,8.00,1272.57,1.14,124,67.86,2.43,0.00,0.14,0.01,15.04,1.96,0.21
Hokkaido,11171,308.00,10584.43,44.00,189,161.71,3.10,6.00,7.43,0.14,36.60,1.00,4.59
Hyogo,7228,111.00,6834.43,15.86,137,112.57,2.07,4.00,2.29,0.04,33.23,1.04,2.03
Ibaraki,1987,28.00,1917.14,4.00,14,20.43,0.72,2.00,0.71,0.03,41.40,0.63,3.50
Ishikawa,910,50.00,891.57,7.14,3,5.14,0.46,0.00,0.00,0.00,146.73,1.58,0.00
Iwate,302,9.00,249.71,1.29,7,11.71,0.97,1.00,0.43,0.04,28.12,2.27,3.66
Kagawa,199,3.00,188.57,0.43,0,5.00,0.53,0.00,0.00,0.00,23.01,1.49,0.00
Kagoshima,823,13.00,745.14,1.86,27,21.43,1.35,0.00,0.00,0.00,28.26,3.60,0.00
Kanagawa,15053,225.00,14349.57,32.14,231,192.71,2.09,3.00,1.43,0.02,53.82,1.17,0.74
Kochi,357,4.00,299.86,0.57,18,15.86,2.30,0.00,0.00,0.00,10.10,1.25,0.00
Kumamoto,1210,13.00,1156.29,1.86,0,16.57,0.95,0.00,0.00,0.00,51.04,1.39,0.00
Kyoto,3076,40.00,2991.29,5.71,0,31.14,1.21,0.00,0.14,0.01,48.59,2.18,0.46
Mie,1055,12.00,1003.86,1.71,13,14.00,0.79,0.00,0.29,0.02,46.10,1.05,2.04
Miyagi,1507,12.00,1390.14,1.71,45,28.00,1.22,0.00,0.29,0.01,42.45,1.73,1.02
Miyazaki,584,3.00,577.00,0.43,0,2.57,0.24,0.00,0.29,0.03,55.35,0.46,11.11
Nagano,957,6.00,889.00,0.86,16,19.14,0.94,0.00,0.00,0.00,31.13,1.38,0.00
Nagasaki,290,3.00,282.43,0.43,0,2.00,0.15,0.00,0.00,0.00,134.59,4.01,0.00
Nara,1493,15.00,1409.71,2.14,28,23.29,1.76,1.00,0.29,0.02,34.63,0.99,1.23
Niigata,400,0.00,376.43,0.00,10,5.86,0.27,0.00,0.00,0.00,55.65,1.42,0.00
Oita,516,3.00,463.29,0.43,8,15.43,1.37,0.00,0.00,0.00,16.23,1.04,0.00
Okayama,702,11.00,691.57,1.57,0,5.14,0.27,0.00,0.00,0.00,49.85,0.71,0.00
Okinawa,4805,75.00,4697.29,10.71,20,31.43,2.15,0.00,0.14,0.01,88.51,0.92,0.45
Osaka,24929,407.00,23817.86,58.14,308,313.43,3.55,5.00,6.43,0.07,45.29,0.99,2.05
Saga,380,3.00,362.57,0.43,2,5.57,0.69,0.00,0.14,0.02,46.79,1.27,2.56
Saitama,10441,170.00,9925.29,24.29,144,147.14,2.00,0.00,1.57,0.02,42.25,1.11,1.07
Shiga,863,11.00,845.57,1.57,6,5.29,0.37,0.00,0.00,0.00,91.71,1.09,0.00
Shimane,166,0.00,161.29,0.00,1,1.14,0.17,0.00,0.00,0.00,71.57,1.00,0.00
Shizuoka,2087,20.00,2042.57,2.86,0,18.14,0.50,0.00,0.43,0.01,31.87,0.71,2.36
Tochigi,870,2.00,817.43,0.29,10,17.29,0.89,0.00,0.00,0.00,30.96,1.06,0.00
Tokushima,187,9.00,186.57,1.29,0,0.29,0.04,0.00,0.00,0.00,232.26,0.61,0.00
Tokyo,47225,535.00,45558.29,76.43,480,460.29,3.29,0.00,2.57,0.02,65.92,1.12,0.56
Tottori,67,0.00,66.29,0.00,0,0.29,0.05,0.00,0.00,0.00,51.14,0.52,0.00
Toyama,474,26.00,464.00,3.71,10,1.71,0.17,0.00,0.00,0.00,627.95,2.69,0.00
Wakayama,554,7.00,534.14,1.00,3,6.71,0.73,0.00,0.00,0.00,43.11,0.94,0.00
Yamagata,253,1.00,211.57,0.14,13,10.86,1.02,0.00,0.00,0.00,13.95,1.64,0.00
Yamaguchi,435,2.00,425.43,0.29,2,3.00,0.22,0.00,0.00,0.00,79.65,0.91,0.00
Yamanashi,440,9.00,434.14,1.29,0,2.57,0.32,0.00,0.00,0.00,27.05,0.54,0.00
Zenkoku,177811,2584.00,169783.14,369.14,2352,2237.43,1.78,23.00,29.00,0.02,48.31,1.12,1.30
