Pref.,Total cases(ave7),cases(ave7),Total deaths(ave7),deaths(ave7),Td,Rt,K,CFR
Aichi,159.7142857142857,4.571428571428571,2.4285714285714284,0.42857142857142855,25.03154629659922,1.6406707120152761,0.17620751341681573,0.18750000000000003
Akita,3.2857142857142856,0.7142857142857142,0.0,0.0,4.078761979950263,nan,0.6956521739130435,0.18750000000000003
Aomori,5.7142857142857135,0.5714285714285714,0.0,0.0,2.107209969647868,1.640670712015276,0.9,0.0
Chiba,110.71428571428571,16.142857142857146,0.0,0.0,4.715994923114149,4.230770012648163,0.6425806451612903,0.0
Ehime,4.0,0.9999999999999999,0.0,0.0,6.999999999999997,nan,0.5000000000000001,0.0
Fukui,10.285714285714285,1.8571428571428568,0.0,0.0,2.0817410001105103,nan,0.9027777777777778,0.0
Fukuoka,20.142857142857142,4.857142857142857,0.0,0.0,3.7753165985351034,3.932323361268363,0.723404255319149,0.0
Fukushima,2.2857142857142856,0.2857142857142857,0.0,0.0,36.33625148779098,nan,0.1250000000000001,0.0
Gifu,17.285714285714285,1.5714285714285712,0.0,0.0,4.002428362868314,1.2554159485744252,0.7024793388429752,0.0
Gunma,15.857142857142856,0.857142857142857,0.14285714285714285,0.14285714285714285,13.2668895750013,1.6406707120152757,0.3063063063063063,0.3333333333333333
Hiroshima,4.714285714285714,0.42857142857142855,0.0,0.0,6.153827090507419,1.335916982535434,0.5454545454545454,0.0
Hokkaido,171.85714285714283,1.5714285714285712,0.8571428571428571,-0.14285714285714285,58.982752545889795,1.1541177635824627,0.07896924355777213,-0.11111111111111112
Hyogo,114.85714285714286,8.571428571428571,0.8571428571428571,0.42857142857142855,12.779228825093515,2.363114788617384,0.3159203980099503,0.16666666666666669
Ibaraki,14.285714285714285,2.142857142857143,0.0,0.0,3.3998841403111775,3.156925177794596,0.76,0.0
Ishikawa,8.571428571428571,0.9999999999999999,0.0,0.0,11.966579039460179,4.014592391212534,0.33333333333333337,0.0
Iwate,0.0,0.0,0.0,0.0,nan,nan,nan,0.0
Kagawa,1.1428571428571428,0.14285714285714285,0.0,0.0,36.33625148779098,nan,0.1250000000000001,0.0
Kagoshima,0.857142857142857,0.14285714285714285,0.0,0.0,nan,nan,nan,0.0
Kanagawa,98.99999999999999,6.142857142857143,0.5714285714285714,0.0,10.470777880427736,1.668479323929677,0.37085137085137077,0.0
Kochi,13.285714285714285,0.8571428571428571,0.0,0.0,25.70011987410654,nan,0.17204301075268813,0.0
Kumamoto,9.571428571428571,1.1428571428571428,0.0,0.0,9.87950969955696,4.41635805469525,0.38805970149253743,0.0
Kyoto,41.714285714285715,5.857142857142857,0.0,0.0,6.289257535263485,3.9460823787838177,0.5376712328767124,0.0
Mie,8.285714285714285,0.7142857142857142,0.0,0.0,13.987998562739689,3.156925177794596,0.2931034482758621,0.0
Miyagi,3.142857142857143,0.857142857142857,0.0,0.0,4.237091422263961,nan,0.6818181818181819,0.0
Miyazaki,2.9999999999999996,0.0,0.0,0.0,nan,nan,0.0,0.0
Nagano,6.142857142857142,0.5714285714285714,0.0,0.0,7.240132489140125,2.6918003852647123,0.4883720930232559,0.0
Nagasaki,1.5714285714285712,0.14285714285714285,0.0,0.0,nan,nan,nan,0.0
Nara,8.428571428571427,0.8571428571428571,0.0,0.0,7.539473947345885,3.5960218482705533,0.4745762711864405,0.0
Niigata,27.999999999999993,1.0,0.0,0.0,14.73192655089443,1.0000000000000002,0.2806122448979591,0.0
Oita,23.142857142857142,1.8571428571428568,0.0,0.0,5.495537256059198,0.902835522018433,0.5864197530864199,0.0
Okayama,2.571428571428571,0.42857142857142855,0.0,0.0,2.707969650641791,2.1917998669297094,0.8333333333333333,0.0
Okinawa,6.571428571428571,0.7142857142857142,0.0,0.0,6.578141562032217,3.156925177794596,0.5217391304347827,0.0
Osaka,183.14285714285714,16.57142857142857,0.2857142857142857,0.2857142857142857,9.46946579408833,3.1765091409885935,0.40093603744149764,0.08695652173913043
Saga,1.1428571428571428,0.14285714285714285,0.0,0.0,36.33625148779098,nan,0.1250000000000001,0.08695652173913043
Saitama,74.57142857142856,6.428571428571429,0.14285714285714285,0.14285714285714285,8.30337541060501,1.7235493694809159,0.44252873563218387,0.047619047619047616
Shiga,5.999999999999999,0.2857142857142857,0.0,0.0,14.420299019743018,1.640670712015276,0.2857142857142856,0.0
Shimane,0.0,0.0,0.0,0.0,nan,nan,nan,0.0
Shizuoka,3.857142857142857,0.42857142857142855,0.0,0.0,19.306612426152736,nan,0.22222222222222232,0.0
Tochigi,10.857142857142856,1.1428571428571428,0.0,0.0,4.688420904405819,2.0149458540125376,0.644736842105263,0.0
Tokushima,0.8571428571428571,0.42857142857142855,0.0,0.0,nan,nan,nan,0.0
Tokyo,347.85714285714283,46.57142857142857,0.7142857142857142,0.42857142857142855,4.918640176702232,3.5648332655935153,0.6271047227926078,0.05454545454545454
Tottori,0.0,0.0,0.0,0.0,nan,nan,nan,0.05454545454545454
Toyama,0.5714285714285714,0.42857142857142855,0.0,0.0,nan,nan,nan,0.05454545454545454
Wakayama,16.142857142857142,0.2857142857142857,0.14285714285714285,0.0,47.37616566673334,1.0,0.09734513274336298,0.0
Yamagata,0.14285714285714285,0.14285714285714285,0.0,0.0,nan,nan,nan,0.0
Yamaguchi,4.999999999999999,0.42857142857142855,0.0,0.0,3.8730632896557853,2.1917998669297094,0.7142857142857142,0.0
Yamanashi,4.428571428571428,0.2857142857142857,0.0,0.0,7.336016628655667,1.0,0.4838709677419354,0.0
Zenkoku,1574.5714285714284,141.1428571428571,6.142857142857142,1.714285714285714,8.83414198343564,2.707477774132694,0.42260932680094354,0.048979591836734684
