Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,35660,646.00,34715.71,92.29,443,261.00,3.46,3.00,2.14,0.03,73.64,1.05,0.82
Akita,581,9.00,533.14,1.29,23,12.71,1.34,0.00,0.00,0.00,24.97,1.24,0.00
Aomori,1768,26.00,1678.43,3.71,43,21.14,1.72,2.00,0.43,0.03,53.59,1.19,2.03
Chiba,34250,640.00,33869.43,91.43,161,109.14,1.74,5.00,2.29,0.04,164.93,0.97,2.09
Ehime,2491,54.00,2436.57,7.71,22,15.71,1.18,1.00,1.29,0.10,70.52,0.76,8.18
Fukui,945,33.00,918.43,4.71,11,6.71,0.88,0.00,0.00,0.00,75.34,1.23,0.00
Fukuoka,25786,368.00,24760.57,52.57,472,286.86,5.62,4.00,2.00,0.04,48.75,1.06,0.70
Fukushima,3786,127.00,3612.86,18.14,69,46.00,2.51,0.00,0.43,0.02,51.98,1.36,0.93
Gifu,6546,138.00,6247.86,19.71,130,73.00,3.70,0.00,0.86,0.04,63.22,1.34,1.17
Gunma,6616,106.00,6226.00,15.14,113,86.00,4.46,0.00,0.29,0.01,83.20,1.68,0.33
Hiroshima,6541,110.00,6310.00,15.71,0,66.00,2.36,0.00,0.00,0.00,55.48,1.70,0.00
Hokkaido,26175,890.00,25309.14,127.14,403,214.14,4.11,3.00,3.29,0.06,77.86,1.26,1.53
Hyogo,34352,764.00,33228.00,109.14,492,329.86,6.06,39.00,10.57,0.19,49.51,0.88,3.20
Ibaraki,8526,135.00,8387.86,19.29,67,36.43,1.28,0.00,0.00,0.00,113.98,0.85,0.00
Ishikawa,2803,84.00,2647.29,12.00,80,40.43,3.58,4.00,1.57,0.14,57.44,1.55,3.89
Iwate,1076,34.00,1020.71,4.86,17,15.14,1.25,1.00,0.29,0.02,33.63,1.04,1.89
Kagawa,1511,23.00,1381.57,3.29,78,28.57,3.01,0.00,0.14,0.02,36.85,1.38,0.50
Kagoshima,2512,28.00,2362.86,4.00,51,41.00,2.58,0.00,0.00,0.00,38.20,1.52,0.00
Kanagawa,55401,831.00,54691.71,118.71,303,192.00,2.08,6.00,1.43,0.02,160.55,0.97,0.74
Kochi,1117,20.00,1095.29,2.86,4,7.14,1.04,0.00,0.00,0.00,66.82,0.85,0.00
Kumamoto,4414,82.00,4325.43,11.71,0,29.14,1.68,0.00,0.43,0.02,64.60,0.64,1.47
Kyoto,13292,191.00,12918.86,27.29,0,129.29,5.03,0.00,0.71,0.03,69.17,0.96,0.55
Mie,4091,89.00,3967.86,12.71,47,32.57,1.84,0.00,0.29,0.02,60.66,0.85,0.88
Miyagi,8307,72.00,8201.29,10.29,47,27.00,1.18,0.00,0.43,0.02,178.79,1.10,1.59
Miyazaki,2463,23.00,2330.86,3.29,0,31.00,2.91,0.00,0.14,0.01,71.81,1.67,0.46
Nagano,4077,72.00,3983.57,10.29,46,22.57,1.11,0.00,0.57,0.03,102.52,1.09,2.53
Nagasaki,2429,44.00,2270.57,6.29,65,41.14,3.14,1.00,0.43,0.03,42.95,1.51,1.04
Nara,6831,86.00,6584.71,12.29,88,66.43,5.02,0.00,1.29,0.10,52.53,0.95,1.94
Niigata,2530,25.00,2431.14,3.57,50,27.57,1.25,0.00,0.00,0.00,59.86,1.33,0.00
Oita,2317,28.00,2112.29,4.00,93,52.43,4.66,0.00,0.29,0.03,27.09,1.26,0.54
Okayama,4836,49.00,4442.71,7.00,189,100.00,5.31,0.00,1.29,0.07,30.60,1.44,1.29
Okinawa,12992,138.00,12786.86,19.71,93,52.43,3.59,0.00,0.14,0.01,134.73,0.89,0.27
Osaka,88671,1696.00,85994.14,242.29,1021,738.14,8.37,41.00,26.14,0.30,56.60,0.81,3.54
Saga,1911,14.00,1749.14,2.00,76,43.86,5.42,0.00,0.14,0.02,44.16,2.61,0.33
Saitama,39577,749.00,38908.57,107.00,285,178.57,2.43,2.00,0.57,0.01,124.47,1.06,0.32
Shiga,4119,67.00,3955.14,9.57,74,43.00,3.04,0.00,0.86,0.06,59.11,1.10,1.99
Shimane,373,0.00,363.86,0.00,5,2.43,0.36,0.00,0.00,0.00,78.85,0.86,0.00
Shizuoka,6768,124.00,6640.57,17.71,56,32.43,0.90,0.00,0.43,0.01,128.76,1.18,1.32
Tochigi,5571,72.00,5472.00,10.29,51,24.29,1.26,0.00,0.14,0.01,155.60,1.08,0.59
Tokushima,1463,50.00,1414.86,7.14,21,17.71,2.46,2.00,0.86,0.12,36.09,0.83,4.84
Tokyo,145562,1915.00,143074.29,273.57,1121,651.00,4.66,6.00,2.43,0.02,120.92,0.94,0.37
Tottori,392,2.00,379.71,0.29,8,2.57,0.47,0.00,0.00,0.00,130.51,1.04,0.00
Toyama,1398,31.00,1374.71,4.43,10,6.86,0.66,0.00,0.29,0.03,78.05,0.70,4.17
Wakayama,2342,34.00,2280.71,4.86,19,17.29,1.89,1.00,0.71,0.08,60.67,0.86,4.13
Yamagata,1591,35.00,1562.86,5.00,8,8.71,0.82,0.00,0.29,0.03,91.50,0.81,3.28
Yamaguchi,2021,46.00,1940.29,6.57,39,18.86,1.41,0.00,0.00,0.00,59.19,0.95,0.00
Yamanashi,1267,19.00,1242.86,2.71,0,10.57,1.31,0.00,0.00,0.00,70.96,0.95,0.00
Zenkoku,630048,10819.00,614143.29,1545.57,6494,4296.86,3.42,121.00,65.86,0.05,81.39,1.00,1.53
