Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,48377,832.00,47565.57,118.86,266,227.29,3.01,8.00,7.86,0.10,97.52,0.76,3.46
Akita,760,16.00,758.00,2.29,0,0.71,0.08,0.00,0.57,0.06,465.66,0.48,80.00
Aomori,2415,30.00,2379.71,4.29,9,10.57,0.86,0.00,0.00,0.00,86.47,0.53,0.00
Chiba,37675,689.00,37337.14,98.43,137,88.29,1.41,0.00,1.71,0.03,256.00,0.98,1.94
Ehime,2726,74.00,2719.43,10.57,3,2.00,0.15,0.00,0.29,0.02,384.03,0.47,14.29
Fukui,1053,34.00,1045.57,4.86,1,2.29,0.30,0.00,0.00,0.00,332.59,1.00,0.00
Fukuoka,34564,478.00,34296.00,68.29,84,75.14,1.47,2.00,4.14,0.08,166.33,0.57,5.51
Fukushima,4632,152.00,4601.43,21.71,9,8.86,0.48,3.00,1.29,0.07,227.73,0.66,14.52
Gifu,9086,168.00,8922.86,24.00,44,48.71,2.47,1.00,0.71,0.04,97.31,0.89,1.47
Gunma,7912,142.00,7861.00,20.29,10,14.14,0.73,2.00,0.57,0.03,218.95,0.58,4.04
Hiroshima,10932,144.00,10732.14,20.57,63,69.57,2.49,4.00,2.57,0.09,65.55,0.68,3.70
Hokkaido,39309,1179.00,38507.71,168.43,276,232.71,4.46,16.00,12.29,0.24,71.05,0.68,5.28
Hyogo,40064,1214.00,39820.86,173.43,75,69.57,1.28,3.00,6.14,0.11,267.79,0.75,8.83
Ibaraki,9891,152.00,9797.43,21.71,27,24.71,0.87,0.00,0.71,0.03,181.41,0.69,2.89
Ishikawa,3824,108.00,3782.00,15.43,14,13.86,1.23,0.00,0.57,0.05,102.41,0.52,4.12
Iwate,1490,46.00,1462.00,6.57,9,7.71,0.64,1.00,0.29,0.02,85.59,0.73,3.70
Kagawa,2033,26.00,2016.57,3.71,6,5.14,0.54,0.00,0.29,0.03,194.95,0.76,5.56
Kagoshima,3482,30.00,3386.43,4.29,47,23.71,1.49,0.00,0.00,0.00,87.83,1.06,0.00
Kanagawa,62566,908.00,61925.29,129.71,224,169.86,1.84,6.00,3.71,0.04,197.61,0.90,2.19
Kochi,1572,21.00,1513.29,3.00,19,17.71,2.57,0.00,0.14,0.02,40.25,0.84,0.81
Kumamoto,6328,104.00,6274.86,14.86,10,16.57,0.95,1.00,1.00,0.06,126.96,0.53,6.03
Kyoto,16056,219.00,15904.14,31.29,49,46.43,1.81,1.00,1.29,0.05,198.90,0.98,2.77
Mie,5034,107.00,4961.57,15.29,23,20.29,1.15,0.00,0.29,0.02,129.62,0.89,1.41
Miyagi,8964,83.00,8900.57,11.86,15,16.29,0.71,0.00,0.00,0.00,356.60,1.02,0.00
Miyazaki,3046,26.00,3036.57,3.71,0,3.86,0.36,0.00,0.14,0.01,339.07,0.46,3.70
Nagano,4864,85.00,4821.57,12.14,15,12.29,0.60,0.00,0.29,0.01,186.23,0.68,2.33
Nagasaki,2979,68.00,2923.71,9.71,29,12.86,0.98,0.00,0.57,0.04,181.46,1.44,4.44
Nara,8000,118.00,7935.43,16.86,19,17.71,1.34,0.00,0.43,0.03,265.48,0.96,2.42
Niigata,3289,40.00,3244.43,5.71,13,13.00,0.59,0.00,0.57,0.03,119.45,0.76,4.40
Oita,3432,55.00,3399.29,7.86,8,10.86,0.97,0.00,1.14,0.10,112.67,0.57,10.53
Okayama,7464,110.00,7393.14,15.71,20,20.71,1.10,1.00,1.00,0.05,123.74,0.52,4.83
Okinawa,18316,153.00,17565.14,21.86,261,202.00,13.85,0.00,0.71,0.05,44.89,0.94,0.35
Osaka,100720,2412.00,100145.14,344.57,174,157.00,1.78,8.00,16.14,0.18,310.13,0.74,10.28
Saga,2528,21.00,2513.86,3.00,4,4.00,0.49,0.00,0.29,0.04,194.75,0.46,7.14
Saitama,44366,799.00,44022.71,114.14,119,93.71,1.28,5.00,2.14,0.03,253.29,0.90,2.29
Shiga,5281,82.00,5174.57,11.71,34,29.29,2.07,1.00,0.43,0.03,90.49,0.88,1.46
Shimane,545,0.00,542.57,0.00,0,0.71,0.11,0.00,0.00,0.00,103.46,0.24,0.00
Shizuoka,8587,138.00,8463.29,19.71,48,34.57,0.96,0.00,0.29,0.01,112.54,0.70,0.83
Tochigi,6475,78.00,6400.00,11.14,25,20.86,1.08,0.00,0.00,0.00,143.94,0.74,0.00
Tokushima,1636,63.00,1632.29,9.00,3,0.71,0.10,1.00,0.29,0.04,1084.62,0.54,40.00
Tokyo,163329,2103.00,161947.43,300.43,436,376.29,2.69,8.00,7.00,0.05,221.20,0.82,1.86
Tottori,466,2.00,465.43,0.29,0,0.43,0.08,0.00,0.00,0.00,383.13,0.42,0.00
Toyama,1916,36.00,1890.14,5.14,9,7.57,0.73,0.00,0.14,0.01,96.47,0.56,1.89
Wakayama,2635,45.00,2626.57,6.43,2,2.57,0.28,0.00,0.14,0.02,299.97,0.49,5.56
Yamagata,1990,45.00,1971.86,6.43,7,4.86,0.46,2.00,0.57,0.05,174.74,0.62,11.76
Yamaguchi,2991,65.00,2952.71,9.29,10,11.57,0.86,0.00,0.71,0.05,108.62,0.60,6.17
Yamanashi,1576,19.00,1556.14,2.71,0,7.71,0.96,0.00,0.00,0.00,114.75,0.79,0.00
Zenkoku,757176,13519.00,749095.57,1931.29,2656,2257.29,1.79,74.00,79.43,0.06,161.15,0.77,3.52
