Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,6457,96.00,6270.14,13.71,53,54.00,0.72,0.00,0.29,0.00,74.96,1.45,0.53
Akita,67,0.00,63.71,0.00,3,0.86,0.09,0.00,0.00,0.00,111.45,,0.00
Aomori,264,4.00,242.00,0.57,8,6.00,0.49,0.00,0.14,0.01,18.33,0.72,2.38
Chiba,5207,81.00,5091.86,11.57,58,30.00,0.48,0.00,0.29,0.00,97.87,0.94,0.95
Ehime,116,6.00,116.00,0.86,0,0.00,0.00,0.00,0.00,0.00,,,0.95
Fukui,257,11.00,256.86,1.57,0,0.14,0.02,0.00,0.00,0.00,1451.56,,0.00
Fukuoka,5251,104.00,5234.29,14.86,5,4.86,0.10,1.00,0.43,0.01,537.93,1.02,8.82
Fukushima,401,6.00,392.14,0.86,0,2.00,0.11,0.00,0.00,0.00,275.04,1.49,0.00
Gifu,710,12.00,693.57,1.71,10,4.14,0.21,0.00,0.14,0.01,153.57,2.31,3.45
Gunma,913,20.00,903.57,2.86,3,2.71,0.14,0.00,0.14,0.01,123.85,0.49,5.26
Hiroshima,665,5.00,661.71,0.71,2,0.86,0.03,0.00,0.00,0.00,497.01,0.90,0.00
Hokkaido,3447,112.00,3214.57,16.00,75,65.86,1.26,0.00,0.43,0.01,35.69,1.42,0.65
Hyogo,3363,67.00,3272.00,9.57,36,23.00,0.42,1.00,0.57,0.01,107.37,1.17,2.48
Ibaraki,789,18.00,774.00,2.57,10,3.57,0.13,0.00,0.00,0.00,124.55,1.17,0.00
Ishikawa,815,49.00,811.43,7.00,2,1.29,0.11,0.00,0.00,0.00,342.06,1.52,0.00
Iwate,29,0.00,27.57,0.00,0,0.29,0.02,0.00,0.00,0.00,231.68,,0.00
Kagawa,103,2.00,101.57,0.29,1,0.29,0.03,0.00,0.00,0.00,860.02,,0.00
Kagoshima,505,13.00,478.14,1.86,17,5.29,0.33,0.00,0.14,0.01,158.35,4.18,2.70
Kanagawa,9021,173.00,8819.14,24.71,109,53.57,0.58,0.00,0.43,0.00,102.14,1.07,0.80
Kochi,144,4.00,144.00,0.57,0,0.00,0.00,0.00,0.00,0.00,373.79,,0.80
Kumamoto,824,8.00,804.00,1.14,0,5.43,0.31,0.00,0.00,0.00,123.40,1.64,0.00
Kyoto,2090,30.00,2047.86,4.29,9,10.86,0.42,0.00,0.00,0.00,132.88,1.45,0.00
Mie,575,7.00,568.57,1.00,1,1.71,0.10,0.00,0.00,0.00,200.84,3.60,0.00
Miyagi,804,3.00,745.86,0.43,16,16.43,0.72,1.00,0.14,0.01,23.00,0.90,0.87
Miyazaki,371,1.00,368.43,0.14,0,0.57,0.05,0.00,0.00,0.00,960.14,2.69,0.00
Nagano,350,6.00,345.14,0.86,0,1.57,0.08,0.00,0.29,0.01,135.47,1.26,18.18
Nagasaki,245,3.00,244.29,0.43,0,0.14,0.01,0.00,0.00,0.00,1034.69,0.61,0.00
Nara,694,10.00,665.43,1.43,15,7.86,0.59,0.00,0.00,0.00,82.52,3.16,0.00
Niigata,185,0.00,184.00,0.00,1,0.29,0.01,0.00,0.00,0.00,388.16,0.75,0.00
Oita,159,3.00,159.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Okayama,315,6.00,295.43,0.86,6,6.00,0.32,2.00,0.29,0.02,15.20,0.72,4.76
Okinawa,3435,64.00,3373.00,9.14,27,18.71,1.28,1.00,0.43,0.03,86.70,0.79,2.29
Osaka,13316,249.00,12928.29,35.57,125,100.86,1.14,2.00,1.57,0.02,78.04,1.13,1.56
Saga,266,0.00,259.14,0.00,0,1.71,0.21,0.00,0.00,0.00,235.45,5.90,0.00
Saitama,6018,111.00,5919.29,15.86,32,27.43,0.37,2.00,0.71,0.01,107.60,0.96,2.60
Shiga,584,9.00,559.43,1.29,21,5.29,0.37,0.00,0.00,0.00,141.50,2.38,0.00
Shimane,141,0.00,141.00,0.00,0,0.00,0.00,0.00,0.00,0.00,1593.89,,0.00
Shizuoka,690,2.00,657.14,0.29,10,7.71,0.21,0.00,0.00,0.00,56.43,1.09,0.00
Tochigi,494,1.00,490.57,0.14,1,1.00,0.05,0.00,0.00,0.00,200.76,0.91,0.00
Tokushima,164,9.00,164.00,1.29,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Tokyo,31893,461.00,31357.29,65.86,269,144.57,1.03,2.00,0.86,0.01,125.75,1.03,0.59
Tottori,38,0.00,38.00,0.00,0,0.00,0.00,0.00,0.00,0.00,114.89,,0.59
Toyama,424,26.00,423.14,3.71,1,0.14,0.01,0.00,0.00,0.00,2050.67,1.00,0.00
Wakayama,280,4.00,276.57,0.57,2,0.86,0.09,0.00,0.00,0.00,258.50,1.14,0.00
Yamagata,86,1.00,86.00,0.14,0,0.00,0.00,0.00,0.00,0.00,362.68,,0.00
Yamaguchi,223,2.00,215.00,0.29,8,1.43,0.11,0.00,0.00,0.00,519.16,,0.00
Yamanashi,221,6.00,215.29,0.86,3,1.29,0.16,0.00,0.00,0.00,105.08,1.00,0.00
Zenkoku,103409,1805.00,101099.43,257.86,939,620.57,0.49,12.00,7.29,0.01,100.74,1.11,1.17
