Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop.,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR
Aichi,26207,545.0,26113.428571428565,77.85714285714285,39,32.42857142857142,0.4300231070169711,1.0,1.9999999999999998,0.02652124889091452,424.79577312298926,0.9937538842542217,0.06167400881057269
Akita,269,6.0,268.99999999999994,0.8571428571428571,0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.06167400881057269
Aomori,828,20.0,821.1428571428571,2.8571428571428568,6,1.4285714285714284,0.11609352261995216,0.0,0.0,0.0,772.2789433371819,2.363114788617384,0.0
Chiba,27497,495.0,27207.714285714283,70.71428571428571,106,88.14285714285714,1.4032371977121183,6.0,3.9999999999999996,0.06368013214901022,157.41078178580293,0.8505002213246532,0.04538087520259319
Ehime,1068,24.0,1066.2857142857142,3.4285714285714284,1,0.42857142857142855,0.03230875452012937,0.0,0.14285714285714285,0.010769584840043126,1338.8893303237473,0.5459582576122297,0.3333333333333333
Fukui,546,25.0,545.4285714285713,3.571428571428571,0,0.14285714285714285,0.018730965826664017,0.0,0.0,0.0,3702.583764537639,1.0,0.0
Fukuoka,18308,306.0,18224.142857142855,43.714285714285715,33,24.857142857142858,0.4867484415238046,-1.0,0.42857142857142855,0.008392214509031113,434.385734370396,0.9722204831279987,0.017241379310344827
Fukushima,2144,88.0,2091.0,12.571428571428571,23,14.714285714285712,0.8040092428278081,2.0,1.714285714285714,0.09367097974692909,67.44565441060469,0.9603647995769248,0.11650485436893204
Gifu,4785,115.0,4772.285714285714,16.428571428571427,3,4.142857142857142,0.20985608648502194,0.0,0.42857142857142855,0.021709250326036756,491.73744340590025,0.7675491934102008,0.10344827586206898
Gunma,4633,88.0,4600.142857142857,12.571428571428571,16,9.57142857142857,0.4968634567309795,0.0,0.2857142857142857,0.014831744977044165,209.559503129667,0.6479623614115971,0.029850746268656723
Hiroshima,5056,103.0,5043.142857142857,14.714285714285714,7,3.2857142857142856,0.1175626662681122,0.0,0.14285714285714285,0.005111420272526617,1178.8576474100364,1.1913504195042401,0.043478260869565216
Hokkaido,19663,697.0,19467.714285714286,99.57142857142857,65,55.14285714285714,1.0579042522105129,1.0,1.1428571428571428,0.02192547672975156,249.83838432485595,1.475073890818171,0.02072538860103627
Hyogo,18235,561.0,18150.85714285714,80.14285714285714,41,23.142857142857142,0.4255069120314627,2.0,1.714285714285714,0.03151903052084908,425.3830836830947,0.9621167790264155,0.07407407407407406
Ibaraki,6071,120.0,5988.285714285714,17.142857142857142,33,24.857142857142858,0.8709180782922318,2.0,0.5714285714285714,0.02002110524809728,129.8864050085363,0.9838966036371963,0.022988505747126436
Ishikawa,1879,62.0,1876.8571428571424,8.857142857142856,0,0.8571428571428571,0.07584267852070878,0.0,0.0,0.0,347.82094672311837,0.2579251884157727,0.0
Iwate,555,30.0,554.8571428571429,4.285714285714286,0,0.14285714285714285,0.01178493854213475,0.0,0.0,0.0,2353.233844318491,1.0,0.0
Kagawa,765,18.0,760.0,2.571428571428571,2,1.2857142857142856,0.1355093729574785,0.0,0.0,0.0,493.9700325863122,1.5217296534183684,0.0
Kagoshima,1762,27.0,1762.0,3.8571428571428568,0,0.0,0.0,0.0,0.0,0.0,5438.022830937516,nan,0.0
Kanagawa,45957,722.0,45643.714285714275,103.14285714285714,124,92.14285714285712,1.0000146203687907,5.0,3.8571428571428568,0.04186107713171682,275.29039506738303,0.9589330675001632,0.041860465116279076
Kochi,905,19.0,902.0,2.714285714285714,1,1.2857142857142854,0.18639348285542384,0.0,0.2857142857142857,0.04142077396787197,252.86388544772132,2.1917998669297094,0.22222222222222227
Kumamoto,3467,73.0,3457.2857142857138,10.428571428571429,5,2.428571428571428,0.13990264586352721,0.0,0.14285714285714285,0.008229567403736896,1074.8564203558208,1.4608525144711488,0.05882352941176472
Kyoto,9129,163.0,9095.57142857143,23.285714285714285,9,7.571428571428571,0.2947885445616547,1.0,0.857142857142857,0.03337228806358355,1059.1663417975155,1.4667877302336212,0.11320754716981131
Mie,2579,61.0,2564.142857142857,8.714285714285714,9,4.285714285714285,0.24245745174793634,2.0,0.7142857142857142,0.040409575291322726,317.74829304494233,0.7606622112721677,0.16666666666666669
Miyagi,3864,25.0,3770.2857142857138,3.571428571428571,29,24.71428571428571,1.0779602002139719,0.0,0.0,0.0,115.14627964370786,1.7828343137770464,0.0
Miyazaki,1953,21.0,1953.0,3.0,0,0.0,0.0,0.0,0.0,0.0,6630.784262803068,nan,0.0
Nagano,2385,41.0,2373.285714285714,5.857142857142857,6,2.9999999999999996,0.1474821116488746,0.0,0.0,0.0,1132.8789964331822,2.7872637371100755,0.0
Nagasaki,1613,37.0,1612.285714285714,5.285714285714286,0,0.14285714285714285,0.010899633990290605,0.0,0.0,0.0,5473.57498230629,0.4562460355474005,0.0
Nara,3427,48.0,3402.142857142857,6.857142857142857,13,7.142857142857142,0.5399107419561398,0.0,0.14285714285714285,0.010798214839122796,391.9413368710372,1.797532120599661,0.02
Niigata,1152,16.0,1120.2857142857142,2.2857142857142856,13,8.142857142857142,0.3701726082400942,0.0,0.14285714285714285,0.006494256284913933,127.42077745448172,1.3616084466325968,0.017543859649122806
Oita,1297,22.0,1296.8571428571427,3.142857142857143,0,0.14285714285714285,0.01269860458843759,0.0,0.14285714285714285,0.01269860458843759,1293.06454812547,0.27808507350447087,1.0
Okayama,2552,33.0,2522.8571428571427,4.714285714285714,16,7.999999999999999,0.4249993093761222,0.0,0.14285714285714285,0.007589273381716468,309.156200749141,1.9490922297548579,0.01785714285714286
Okinawa,8378,122.0,8319.0,17.428571428571427,24,16.428571428571427,1.1261401311982628,2.0,0.2857142857142857,0.01958504575996979,306.36351386079474,1.1129440151373127,0.017391304347826087
Osaka,47895,1144.0,47661.28571428571,163.42857142857142,84,65.14285714285714,0.7388012793705101,2.0,2.2857142857142856,0.025922851907737198,433.0760475032386,1.0342497351748285,0.03508771929824561
Saga,1126,10.0,1093.0,1.4285714285714284,12,7.7142857142857135,0.9537692164626924,0.0,0.2857142857142857,0.035324785794914534,149.08279930624224,1.7333870056041203,0.03703703703703704
Saitama,30363,640.0,30036.285714285714,91.42857142857142,135,90.42857142857142,1.2314175828261096,5.0,6.142857142857142,0.08365079946528074,202.8276466906723,1.0697253919126548,0.0679304897314376
Shiga,2612,48.0,2565.0,6.857142857142857,8,12.57142857142857,0.8900662037310967,0.0,0.14285714285714285,0.010114388678762463,121.83492041336865,1.2281232542619902,0.011363636363636366
Shimane,284,0.0,283.99999999999994,0.0,0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.011363636363636366
Shizuoka,5331,100.0,5255.142857142857,14.285714285714285,50,18.857142857142854,0.5210635190640561,1.0,0.857142857142857,0.02368470541200255,213.38919902975059,1.1541177635824627,0.045454545454545456
Tochigi,4207,68.0,4167.428571428571,9.714285714285714,13,10.857142857142858,0.5619374479329833,0.0,0.14285714285714285,0.007393913788591885,278.4070708652499,1.4095570802430162,0.013157894736842105
Tokushima,461,17.0,460.28571428571416,2.4285714285714284,0,0.5714285714285714,0.07922544451911442,0.0,0.14285714285714285,0.019806361129778606,241.83527118223694,1.0,0.25
Tokyo,114201,1518.0,113407.85714285713,216.85714285714283,340,225.28571428571428,1.612511320938905,18.0,10.857142857142856,0.07771138896091108,295.9027653642101,0.9875076506777937,0.048192771084337345
Tottori,210,2.0,210.0,0.2857142857142857,0,0.0,0.0,0.0,0.0,0.0,3563.8156783579793,nan,0.048192771084337345
Toyama,909,28.0,907.7142857142858,4.0,0,0.5714285714285714,0.05522809895218489,0.0,0.0,0.0,1620.1938422547694,nan,0.0
Wakayama,1170,18.0,1167.4285714285713,2.571428571428571,2,0.5714285714285714,0.06251577546521506,0.0,0.0,0.0,1199.1114795928324,1.2281232542619904,0.0
Yamagata,545,15.0,543.7142857142857,2.142857142857143,0,0.2857142857142857,0.026828791263687042,0.0,0.0,0.0,2635.691409739438,1.640670712015276,0.0
Yamaguchi,1389,42.0,1386.5714285714282,6.0,0,0.5714285714285714,0.04259605036642187,0.0,0.2857142857142857,0.021298025183210934,1118.8533205076544,0.4855018990274554,0.5
Yamanashi,941,17.0,941.0,2.4285714285714284,0,0.0,0.0,0.0,0.0,0.0,2456.0595975069828,nan,0.5
Zenkoku,440573,8400.0,437433.7142857143,1200.0,1268,893.4285714285714,0.7103003376637649,49.0,40.42857142857143,0.03214182851916301,289.8052873315652,1.0253025412373316,0.045251039334825716
