Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,6812,98.00,6553.86,14.00,81,70.43,0.93,1.00,0.29,0.00,64.45,1.23,0.41
Akita,67,0.00,66.14,0.00,0,0.43,0.05,0.00,0.00,0.00,75.01,1.00,0.00
Aomori,274,5.00,264.57,0.71,1,4.14,0.34,1.00,0.14,0.01,26.96,0.69,3.45
Chiba,5386,82.00,5253.43,11.71,32,38.14,0.61,0.00,0.14,0.00,94.37,1.23,0.37
Ehime,117,6.00,116.57,0.86,0,0.14,0.01,0.00,0.00,0.00,987.39,,0.00
Fukui,262,11.00,258.14,1.57,3,0.71,0.09,0.00,0.00,0.00,728.21,3.16,0.00
Fukuoka,5284,104.00,5263.29,14.86,4,6.57,0.13,0.00,0.14,0.00,511.26,0.98,2.17
Fukushima,418,6.00,406.86,0.86,3,3.86,0.21,0.00,0.00,0.00,99.91,6.42,0.00
Gifu,742,12.00,720.00,1.71,7,6.29,0.32,0.00,0.14,0.01,87.46,1.70,2.27
Gunma,927,20.00,917.43,2.86,2,3.14,0.16,0.00,0.14,0.01,173.61,0.84,4.55
Hiroshima,678,5.00,668.00,0.71,7,2.29,0.08,0.00,0.00,0.00,357.70,2.01,0.00
Hokkaido,4021,114.00,3608.00,16.29,153,102.86,1.97,1.00,0.57,0.01,27.00,1.67,0.56
Hyogo,3518,67.00,3404.29,9.57,32,34.71,0.64,0.00,0.29,0.01,80.08,1.68,0.82
Ibaraki,825,18.00,798.29,2.57,7,7.14,0.25,0.00,0.00,0.00,101.04,1.48,0.00
Ishikawa,823,49.00,817.14,7.00,1,1.57,0.14,0.00,0.00,0.00,372.62,0.94,0.00
Iwate,30,0.00,29.14,0.00,0,0.43,0.04,0.00,0.00,0.00,63.53,,0.00
Kagawa,107,2.00,103.86,0.29,2,0.71,0.08,0.00,0.00,0.00,173.93,,0.00
Kagoshima,537,13.00,505.43,1.86,14,8.86,0.56,0.00,0.00,0.00,62.32,3.23,0.00
Kanagawa,9375,178.00,9128.71,25.43,35,72.43,0.79,1.00,0.71,0.01,88.48,1.31,0.99
Kochi,144,4.00,144.00,0.57,0,0.00,0.00,0.00,0.00,0.00,4888.42,,0.99
Kumamoto,854,9.00,837.14,1.29,0,5.71,0.33,0.00,0.14,0.01,77.64,1.12,2.50
Kyoto,2166,30.00,2100.14,4.29,65,15.00,0.58,0.00,0.00,0.00,111.68,1.21,0.00
Mie,597,7.00,584.71,1.00,1,4.00,0.23,0.00,0.00,0.00,117.92,1.73,0.00
Miyagi,865,5.00,819.57,0.71,13,13.29,0.58,1.00,0.43,0.02,27.24,0.78,3.23
Miyazaki,373,1.00,371.43,0.14,1,0.57,0.05,0.00,0.00,0.00,404.51,,0.00
Nagano,384,6.00,358.71,0.86,14,5.00,0.25,0.00,0.00,0.00,86.48,2.45,0.00
Nagasaki,249,3.00,245.86,0.43,3,0.71,0.05,0.00,0.00,0.00,639.91,,0.00
Nara,745,11.00,709.86,1.57,8,10.00,0.76,0.00,0.14,0.01,49.16,1.55,1.43
Niigata,198,0.00,188.57,0.00,3,2.00,0.09,0.00,0.00,0.00,166.11,4.01,0.00
Oita,161,3.00,159.86,0.43,0,0.29,0.03,0.00,0.00,0.00,902.48,,0.00
Okayama,340,6.00,322.86,0.86,2,5.29,0.28,0.00,0.29,0.02,24.04,0.60,5.41
Okinawa,3536,65.00,3461.86,9.29,18,20.57,1.41,0.00,0.29,0.02,102.72,0.94,1.39
Osaka,13894,253.00,13464.86,36.14,78,145.43,1.65,4.00,1.29,0.01,72.68,1.39,0.88
Saga,274,1.00,267.57,0.14,6,1.43,0.18,0.00,0.14,0.02,95.27,3.16,10.00
Saitama,6296,112.00,6117.71,16.00,50,50.14,0.68,1.00,0.43,0.01,93.53,1.34,0.85
Shiga,620,9.00,588.57,1.29,19,8.57,0.61,0.00,0.00,0.00,69.97,2.83,0.00
Shimane,141,0.00,141.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Shizuoka,756,2.00,701.14,0.29,49,13.57,0.38,0.00,0.00,0.00,47.35,1.46,0.00
Tochigi,499,1.00,495.71,0.14,1,1.00,0.05,0.00,0.00,0.00,241.57,0.78,0.00
Tokushima,168,9.00,165.86,1.29,1,0.57,0.08,0.00,0.00,0.00,430.89,,0.00
Tokyo,32767,462.00,32138.29,66.00,149,180.71,1.29,1.00,0.43,0.00,117.93,1.18,0.24
Tottori,50,0.00,41.14,0.00,7,1.71,0.31,0.00,0.00,0.00,58.30,5.90,0.00
Toyama,424,26.00,423.71,3.71,0,0.14,0.01,0.00,0.00,0.00,2053.45,1.00,0.00
Wakayama,289,4.00,282.57,0.57,1,1.71,0.19,0.00,0.00,0.00,160.23,1.87,0.00
Yamagata,88,1.00,86.43,0.14,1,0.29,0.03,0.00,0.00,0.00,976.06,,0.00
Yamaguchi,225,2.00,221.57,0.29,0,1.43,0.11,0.00,0.00,0.00,122.98,,0.00
Yamanashi,241,6.00,224.43,0.86,16,3.57,0.44,0.00,0.00,0.00,80.40,1.92,0.00
Zenkoku,107547,1828.00,104548.29,261.14,890,857.57,0.68,11.00,6.14,0.00,88.80,1.31,0.72
