Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,5103,81.00,5005.00,11.57,33,26.14,0.35,2.00,0.71,0.01,114.63,1.02,2.73
Akita,53,0.00,51.71,0.00,0,0.29,0.03,0.00,0.00,0.00,157.24,1.64,0.00
Aomori,35,1.00,35.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Chiba,3651,68.00,3555.86,9.71,14,29.29,0.47,0.00,0.14,0.00,78.17,1.20,0.49
Ehime,114,6.00,114.00,0.86,0,0.00,0.00,0.00,0.00,0.00,,,0.49
Fukui,244,10.00,244.00,1.43,0,0.00,0.00,1.00,0.29,0.04,,,0.49
Fukuoka,5004,91.00,4981.00,13.00,1,8.00,0.16,1.00,1.57,0.03,273.10,0.60,19.64
Fukushima,225,2.00,218.71,0.29,4,1.57,0.09,0.00,0.29,0.02,48.07,0.53,18.18
Gifu,599,10.00,596.71,1.43,2,0.43,0.02,0.00,0.00,0.00,148.81,0.20,0.00
Gunma,670,19.00,623.71,2.71,7,14.71,0.76,0.00,0.00,0.00,27.47,1.55,0.00
Hiroshima,476,3.00,474.29,0.43,1,0.57,0.02,0.00,0.00,0.00,227.69,0.61,0.00
Hokkaido,1960,106.00,1917.14,15.14,16,10.86,0.21,0.00,0.00,0.00,153.71,1.53,0.00
Hyogo,2575,57.00,2533.14,8.14,5,13.86,0.25,1.00,0.29,0.01,103.38,0.91,2.06
Ibaraki,627,16.00,621.57,2.29,3,1.57,0.06,0.00,0.00,0.00,148.35,0.54,0.00
Ishikawa,756,45.00,745.43,6.43,2,2.86,0.25,1.00,0.29,0.03,165.23,1.04,10.00
Iwate,23,0.00,23.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,10.00
Kagawa,93,2.00,92.57,0.29,0,0.14,0.02,0.00,0.00,0.00,78.17,0.37,0.00
Kagoshima,377,12.00,375.29,1.71,1,0.57,0.04,0.00,0.14,0.01,507.42,2.69,25.00
Kanagawa,6403,135.00,6237.86,19.29,20,55.86,0.61,0.00,0.71,0.01,64.72,0.92,1.28
Kochi,137,4.00,137.00,0.57,0,0.00,0.00,0.00,0.00,0.00,514.58,,1.28
Kumamoto,571,8.00,570.57,1.14,0,0.14,0.01,0.00,0.00,0.00,310.13,0.13,0.00
Kyoto,1659,25.00,1650.71,3.57,0,4.43,0.17,0.00,0.00,0.00,165.93,0.82,0.00
Mie,475,5.00,467.71,0.71,5,1.71,0.10,0.00,0.00,0.00,122.64,0.59,0.00
Miyagi,367,2.00,344.29,0.29,2,7.71,0.34,0.00,0.00,0.00,22.85,0.92,0.00
Miyazaki,344,1.00,343.86,0.14,0,0.14,0.01,0.00,0.00,0.00,430.12,0.46,0.00
Nagano,303,1.00,299.86,0.14,2,0.86,0.04,0.00,0.00,0.00,288.55,1.34,0.00
Nagasaki,236,3.00,236.00,0.43,0,0.00,0.00,0.00,0.00,0.00,799.13,,0.00
Nara,555,9.00,551.86,1.29,1,0.71,0.05,0.00,0.00,0.00,299.88,0.79,0.00
Niigata,165,0.00,159.29,0.00,0,2.00,0.09,0.00,0.00,0.00,63.52,3.01,0.00
Oita,158,2.00,158.00,0.29,0,0.00,0.00,0.00,0.00,0.00,5363.92,,0.00
Okayama,148,,147.57,,0,0.14,0.01,,,,498.78,1.00,
Okinawa,2358,45.00,2326.00,6.43,6,8.71,0.60,0.00,0.00,0.00,191.19,1.06,0.00
Osaka,10099,193.00,9924.00,27.57,39,53.43,0.61,1.00,1.00,0.01,92.98,0.85,1.87
Saga,244,0.00,244.14,0.00,0,0.00,0.00,0.00,0.00,0.00,1379.59,,1.87
Saitama,4448,100.00,4390.14,14.29,15,18.29,0.25,0.00,0.43,0.01,129.51,0.88,2.34
Shiga,479,7.00,475.86,1.00,1,1.00,0.07,0.00,0.00,0.00,308.38,1.12,0.00
Shimane,137,0.00,137.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Shizuoka,517,1.00,513.57,0.14,0,1.57,0.04,0.00,0.00,0.00,207.72,1.07,0.00
Tochigi,400,1.00,380.00,0.14,13,4.57,0.24,0.00,0.00,0.00,35.59,0.81,0.00
Tokushima,147,9.00,147.00,1.29,0,0.00,0.00,0.00,0.14,0.02,1245.76,,0.00
Tokyo,24306,391.00,23815.29,55.86,98,147.43,1.06,1.00,0.71,0.01,92.69,0.98,0.48
Tottori,36,0.00,35.14,0.00,0,0.29,0.05,0.00,0.00,0.00,14.01,0.32,0.00
Toyama,410,25.00,409.00,3.57,0,0.29,0.03,0.00,0.00,0.00,1733.99,1.64,0.00
Wakayama,236,4.00,236.00,0.57,0,0.00,0.00,0.00,0.00,0.00,2669.42,,0.00
Yamagata,78,1.00,78.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Yamaguchi,195,1.00,194.71,0.14,0,0.14,0.01,0.00,0.00,0.00,312.49,0.19,0.00
Yamanashi,180,5.00,179.71,0.71,0,0.14,0.02,0.00,0.00,0.00,760.55,1.00,0.00
Zenkoku,78376,1507.00,76998.29,215.29,291,420.43,0.33,8.00,6.71,0.01,103.18,0.94,1.60
