Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,4586,71.00,4486.29,10.14,27,32.00,0.42,3.00,1.57,0.02,66.55,0.73,4.91
Akita,50,0.00,49.00,0.00,1,0.29,0.03,0.00,0.00,0.00,76.80,0.75,0.00
Aomori,35,1.00,35.00,0.14,0,0.00,0.00,0.00,0.00,0.00,96.62,,0.00
Chiba,3125,63.00,3046.14,9.00,33,23.43,0.37,0.00,0.29,0.00,59.05,0.79,1.22
Ehime,114,6.00,114.00,0.86,0,0.00,0.00,0.00,0.00,0.00,1288.21,,1.22
Fukui,238,8.00,223.14,1.14,2,4.57,0.60,0.00,0.00,0.00,17.41,0.96,0.00
Fukuoka,4685,64.00,4533.29,9.14,49,48.43,0.95,1.00,1.57,0.03,48.86,0.92,3.24
Fukushima,172,0.00,162.00,0.00,4,3.00,0.16,0.00,0.00,0.00,22.96,0.91,0.00
Gifu,563,10.00,557.00,1.43,1,1.71,0.09,0.00,0.14,0.01,190.61,0.75,8.33
Gunma,463,19.00,443.14,2.71,12,4.43,0.23,0.00,0.00,0.00,37.44,0.59,0.00
Hiroshima,459,3.00,457.29,0.43,0,0.71,0.03,0.00,0.00,0.00,270.05,0.46,0.00
Hokkaido,1803,104.00,1775.29,14.86,6,8.43,0.16,1.00,0.14,0.00,122.14,0.95,1.69
Hyogo,2308,53.00,2264.00,7.57,11,14.14,0.26,0.00,0.29,0.01,72.49,0.73,2.02
Ibaraki,559,14.00,547.43,2.00,4,3.00,0.11,0.00,0.14,0.01,67.44,0.61,4.76
Ishikawa,677,34.00,639.86,4.86,11,9.14,0.81,0.00,0.14,0.01,42.24,0.91,1.56
Iwate,22,0.00,19.86,0.00,0,0.43,0.04,0.00,0.00,0.00,10.61,0.50,0.00
Kagawa,82,1.00,77.43,0.14,4,1.14,0.12,0.00,0.00,0.00,70.60,2.01,0.00
Kagoshima,368,11.00,361.57,1.57,5,1.71,0.11,0.00,0.00,0.00,104.34,1.06,0.00
Kanagawa,5177,124.00,4965.29,17.71,81,62.14,0.67,0.00,1.14,0.01,46.34,1.07,1.84
Kochi,130,3.00,125.71,0.43,1,1.57,0.23,0.00,0.00,0.00,38.58,0.94,0.00
Kumamoto,534,7.00,517.71,1.00,6,5.14,0.30,0.00,0.00,0.00,51.98,0.80,0.00
Kyoto,1493,25.00,1438.57,3.57,19,13.14,0.51,2.00,0.43,0.02,47.44,0.78,3.26
Mie,383,2.00,371.57,0.29,3,3.29,0.19,0.00,0.00,0.00,56.79,0.73,0.00
Miyagi,214,2.00,204.14,0.29,4,3.00,0.13,0.00,0.00,0.00,74.59,4.01,0.00
Miyazaki,338,1.00,335.43,0.14,0,1.00,0.09,0.00,0.00,0.00,94.10,0.38,0.00
Nagano,280,1.00,252.86,0.14,12,8.71,0.43,0.00,,,14.48,1.43,
Nagasaki,234,3.00,230.29,0.43,2,1.43,0.11,0.00,0.00,0.00,38.05,0.49,0.00
Nara,526,7.00,517.71,1.00,2,2.57,0.19,0.00,0.29,0.02,94.17,0.63,11.11
Niigata,145,0.00,143.14,0.00,0,0.57,0.03,0.00,0.00,0.00,154.39,1.23,0.00
Oita,151,2.00,146.57,0.29,1,1.00,0.09,0.00,0.14,0.01,105.78,1.00,14.29
Okayama,146,,145.14,,1,0.14,0.01,,,,114.93,0.19,
Okinawa,2172,31.00,2122.71,4.43,20,16.57,1.14,2.00,0.71,0.05,48.02,0.73,4.31
Osaka,8826,157.00,8576.71,22.43,74,69.57,0.79,0.00,1.43,0.02,60.91,0.82,2.05
Saga,239,0.00,237.29,0.00,0,0.57,0.07,0.00,0.00,0.00,76.56,0.39,0.00
Saitama,4055,90.00,3934.86,12.86,42,35.57,0.48,0.00,0.29,0.00,54.75,0.91,0.80
Shiga,458,7.00,447.86,1.00,4,3.14,0.22,1.00,0.43,0.03,45.07,0.52,13.64
Shimane,137,0.00,137.00,0.00,0,0.00,0.00,0.00,0.00,0.00,385.33,,13.64
Shizuoka,485,1.00,480.71,0.14,1,1.00,0.03,0.00,0.00,0.00,64.18,0.31,0.00
Tochigi,307,1.00,304.43,0.14,0,0.71,0.04,0.00,0.00,0.00,99.93,0.66,0.00
Tokushima,141,4.00,132.00,0.57,4,2.00,0.28,0.00,0.00,0.00,28.00,0.78,0.00
Tokyo,21339,365.00,20839.86,52.14,211,145.29,1.04,1.00,1.00,0.01,71.43,0.87,0.69
Tottori,22,0.00,22.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.69
Toyama,400,25.00,387.29,3.57,4,4.29,0.41,0.00,0.29,0.03,44.51,0.95,6.67
Wakayama,231,4.00,230.00,0.57,0,0.43,0.05,0.00,0.00,0.00,286.89,0.69,0.00
Yamagata,78,1.00,77.71,0.14,0,0.14,0.01,0.00,0.00,0.00,525.47,,0.00
Yamaguchi,178,0.00,166.29,0.00,3,3.86,0.29,0.00,0.00,0.00,14.25,0.74,0.00
Yamanashi,173,4.00,172.57,0.57,0,0.14,0.02,0.00,0.14,0.02,124.98,0.19,100.00
Zenkoku,69301,1329.00,67455.14,189.86,665,543.57,0.43,11.00,10.71,0.01,60.55,0.85,1.97
