Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,27980,594.00,27682.29,84.86,112,88.14,1.17,1.00,1.57,0.02,222.33,1.41,1.78
Akita,311,6.00,298.57,0.86,8,3.71,0.39,0.00,0.00,0.00,85.73,3.81,0.00
Aomori,1119,20.00,1080.00,2.86,11,11.43,0.93,0.00,0.00,0.00,37.88,0.80,0.00
Chiba,30279,581.00,30025.71,83.00,76,77.71,1.24,1.00,1.57,0.03,208.88,0.91,2.02
Ehime,1595,24.00,1490.71,3.43,34,28.57,2.15,0.00,0.00,0.00,31.68,1.11,0.00
Fukui,628,27.00,613.00,3.86,2,4.71,0.62,2.00,0.29,0.04,70.09,0.94,6.06
Fukuoka,19211,333.00,19110.14,47.57,51,28.14,0.55,0.00,0.14,0.00,457.57,1.16,0.51
Fukushima,2699,117.00,2646.86,16.71,45,25.43,1.39,0.00,0.71,0.04,59.75,1.39,2.81
Gifu,5056,129.00,5008.29,18.43,19,13.14,0.67,0.00,0.57,0.03,260.88,1.13,4.35
Gunma,5156,101.00,5099.00,14.43,25,17.86,0.93,2.00,0.29,0.01,160.63,1.05,1.60
Hiroshima,5221,106.00,5198.00,15.14,3,7.43,0.27,0.00,0.00,0.00,318.56,0.96,0.00
Hokkaido,21433,764.00,21236.00,109.14,72,54.57,1.05,4.00,1.71,0.03,235.69,1.00,3.14
Hyogo,21208,596.00,20624.57,85.14,275,164.14,3.02,0.00,0.71,0.01,84.75,1.40,0.44
Ibaraki,6954,127.00,6860.86,18.14,46,27.00,0.95,0.00,0.00,0.00,147.13,0.94,0.00
Ishikawa,1987,65.00,1950.86,9.29,14,10.14,0.90,0.00,0.14,0.01,191.87,3.56,1.41
Iwate,713,30.00,691.57,4.29,0,9.57,0.79,0.00,0.00,0.00,37.47,2.02,0.00
Kagawa,947,19.00,900.86,2.71,12,14.00,1.48,0.00,0.00,0.00,39.10,1.49,0.00
Kagoshima,1886,28.00,1856.00,4.00,16,7.71,0.49,0.00,0.00,0.00,181.88,1.03,0.00
Kanagawa,48893,789.00,48565.57,112.71,118,98.43,1.07,1.00,0.57,0.01,289.56,1.09,0.58
Kochi,937,19.00,926.71,2.71,0,2.57,0.37,0.00,0.00,0.00,372.27,3.60,0.00
Kumamoto,3530,74.00,3519.14,10.57,4,3.43,0.20,0.00,0.00,0.00,810.67,1.64,0.00
Kyoto,9844,173.00,9660.86,24.71,55,46.71,1.82,0.00,0.57,0.02,161.87,1.77,1.22
Mie,2896,72.00,2837.14,10.29,33,17.00,0.96,0.00,0.29,0.02,104.74,1.28,1.68
Miyagi,6716,36.00,6420.29,5.14,122,87.57,3.82,1.00,0.71,0.03,32.42,0.83,0.82
Miyazaki,1966,22.00,1966.00,3.14,0,0.00,0.00,0.00,0.00,0.00,979.54,,0.82
Nagano,3030,42.00,2926.71,6.00,48,28.86,1.42,0.00,0.14,0.01,61.59,1.08,0.50
Nagasaki,1646,39.00,1644.00,5.57,0,1.14,0.09,0.00,0.00,0.00,474.81,0.75,0.00
Nara,4183,55.00,3978.57,7.86,85,52.29,3.95,0.00,0.00,0.00,58.05,1.56,0.00
Niigata,1620,18.00,1551.86,2.57,34,19.14,0.87,0.00,0.00,0.00,45.84,1.12,0.00
Oita,1328,22.00,1321.14,3.14,2,2.00,0.18,0.00,0.00,0.00,409.24,1.64,0.00
Okayama,2804,36.00,2752.43,5.14,23,14.43,0.77,0.00,0.14,0.01,134.03,1.52,0.99
Okinawa,10194,129.00,9873.29,18.43,155,88.43,6.06,0.00,0.14,0.01,72.17,1.17,0.16
Osaka,56626,1199.00,54633.71,171.29,878,544.14,6.17,2.00,2.14,0.02,69.82,1.46,0.39
Saga,1240,13.00,1219.14,1.86,7,6.00,0.74,0.00,0.00,0.00,136.05,1.45,0.00
Saitama,33766,709.00,33375.71,101.29,157,115.14,1.57,2.00,1.29,0.02,174.30,1.07,1.12
Shiga,2893,58.00,2845.43,8.29,24,14.14,1.00,0.00,0.29,0.02,127.28,1.63,2.02
Shimane,289,0.00,288.14,0.00,1,0.14,0.02,0.00,0.00,0.00,650.01,0.61,0.00
Shizuoka,5871,119.00,5807.00,17.00,22,20.86,0.58,1.00,0.14,0.00,163.58,0.98,0.68
Tochigi,4825,70.00,4748.71,10.00,24,23.71,1.23,0.00,0.00,0.00,112.51,1.01,0.00
Tokushima,624,20.00,584.00,2.86,19,11.14,1.54,1.00,0.29,0.04,40.00,1.70,2.56
Tokyo,123905,1789.00,122659.57,255.57,555,349.14,2.50,4.00,2.14,0.02,215.34,1.10,0.61
Tottori,281,2.00,274.14,0.29,2,3.00,0.54,0.00,0.00,0.00,21.30,0.78,0.00
Toyama,994,29.00,957.14,4.14,29,7.86,0.76,0.00,0.00,0.00,193.40,3.96,0.00
Wakayama,1422,18.00,1354.14,2.57,38,16.86,1.84,0.00,0.00,0.00,62.97,1.64,0.00
Yamagata,1106,17.00,1035.29,2.43,29,19.14,1.80,0.00,0.00,0.00,25.36,0.76,0.00
Yamaguchi,1443,43.00,1434.71,6.14,3,3.14,0.23,0.00,0.00,0.00,263.84,1.31,0.00
Yamanashi,996,19.00,984.14,2.71,4,3.86,0.48,0.00,0.00,0.00,194.19,1.78,0.00
Zenkoku,490251,9298.00,482518.00,1328.29,3292,2193.71,1.74,22.00,16.57,0.01,139.91,1.20,0.76
