Pref.,Total cases(ave7),cases(ave7),Total deaths(ave7),deaths(ave7),Td,Rt,K,CFR
Aichi,502.71428571428567,1.4285714285714284,4.857142857142857,-0.14285714285714285,291.95165303183694,nan,0.016481955100880907,0.5038910505836577
Akita,15.999999999999996,0.0,0.0,nan,nan,nan,0.0,0.5038910505836577
Aomori,27.0,0.0,0.0,nan,456.0865433307183,nan,0.010582010582010581,nan
Chiba,894.5714285714284,1.714285714285714,5.7142857142857135,1.714285714285714,166.3589338990955,0.37149857228423705,0.02874480996486739,0.24999999999999994
Ehime,68.14285714285714,3.285714285714285,0.42857142857142855,0.0,13.84690766864,nan,0.2955974842767296,0.24999999999999994
Fukui,122.0,0.0,1.1428571428571428,0.0,nan,nan,0.0,0.24999999999999994
Fukuoka,657.1428571428571,0.2857142857142857,3.4285714285714284,0.2857142857142857,741.5493130615575,0.6095068271022377,0.006521739130434856,0.5
Fukushima,81.0,0.0,0.0,0.0,685.3464122143452,nan,0.007054673721340499,0.0
Gifu,149.99999999999997,0.0,0.8571428571428571,0.0,nan,nan,0.0,0.0
Gunma,147.14285714285714,0.14285714285714285,2.571428571428571,0.2857142857142857,4995.164763955314,nan,0.0009708737864076999,0.0
Hiroshima,165.28571428571428,0.14285714285714285,0.2857142857142857,0.0,699.2960563257969,0.4562460355474005,0.006914433880726212,0.0
Hokkaido,997.8571428571428,5.142857142857143,8.857142857142856,2.714285714285714,79.01894584392313,0.7690028854811445,0.059556191839656436,0.3653846153846153
Hyogo,697.8571428571429,0.7142857142857142,4.857142857142857,2.142857142857143,273.1734059864378,0.40053555224678683,0.017604912998976707,0.8333333333333334
Ibaraki,168.0,0.0,1.2857142857142856,0.0,nan,nan,0.0,0.8333333333333334
Ishikawa,286.14285714285717,0.8571428571428571,2.714285714285714,0.8571428571428571,149.41423949156717,0.6095068271022377,0.03195207189216187,0.5
Iwate,0.0,0.0,0.0,0.0,nan,nan,nan,0.5
Kagawa,28.0,0.0,0.0,0.0,nan,nan,0.0,0.5
Kagoshima,10.142857142857144,-0.14285714285714285,0.0,nan,nan,nan,-0.05633802816901379,nan
Kanagawa,1250.285714285714,11.571428571428571,8.142857142857142,2.0,63.27823028373196,1.2245259370433152,0.07381170018281535,0.2295081967213115
Kochi,74.0,0.0,0.42857142857142855,0.0,nan,nan,0.0,0.2295081967213115
Kumamoto,47.99999999999999,0.0,0.42857142857142855,0.14285714285714285,812.7126552554035,nan,0.005952380952380931,1.0
Kyoto,357.57142857142856,0.2857142857142857,1.857142857142857,0.14285714285714285,171.05725535021097,0.2959167220283353,0.027966440271674164,0.09090909090909093
Mie,45.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.09090909090909093
Miyagi,88.0,0.0,0.14285714285714285,0.14285714285714285,nan,nan,0.0,0.09090909090909093
Miyazaki,17.0,0.0,nan,nan,nan,nan,0.0,0.09090909090909093
Nagano,76.0,0.0,nan,nan,181.9403520963026,nan,0.02631578947368418,nan
Nagasaki,17.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,nan
Nara,90.0,0.0,0.2857142857142857,0.0,761.7661760407909,nan,0.006349206349206327,0.0
Niigata,82.71428571428571,0.14285714285714285,0.0,nan,213.66676641990404,0.3714985722842371,0.022452504317789335,nan
Oita,59.99999999999999,0.0,0.14285714285714285,0.0,nan,nan,0.0,nan
Okayama,24.999999999999993,0.0,nan,nan,91.89767056985684,nan,0.05142857142857116,nan
Okinawa,141.99999999999997,0.0,0.8571428571428571,0.2857142857142857,nan,nan,0.0,nan
Osaka,1765.4285714285713,2.9999999999999996,8.714285714285714,0.7142857142857142,231.78970070189058,0.571160529964265,0.020715326104547627,0.10869565217391303
Saga,46.57142857142858,0.14285714285714285,0.0,0.0,141.35663969259022,nan,0.0337423312883437,0.10869565217391303
Saitama,983.2857142857142,2.5714285714285707,6.142857142857142,2.2857142857142856,137.88128731865405,0.4182034598741689,0.03457794566322825,0.26229508196721313
Shiga,98.28571428571426,0.2857142857142857,0.14285714285714285,0.0,474.4551101470307,nan,0.010174418604650848,0.26229508196721313
Shimane,23.999999999999996,0.0,0.0,nan,nan,nan,0.0,0.26229508196721313
Shizuoka,73.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.26229508196721313
Tochigi,58.99999999999999,0.5714285714285714,0.0,nan,66.64415319380315,1.640670712015276,0.07021791767554475,nan
Tokushima,5.0,0.0,0.14285714285714285,nan,nan,nan,0.0,nan
Tokyo,5042.857142857143,10.428571428571427,28.0,25.28571428571428,123.12745671680707,0.45183356488901955,0.03864022662889521,0.7972972972972971
Tottori,2.9999999999999996,0.0,0.0,0.0,nan,nan,0.0,0.7972972972972971
Toyama,224.85714285714283,0.7142857142857142,2.142857142857143,0.7142857142857142,167.27549311892452,1.9241674485167521,0.02858958068615003,2.5000000000000004
Wakayama,63.0,0.0,0.42857142857142855,0.14285714285714285,354.1926703494988,nan,0.013605442176870874,1.0
Yamagata,68.99999999999999,0.0,0.0,nan,nan,nan,0.0,1.0
Yamaguchi,37.0,0.0,nan,nan,nan,nan,0.0,1.0
Yamanashi,57.14285714285713,0.14285714285714285,0.0,0.0,240.16732944064702,nan,0.019999999999999796,1.0
Zenkoku,15943.0,43.42857142857142,95.42857142857142,39.714285714285715,143.59360996059775,0.651375319505471,0.0332255087320007,0.5018050541516246
