Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,25830,518.00,25700.57,74.00,53,37.29,0.49,1.00,1.71,0.02,380.25,0.84,4.60
Akita,269,6.00,269.00,0.86,0,0.00,0.00,0.00,0.00,0.00,,,4.60
Aomori,816,20.00,814.29,2.86,0,0.57,0.05,0.00,0.14,0.01,1149.93,0.75,25.00
Chiba,26395,453.00,26014.71,64.71,132,102.71,1.64,3.00,6.86,0.11,142.48,0.88,6.68
Ehime,1063,23.00,1058.14,3.29,1,1.57,0.12,0.00,0.00,0.00,242.05,0.63,0.00
Fukui,545,25.00,543.71,3.57,0,0.43,0.06,0.00,0.00,0.00,390.48,0.37,0.00
Fukuoka,18038,287.00,17924.29,41.00,31,31.29,0.61,1.00,2.57,0.05,248.30,0.66,8.22
Fukushima,1947,71.00,1904.86,10.14,28,10.14,0.55,1.00,0.29,0.02,190.69,1.62,2.82
Gifu,4722,110.00,4702.43,15.71,8,6.71,0.34,1.00,0.71,0.04,338.11,0.71,10.64
Gunma,4502,84.00,4439.00,12.00,11,17.29,0.90,0.00,0.14,0.01,198.59,1.21,0.83
Hiroshima,5022,102.00,5012.43,14.57,0,3.29,0.12,0.00,0.14,0.01,722.01,0.60,4.35
Hokkaido,19093,677.00,18978.43,96.71,27,36.86,0.71,2.00,2.43,0.05,298.92,0.94,6.59
Hyogo,17943,530.00,17870.71,75.71,21,19.57,0.36,0.00,3.57,0.07,383.43,0.62,18.25
Ibaraki,5755,109.00,5680.29,15.57,15,22.86,0.80,3.00,0.86,0.03,132.28,0.88,3.75
Ishikawa,1851,62.00,1828.14,8.86,6,7.71,0.68,0.00,0.14,0.01,102.97,0.65,1.85
Iwate,554,30.00,553.29,4.29,0,0.14,0.01,0.00,0.00,0.00,226.74,0.09,0.00
Kagawa,753,18.00,749.43,2.57,1,1.29,0.14,0.00,0.00,0.00,190.40,0.59,0.00
Kagoshima,1761,26.00,1756.71,3.71,0,2.00,0.13,0.00,0.29,0.02,494.78,0.80,14.29
Kanagawa,44899,680.00,44513.43,97.14,131,102.57,1.11,1.00,4.43,0.05,269.53,0.97,4.32
Kochi,884,17.00,884.00,2.43,0,0.00,0.00,0.00,0.00,0.00,2727.06,,4.32
Kumamoto,3439,72.00,3438.14,10.29,0,0.29,0.02,0.00,0.00,0.00,1355.41,0.20,0.00
Kyoto,9046,154.00,9034.71,22.00,0,4.14,0.16,0.00,0.14,0.01,524.82,0.60,3.45
Mie,2528,53.00,2514.14,7.57,7,6.86,0.39,0.00,0.57,0.03,154.82,0.68,8.33
Miyagi,3612,25.00,3583.14,3.57,15,7.00,0.31,0.00,0.14,0.01,320.38,0.96,2.04
Miyazaki,1951,21.00,1949.29,3.00,0,0.71,0.07,0.00,0.00,0.00,1000.69,0.71,0.00
Nagano,2364,41.00,2360.71,5.86,0,0.86,0.04,0.00,0.00,0.00,1379.98,0.65,0.00
Nagasaki,1612,36.00,1608.86,5.14,2,1.00,0.08,0.00,0.00,0.00,366.78,1.27,0.00
Nara,3358,46.00,3348.57,6.57,2,2.86,0.22,1.00,0.14,0.01,408.15,0.45,5.00
Niigata,1080,15.00,1058.00,2.14,4,6.86,0.31,0.00,0.14,0.01,139.03,1.64,2.08
Oita,1293,21.00,1289.14,3.00,2,1.00,0.09,0.00,0.00,0.00,439.84,0.44,0.00
Okayama,2484,32.00,2475.86,4.57,5,2.00,0.11,0.00,0.43,0.02,698.33,0.87,21.43
Okinawa,8193,119.00,8141.29,17.00,15,14.29,0.98,0.00,0.71,0.05,390.34,1.10,5.00
Osaka,47123,1117.00,46916.29,159.57,54,63.43,0.72,2.00,3.57,0.04,379.51,0.84,5.63
Saga,1057,8.00,1040.57,1.14,3,5.71,0.71,0.00,0.00,0.00,118.59,1.84,0.00
Saitama,29347,563.00,29042.43,80.43,97,84.43,1.15,5.00,5.43,0.07,180.77,0.81,6.43
Shiga,2467,46.00,2434.00,6.57,5,9.86,0.70,0.00,0.29,0.02,145.45,1.12,2.90
Shimane,284,0.00,283.29,0.00,0,0.43,0.06,0.00,0.00,0.00,478.65,2.19,0.00
Shizuoka,5141,93.00,5082.86,13.29,15,18.00,0.50,0.00,0.00,0.00,158.30,0.89,0.00
Tochigi,4093,66.00,4068.43,9.43,3,8.00,0.41,0.00,0.14,0.01,301.26,0.89,1.79
Tokushima,452,16.00,449.00,2.29,2,0.71,0.10,0.00,0.00,0.00,269.89,0.42,0.00
Tokyo,111676,1376.00,110753.14,196.57,329,252.00,1.80,6.00,14.57,0.10,261.47,0.88,5.78
Tottori,210,2.00,208.86,0.29,0,0.29,0.05,0.00,0.00,0.00,642.45,1.64,0.00
Toyama,905,28.00,904.43,4.00,0,0.29,0.03,0.00,0.14,0.01,442.76,0.32,50.00
Wakayama,1163,18.00,1161.00,2.57,1,0.57,0.06,0.00,0.14,0.02,1063.31,0.61,25.00
Yamagata,543,15.00,540.29,2.14,0,0.86,0.08,0.00,0.00,0.00,537.29,1.64,0.00
Yamaguchi,1382,38.00,1374.86,5.43,2,1.86,0.14,0.00,0.29,0.02,611.99,1.00,15.38
Yamanashi,939,16.00,937.43,2.29,0,0.57,0.07,0.00,0.00,0.00,774.13,0.75,0.00
Zenkoku,430384,7885.00,427196.57,1126.43,1028,899.14,0.71,27.00,51.14,0.04,264.78,0.86,5.69
