Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,106689,1161.00,106674.71,165.86,5,4.43,0.06,0.00,0.00,0.00,12237.85,0.86,0.00
Akita,1934,27.00,1934.00,3.86,0,0.00,0.00,0.00,0.00,0.00,65684.36,,0.00
Aomori,5901,38.00,5900.43,5.43,0,0.14,0.01,0.00,0.00,0.00,18216.07,0.46,0.00
Chiba,100591,1028.00,100563.71,146.86,14,7.57,0.12,0.00,0.00,0.00,10738.35,1.82,0.00
Ehime,5412,82.00,5412.00,11.71,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Fukui,3115,38.00,3115.00,5.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Fukuoka,74687,625.00,74679.14,89.29,3,2.71,0.05,0.00,0.00,0.00,17734.76,1.13,0.00
Fukushima,9495,176.00,9494.57,25.14,0,0.14,0.01,0.00,0.00,0.00,13434.06,0.32,0.00
Gifu,19276,219.00,19271.71,31.29,3,1.00,0.05,0.00,0.14,0.01,11480.88,0.91,14.29
Gunma,17166,176.00,17086.43,25.14,19,19.71,1.02,0.00,0.00,0.00,817.24,1.81,0.00
Hiroshima,22175,202.00,22175.00,28.86,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Hokkaido,61239,1474.00,61214.14,210.57,14,5.71,0.11,0.00,0.00,0.00,10605.18,1.70,0.00
Hyogo,78762,1398.00,78753.14,199.71,2,2.71,0.05,0.00,0.00,0.00,14225.17,0.85,0.00
Ibaraki,24469,220.00,24466.00,31.43,1,0.86,0.03,0.00,0.00,0.00,10516.16,0.58,0.00
Ishikawa,7970,129.00,7969.71,18.43,0,0.14,0.01,0.00,0.00,0.00,54134.59,,0.00
Iwate,3487,53.00,3487.00,7.57,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagawa,4705,38.00,4705.00,5.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagoshima,9106,66.00,9104.14,9.43,0,0.43,0.03,0.00,0.00,0.00,38649.45,,0.00
Kanagawa,169533,1316.00,169462.86,188.00,29,16.43,0.18,0.00,0.14,0.00,8412.30,1.61,0.87
Kochi,4167,33.00,4167.00,4.71,0,0.00,0.00,0.00,0.00,0.00,,,0.87
Kumamoto,14395,136.00,14395.00,19.43,0,0.00,0.00,0.00,0.00,0.00,,,0.87
Kyoto,36027,292.00,36016.14,41.71,6,2.57,0.10,0.00,0.14,0.01,10727.92,1.26,5.56
Mie,14818,163.00,14817.71,23.29,0,0.14,0.01,0.00,0.00,0.00,100651.97,,0.00
Miyagi,16286,118.00,16286.00,16.86,0,0.00,0.00,0.00,0.00,0.00,110625.80,,0.00
Miyazaki,6153,41.00,6153.00,5.86,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Nagano,8899,97.00,8895.57,13.86,2,0.71,0.04,0.00,0.00,0.00,9153.06,1.44,0.00
Nagasaki,6119,73.00,6119.00,10.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Nara,15937,149.00,15936.43,21.29,0,0.14,0.01,0.00,0.00,0.00,77321.61,0.61,0.00
Niigata,8157,62.00,8122.71,8.86,10,10.14,0.46,0.00,0.14,0.01,593.43,1.48,1.41
Oita,8187,84.00,8187.00,12.00,0,0.00,0.00,0.00,0.00,0.00,,,1.41
Okayama,15551,136.00,15550.43,19.43,0,0.29,0.02,0.00,0.00,0.00,18209.92,0.52,0.00
Okinawa,50377,398.00,50364.71,56.86,6,3.14,0.22,0.00,0.00,0.00,10556.82,1.31,0.00
Osaka,203359,3064.00,203317.00,437.71,14,10.86,0.12,0.00,0.00,0.00,14148.19,1.13,0.00
Saga,5866,30.00,5866.00,4.29,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Saitama,115976,1059.00,115949.43,151.29,11,6.86,0.09,0.00,0.00,0.00,12539.39,1.12,0.00
Shiga,12447,104.00,12442.29,14.86,1,1.00,0.07,0.00,0.00,0.00,13203.59,1.27,0.00
Shimane,1733,5.00,1733.00,0.71,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Shizuoka,26872,209.00,26864.00,29.86,3,2.43,0.07,0.00,0.00,0.00,4034.81,0.52,0.00
Tochigi,15511,117.00,15505.71,16.71,1,1.29,0.07,0.00,0.00,0.00,10323.84,0.93,0.00
Tokushima,3291,66.00,3291.00,9.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Tokyo,382520,3172.00,382444.29,453.14,28,19.71,0.14,0.00,0.29,0.00,15119.13,1.24,1.45
Tottori,1669,5.00,1669.00,0.71,0,0.00,0.00,0.00,0.00,0.00,,,1.45
Toyama,4868,52.00,4868.00,7.43,0,0.00,0.00,0.00,0.00,0.00,,,1.45
Wakayama,5303,62.00,5303.00,8.86,0,0.00,0.00,0.00,0.00,0.00,,,1.45
Yamagata,3605,56.00,3604.29,8.00,0,0.14,0.01,0.00,0.00,0.00,61205.94,,0.00
Yamaguchi,5795,93.00,5793.86,13.29,0,0.29,0.02,0.00,0.00,0.00,19675.95,1.64,0.00
Yamanashi,5159,29.00,5158.00,4.14,0,0.29,0.04,0.00,0.00,0.00,17516.31,1.64,0.00
Zenkoku,1724759,18371.00,1724288.29,2624.43,172,122.00,0.10,0.00,0.86,0.00,10591.66,1.26,0.70
