Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,521,34.00,519.14,4.86,0,0.71,0.01,0.00,0.00,0.00,357.41,1.92,0.00
Akita,16,0.00,16.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Aomori,27,1.00,27.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Chiba,924,45.00,921.43,6.43,0,0.71,0.01,0.00,0.00,0.00,623.48,0.54,0.00
Ehime,82,4.00,82.00,0.57,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Fukui,122,8.00,122.00,1.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Fukuoka,838,28.00,831.00,4.00,0,1.86,0.04,0.00,0.00,0.00,203.58,0.74,0.00
Fukushima,82,0.00,81.57,0.00,0,0.14,0.01,0.00,0.00,0.00,690.20,,0.00
Gifu,156,7.00,155.00,1.00,0,0.29,0.01,0.00,0.00,0.00,348.53,1.64,0.00
Gunma,151,19.00,151.00,2.71,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Hiroshima,168,3.00,168.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Hokkaido,1195,94.00,1183.43,13.43,3,3.57,0.07,0.00,0.43,0.01,128.06,0.69,12.00
Hyogo,700,43.00,699.29,6.14,0,0.14,0.00,0.00,0.00,0.00,11872.92,,0.00
Ibaraki,170,10.00,168.57,1.43,0,0.29,0.01,0.00,0.00,0.00,1428.92,,0.00
Ishikawa,299,27.00,299.00,3.86,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Iwate,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagawa,28,0.00,28.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagoshima,11,0.00,11.00,0.00,0,0.00,0.00,0.00,0.00,0.00,90.95,,0.00
Kanagawa,1428,93.00,1422.00,13.29,0,2.43,0.03,0.00,0.43,0.00,307.16,2.40,17.65
Kochi,74,3.00,74.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,17.65
Kumamoto,48,3.00,48.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,17.65
Kyoto,363,18.00,362.14,2.57,0,0.43,0.02,0.00,0.00,0.00,721.09,2.19,0.00
Mie,46,1.00,45.43,0.14,0,0.14,0.01,0.00,0.00,0.00,511.89,,0.00
Miyagi,89,1.00,88.43,0.14,0,0.14,0.01,0.00,0.00,0.00,998.71,,0.00
Miyazaki,17,0.00,17.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Nagano,77,,76.43,,0,0.14,0.01,,,,862.85,,
Nagasaki,17,1.00,17.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,
Nara,92,2.00,92.00,0.29,0,0.00,0.00,0.00,0.00,0.00,,,
Niigata,84,0.00,83.43,0.00,0,0.14,0.01,0.00,0.00,0.00,942.10,,0.00
Oita,60,1.00,60.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Okayama,25,,25.00,,0,0.00,0.00,,,,,,0.00
Okinawa,142,7.00,142.00,1.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Osaka,1806,86.00,1795.29,12.29,0,2.86,0.03,0.00,0.14,0.00,868.65,5.18,5.00
Saga,47,0.00,47.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,5.00
Saitama,1038,65.00,1026.71,9.29,7,2.43,0.03,0.00,1.86,0.03,422.83,1.15,76.47
Shiga,101,1.00,100.57,0.14,0,0.14,0.01,0.00,0.00,0.00,851.53,,0.00
Shimane,24,0.00,24.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Shizuoka,80,1.00,79.00,0.14,0,0.43,0.01,0.00,0.00,0.00,138.78,1.34,0.00
Tochigi,66,0.00,66.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Tokushima,5,1.00,5.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Tokyo,5783,320.00,5679.71,45.71,35,27.29,0.20,0.00,0.86,0.01,120.74,1.20,3.14
Tottori,3,0.00,3.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,3.14
Toyama,227,22.00,227.00,3.14,0,0.00,0.00,0.00,0.00,0.00,,,3.14
Wakayama,63,3.00,63.00,0.43,0,0.00,0.00,0.00,0.00,0.00,,,3.14
Yamagata,69,0.00,69.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,3.14
Yamaguchi,37,0.00,37.00,0.00,0,0.00,0.00,0.00,0.00,0.00,,,3.14
Yamanashi,72,1.00,71.71,0.14,0,0.14,0.02,0.00,0.00,0.00,94.98,0.61,0.00
Zenkoku,17473,953.00,17310.29,136.14,45,44.43,0.04,0.00,3.71,0.00,230.50,1.16,8.36
