Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,106728,1161.00,106714.43,165.86,5,4.14,0.05,0.00,0.00,0.00,17256.96,1.03,0.00
Akita,1934,27.00,1934.00,3.86,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Aomori,5901,38.00,5901.00,5.43,0,0.00,0.00,0.00,0.00,0.00,100208.98,,0.00
Chiba,100642,1028.00,100626.29,146.86,4,5.43,0.09,0.00,0.00,0.00,10385.70,0.92,0.00
Ehime,5412,82.00,5412.00,11.71,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Fukui,3115,38.00,3115.00,5.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Fukuoka,74767,626.00,74740.29,89.43,2,9.14,0.18,0.00,0.14,0.00,6489.89,2.82,1.56
Fukushima,9514,176.00,9503.86,25.14,2,2.71,0.15,0.00,0.00,0.00,5121.24,8.19,0.00
Gifu,19276,219.00,19276.00,31.29,0,0.00,0.00,0.00,0.00,0.00,40915.96,,0.00
Gunma,17296,176.00,17257.00,25.14,7,13.00,0.67,0.00,0.00,0.00,665.90,0.72,0.00
Hiroshima,22187,202.00,22180.14,28.86,1,1.71,0.06,0.00,0.00,0.00,20923.44,,0.00
Hokkaido,61402,1474.00,61347.57,210.57,11,17.43,0.33,0.00,0.00,0.00,2547.91,1.64,0.00
Hyogo,78837,1398.00,78808.00,199.71,6,9.29,0.17,0.00,0.00,0.00,7963.80,2.17,0.00
Ibaraki,24483,220.00,24478.86,31.43,1,1.14,0.04,0.00,0.00,0.00,11232.78,1.10,0.00
Ishikawa,8029,131.00,8016.29,18.71,3,3.71,0.33,0.00,0.14,0.01,887.33,1.35,3.85
Iwate,3488,53.00,3487.14,7.57,1,0.14,0.01,0.00,0.00,0.00,118435.63,,0.00
Kagawa,4705,38.00,4705.00,5.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagoshima,9120,66.00,9117.71,9.43,0,0.71,0.04,0.00,0.00,0.00,4019.34,0.66,0.00
Kanagawa,169749,1319.00,169661.86,188.43,26,23.43,0.25,0.00,0.29,0.00,5184.28,1.12,1.22
Kochi,4167,33.00,4167.00,4.71,0,0.00,0.00,0.00,0.00,0.00,,,1.22
Kumamoto,14396,136.00,14395.57,19.43,0,0.14,0.01,0.00,0.00,0.00,122231.13,,0.00
Kyoto,36102,292.00,36073.00,41.71,7,8.86,0.34,0.00,0.00,0.00,3538.59,1.91,0.00
Mie,14819,163.00,14818.14,23.29,1,0.14,0.01,0.00,0.00,0.00,503284.12,,0.00
Miyagi,16288,118.00,16288.00,16.86,0,0.14,0.01,0.00,0.00,0.00,46098.33,1.00,0.00
Miyazaki,6153,41.00,6153.00,5.86,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Nagano,8933,97.00,8921.00,13.86,6,3.29,0.16,0.00,0.00,0.00,1915.26,1.59,0.00
Nagasaki,6123,73.00,6121.14,10.43,0,0.57,0.04,0.00,0.00,0.00,13857.56,,0.00
Nara,15943,149.00,15940.57,21.29,0,0.86,0.06,0.00,0.00,0.00,20049.76,3.60,0.00
Niigata,8199,62.00,8183.57,8.86,7,3.57,0.16,0.00,0.00,0.00,997.39,0.58,0.00
Oita,8187,84.00,8187.00,12.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Okayama,15555,136.00,15554.00,19.43,0,0.43,0.02,0.00,0.00,0.00,25153.73,,0.00
Okinawa,50512,398.00,50454.00,56.86,5,17.00,1.17,0.00,0.00,0.00,2982.99,3.34,0.00
Osaka,203548,3064.00,203480.57,437.71,11,20.86,0.24,0.00,0.00,0.00,7151.88,1.61,0.00
Saga,5869,30.00,5866.86,4.29,0,0.43,0.05,0.00,0.00,0.00,33208.10,,0.00
Saitama,116043,1059.00,116015.57,151.29,13,7.00,0.10,0.00,0.00,0.00,11320.50,0.99,0.00
Shiga,12472,104.00,12466.14,14.86,0,2.29,0.16,0.00,0.00,0.00,2937.87,1.23,0.00
Shimane,1733,5.00,1733.00,0.71,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Shizuoka,26883,209.00,26881.14,29.86,0,0.86,0.02,0.00,0.00,0.00,10372.54,0.58,0.00
Tochigi,15568,117.00,15543.86,16.71,10,6.57,0.34,0.00,0.00,0.00,2179.12,2.47,0.00
Tokushima,3291,66.00,3291.00,9.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Tokyo,382834,3174.00,382718.57,453.43,35,33.14,0.24,0.00,0.29,0.00,8255.98,1.36,0.86
Tottori,1669,5.00,1669.00,0.71,0,0.00,0.00,0.00,0.00,0.00,,,0.86
Toyama,4869,52.00,4868.71,7.43,0,0.14,0.01,0.00,0.00,0.00,33069.98,,0.00
Wakayama,5303,62.00,5303.00,8.86,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Yamagata,3606,56.00,3605.86,8.00,0,0.14,0.01,0.00,0.00,0.00,13605.36,1.00,0.00
Yamaguchi,5810,93.00,5803.00,13.29,4,1.57,0.12,0.00,0.00,0.00,3338.16,2.53,0.00
Yamanashi,5161,29.00,5160.57,4.14,0,0.14,0.02,0.00,0.00,0.00,13480.25,0.46,0.00
Zenkoku,1726621,18379.00,1725945.29,2625.57,168,200.14,0.16,0.00,0.86,0.00,6144.84,1.34,0.43
