Pref.,cases(ave7),deaths(ave7),Td,Rt,K,CFR
Aichi,4.428571428571429,0.2857142857142857,21.743986036537727,1.5450337573605046,0.19999999999999996,0.06451612903225806
Akita,0.42857142857142855,0.0,3.5,1.8316418628294773,0.75,0.0
Aomori,0.7142857142857142,0.0,3.8730632896557853,0.8526652466135367,0.7142857142857143,0.0
Chiba,16.428571428571427,0.14285714285714285,3.8249798535671027,0.7578253276597935,0.71875,0.008695652173913044
Ehime,0.2857142857142857,0.0,7.0,2.6918003852647123,0.5,0.0
Fukui,1.7142857142857142,0.0,1.7917061736687083,2.1917998669297094,0.9333333333333333,0.0
Fukuoka,2.285714285714285,0.0,3.610854207522342,3.324290022684567,0.7391304347826086,0.0
Fukushima,0.0,0.0,nan,nan,0.0,0.0
Gifu,1.857142857142857,0.0,5.0275891728981845,1.7737653851130175,0.6190476190476191,0.0
Gunma,1.0,0.0,9.852308507595277,1.100076327639671,0.38888888888888884,0.0
Hiroshima,0.42857142857142855,0.0,7.0,2.363114788617384,0.5,0.0
Hokkaido,2.1428571428571423,0.14285714285714285,51.211266443639744,1.0935204309616606,0.09039548022598876,0.06666666666666668
Hyogo,6.714285714285714,0.5714285714285714,10.323388931498638,1.1763557542592062,0.375,0.0851063829787234
Ibaraki,1.5714285714285714,0.0,3.5,2.6918003852647123,0.75,0.0
Ishikawa,0.42857142857142855,0.0,8.00485672573663,5.423832026118483,0.4545454545454546,0.0
Iwate,0.0,0.0,nan,nan,nan,0.0
Kagawa,0.0,0.0,nan,nan,0.0,0.0
Kagoshima,0.14285714285714285,0.0,nan,1.640670712015276,nan,0.0
Kanagawa,5.571428571428571,0.14285714285714285,9.234497008129068,2.110912664866308,0.408695652173913,0.02564102564102564
Kochi,0.42857142857142855,0.0,15.643892200759696,3.305862648974978,0.2666666666666667,0.0
Kumamoto,0.5714285714285714,0.0,8.00485672573663,1.7846741842265792,0.4545454545454546,0.0
Kyoto,3.571428571428571,0.0,5.137350442306034,1.8016388897802698,0.6111111111111112,0.0
Mie,0.42857142857142855,0.0,8.00485672573663,0.7485495079957005,0.4545454545454546,0.0
Miyagi,0.14285714285714285,0.0,2.707969650641791,7.566448608794563,0.8333333333333334,0.0
Miyazaki,0.0,0.0,nan,nan,0.0,0.0
Nagano,0.7142857142857142,0.0,4.946865368279966,0.8526652466135367,0.625,0.0
Nagasaki,0.2857142857142857,0.0,nan,2.4469214704767364,nan,0.0
Nara,0.8571428571428571,0.0,6.153827090507419,1.8316418628294773,0.5454545454545454,0.0
Niigata,1.2857142857142856,0.0,14.148139745475218,0.2081604449527199,0.29032258064516125,0.0
Oita,1.8571428571428568,0.0,7.7737671492262015,0.3508545178252839,0.4642857142857143,0.0
Okayama,0.2857142857142857,0.0,3.5,2.4469214704767364,0.75,0.0
Okinawa,0.7142857142857142,0.0,4.416508275000202,nan,0.6666666666666667,0.0
Osaka,13.285714285714286,0.0,7.747045786707232,1.6783023400430104,0.46543778801843316,0.0
Saga,0.0,0.0,nan,nan,0.0,0.0
Saitama,5.285714285714286,0.2857142857142857,8.057503253953074,1.8868762502107526,0.45238095238095233,0.05405405405405405
Shiga,0.14285714285714285,0.0,26.612488118467514,5.899887726224537,0.16666666666666663,0.0
Shimane,0.0,0.0,nan,nan,nan,0.0
Shizuoka,0.14285714285714285,0.0,16.865945877572468,3.5960218482705533,0.25,0.0
Tochigi,1.1428571428571428,0.0,4.416508275000202,0.3714985722842371,0.6666666666666667,0.0
Tokushima,0.14285714285714285,0.0,nan,1.640670712015276,nan,0.0
Tokyo,41.42857142857143,0.14285714285714285,4.318995915066379,1.6628368132206688,0.6748329621380846,0.003448275862068965
Tottori,0.0,0.0,nan,nan,nan,0.003448275862068965
Toyama,0.0,0.0,nan,nan,nan,0.003448275862068965
Wakayama,0.2857142857142857,0.0,38.765647373545136,2.6918003852647123,0.11764705882352944,0.0
Yamagata,0.0,0.0,nan,nan,nan,0.0
Yamaguchi,0.5714285714285714,0.0,4.416508275000202,0.6095068271022377,0.6666666666666667,0.0
Yamanashi,0.2857142857142857,0.0,5.295295581562209,2.6918003852647123,0.6,0.0
Zenkoku,119.99999999999999,1.7142857142857144,7.4055206171264345,1.6420656030260303,0.48065712771595126,0.014285714285714289
