Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,50922,960.00,50781.86,137.14,20,49.57,0.66,5.00,2.43,0.03,461.72,0.75,4.90
Akita,862,20.00,821.86,2.86,14,10.71,1.13,0.00,0.00,0.00,73.81,2.48,0.00
Aomori,2490,31.00,2472.14,4.43,11,5.00,0.41,0.00,0.00,0.00,610.45,12.67,0.00
Chiba,40147,705.00,39819.29,100.71,92,97.71,1.56,1.00,0.57,0.01,246.08,1.05,0.58
Ehime,2754,75.00,2751.71,10.71,2,0.57,0.04,0.00,0.00,0.00,2746.39,0.56,0.00
Fukui,1271,34.00,1232.57,4.86,12,13.00,1.70,0.00,0.00,0.00,44.89,1.07,0.00
Fukuoka,35482,520.00,35402.14,74.29,26,25.14,0.49,0.00,0.57,0.01,760.52,0.90,2.27
Fukushima,4868,161.00,4837.43,23.00,4,9.29,0.51,0.00,0.00,0.00,313.53,1.07,0.00
Gifu,9439,186.00,9424.00,26.57,5,5.43,0.27,0.00,0.14,0.01,610.75,0.57,2.63
Gunma,8032,152.00,8021.71,21.71,3,2.71,0.14,0.00,0.14,0.01,1778.30,1.08,5.26
Hiroshima,11494,175.00,11463.14,25.00,13,10.00,0.36,1.00,1.14,0.04,479.42,0.62,11.43
Hokkaido,41294,1394.00,41205.71,199.14,23,26.29,0.50,5.00,3.57,0.07,689.03,0.64,13.59
Hyogo,40867,1288.00,40819.00,184.00,2,15.43,0.28,3.00,1.86,0.03,1295.69,0.77,12.04
Ibaraki,10517,164.00,10428.86,23.43,26,28.86,1.01,0.00,0.29,0.01,270.03,1.54,0.99
Ishikawa,3930,115.00,3927.00,16.43,1,1.14,0.10,0.00,0.14,0.01,886.75,0.36,12.50
Iwate,1670,46.00,1659.43,6.57,3,3.86,0.32,0.00,0.00,0.00,254.92,1.16,0.00
Kagawa,2095,30.00,2090.43,4.29,2,1.43,0.15,0.00,0.00,0.00,1161.50,1.44,0.00
Kagoshima,3671,38.00,3655.43,5.43,4,4.00,0.25,0.00,0.00,0.00,711.10,1.15,0.00
Kanagawa,67182,947.00,66584.29,135.29,181,174.29,1.89,2.00,1.14,0.01,242.13,1.11,0.66
Kochi,1820,25.00,1789.00,3.57,10,8.14,1.18,0.00,0.14,0.02,117.17,0.96,1.75
Kumamoto,6478,116.00,6466.86,16.57,1,3.00,0.17,0.00,0.43,0.02,920.44,0.76,14.29
Kyoto,16574,242.00,16536.00,34.57,15,10.71,0.42,1.00,0.86,0.03,864.29,0.95,8.00
Mie,5253,111.00,5236.29,15.86,4,6.71,0.38,0.00,0.14,0.01,442.19,1.29,2.13
Miyagi,9120,90.00,9102.86,12.86,7,5.00,0.22,0.00,0.43,0.02,1105.71,1.27,8.57
Miyazaki,3076,27.00,3074.57,3.86,0,0.86,0.08,0.00,0.00,0.00,1556.16,0.58,0.00
Nagano,5031,91.00,5018.57,13.00,3,4.14,0.20,0.00,0.00,0.00,436.88,0.78,0.00
Nagasaki,3178,69.00,3150.29,9.86,12,7.86,0.60,0.00,0.00,0.00,312.26,1.26,0.00
Nara,8318,129.00,8262.14,18.43,24,15.71,1.19,0.00,0.29,0.02,341.04,1.27,1.82
Niigata,3398,52.00,3395.14,7.43,0,1.14,0.05,5.00,0.71,0.03,1338.43,0.80,62.50
Oita,3491,63.00,3490.14,9.00,0,0.57,0.05,1.00,0.14,0.01,1578.11,0.43,25.00
Okayama,7588,126.00,7585.86,18.00,0,0.86,0.05,0.00,0.14,0.01,3178.41,0.48,16.67
Okinawa,20716,181.00,20527.29,25.86,84,55.43,3.80,0.00,1.43,0.10,197.91,0.90,2.58
Osaka,103275,2668.00,103016.43,381.14,101,80.14,0.91,7.00,6.29,0.07,718.39,1.03,7.84
Saga,2555,24.00,2553.14,3.43,1,0.86,0.11,0.00,0.00,0.00,1442.83,1.34,0.00
Saitama,46329,830.00,46080.00,118.57,76,77.71,1.06,0.00,0.43,0.01,355.38,1.17,0.55
Shiga,5551,90.00,5535.43,12.86,9,4.71,0.33,0.00,0.00,0.00,505.70,0.65,0.00
Shimane,553,1.00,551.71,0.14,1,0.29,0.04,0.00,0.00,0.00,3745.28,,0.00
Shizuoka,9278,150.00,9193.86,21.43,20,26.57,0.73,0.00,0.14,0.00,226.16,1.16,0.54
Tochigi,6996,81.00,6929.43,11.57,19,19.86,1.03,0.00,0.00,0.00,217.73,1.21,0.00
Tokushima,1656,63.00,1654.57,9.00,1,0.43,0.06,0.00,0.00,0.00,2078.91,1.00,0.00
Tokyo,173220,2231.00,171894.14,318.71,476,406.43,2.91,4.00,2.57,0.02,253.82,1.15,0.63
Tottori,470,2.00,466.57,0.29,4,0.57,0.10,0.00,0.00,0.00,3959.26,,0.00
Toyama,2040,38.00,2034.14,5.43,3,2.00,0.19,0.00,0.14,0.01,297.95,0.44,7.14
Wakayama,2680,49.00,2672.71,7.00,4,2.00,0.22,0.00,0.00,0.00,870.42,1.37,0.00
Yamagata,2020,47.00,2020.00,6.71,0,0.00,0.00,0.00,0.00,0.00,7620.65,,0.00
Yamaguchi,3133,77.00,3127.00,11.00,0,2.29,0.17,0.00,0.43,0.03,594.23,0.71,18.75
Yamanashi,2093,21.00,2058.86,3.00,6,10.57,1.31,0.00,0.00,0.00,63.95,0.62,0.00
Zenkoku,794877,14735.00,790821.00,2105.00,1325,1239.00,0.99,35.00,26.71,0.02,369.10,1.03,2.16
