Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,3843,46.00,3589.71,6.57,56,64.43,0.85,1.00,1.14,0.02,20.27,0.68,1.77
Akita,44,0.00,41.14,0.00,0,1.00,0.11,0.00,0.00,0.00,19.65,0.51,0.00
Aomori,33,1.00,32.86,0.14,0,0.14,0.01,0.00,0.00,0.00,183.56,,0.00
Chiba,2578,58.00,2448.86,8.29,46,39.14,0.62,0.00,0.43,0.01,36.75,1.03,1.09
Ehime,111,6.00,109.71,0.86,1,0.43,0.03,0.00,0.00,0.00,82.24,0.55,0.00
Fukui,155,8.00,154.57,1.14,0,0.14,0.02,0.00,0.00,0.00,653.81,0.61,0.00
Fukuoka,3728,45.00,3523.00,6.43,45,73.29,1.44,3.00,1.00,0.02,23.07,0.84,1.36
Fukushima,113,0.00,105.86,0.00,4,1.71,0.09,0.00,0.00,0.00,51.20,1.23,0.00
Gifu,523,8.00,510.57,1.14,3,4.43,0.22,0.00,0.14,0.01,41.65,0.49,3.23
Gunma,322,19.00,291.00,2.71,15,9.71,0.50,0.00,0.00,0.00,19.19,1.58,0.00
Hiroshima,437,3.00,433.43,0.43,0,1.71,0.06,0.00,0.00,0.00,70.06,0.46,0.00
Hokkaido,1638,103.00,1613.86,14.71,6,7.86,0.15,0.00,0.00,0.00,103.99,0.79,0.00
Hyogo,1949,48.00,1850.00,6.86,25,31.57,0.58,0.00,0.14,0.00,30.03,0.87,0.45
Ibaraki,476,11.00,453.00,1.57,13,6.43,0.23,1.00,0.14,0.01,32.09,0.81,2.22
Ishikawa,500,29.00,456.00,4.14,14,12.57,1.11,0.00,0.14,0.01,20.95,1.19,1.14
Iwate,9,0.00,8.29,0.00,0,0.29,0.02,0.00,0.00,0.00,20.93,1.00,0.00
Kagawa,67,1.00,63.29,0.14,2,1.00,0.11,0.00,0.14,0.02,57.25,1.00,14.29
Kagoshima,337,7.00,305.00,1.00,2,8.57,0.54,0.00,0.43,0.03,46.17,3.36,5.00
Kanagawa,4083,105.00,3823.14,15.00,95,80.29,0.87,0.00,0.14,0.00,27.22,1.18,0.18
Kochi,105,3.00,96.57,0.43,2,3.14,0.46,0.00,0.00,0.00,31.68,9.10,0.00
Kumamoto,427,7.00,402.14,1.00,10,6.71,0.39,0.00,0.29,0.02,33.75,0.97,4.26
Kyoto,1164,21.00,1090.00,3.00,26,19.71,0.77,0.00,0.00,0.00,33.01,1.28,0.00
Mie,288,2.00,276.57,0.29,3,3.71,0.21,0.00,0.14,0.01,21.51,0.49,3.85
Miyagi,185,1.00,184.29,0.14,0,0.14,0.01,0.00,0.00,0.00,258.36,0.32,0.00
Miyazaki,273,1.00,261.57,0.14,0,3.57,0.34,0.00,0.14,0.01,30.78,0.63,4.00
Nagano,152,,147.43,,2,1.71,0.08,,,,40.69,0.94,
Nagasaki,189,3.00,183.29,0.43,0,2.29,0.17,0.00,0.00,0.00,36.92,0.71,0.00
Nara,450,3.00,395.86,0.43,10,14.14,1.07,0.00,0.00,0.00,23.75,1.68,0.00
Niigata,136,0.00,130.71,0.00,3,1.00,0.05,0.00,0.00,0.00,168.32,1.00,0.00
Oita,130,1.00,107.14,0.14,10,5.29,0.47,0.00,0.00,0.00,21.58,1.74,0.00
Okayama,129,,125.14,,1,1.43,0.08,,,,40.03,0.79,
Okinawa,1759,15.00,1599.14,2.14,70,50.71,3.48,1.00,0.71,0.05,12.08,0.76,1.41
Osaka,7288,122.00,6821.43,17.43,187,133.29,1.51,5.00,3.00,0.03,27.18,0.93,2.25
Saga,203,0.00,191.43,0.00,4,4.00,0.49,0.00,0.00,0.00,21.21,0.76,0.00
Saitama,3342,84.00,3204.86,12.00,62,40.71,0.55,2.00,0.57,0.01,42.30,0.94,1.40
Shiga,361,4.00,338.57,0.57,7,6.29,0.45,0.00,0.14,0.01,28.58,0.73,2.27
Shimane,133,0.00,132.29,0.00,0,0.14,0.02,0.00,0.00,0.00,7.80,0.04,0.00
Shizuoka,431,1.00,408.00,0.14,6,6.14,0.17,0.00,0.00,0.00,34.37,1.05,0.00
Tochigi,284,1.00,274.57,0.14,2,2.71,0.14,0.00,0.00,0.00,39.91,0.62,0.00
Tokushima,96,1.00,87.00,0.14,1,3.71,0.51,0.00,0.00,0.00,11.97,2.13,0.00
Tokyo,18268,347.00,17591.71,49.57,186,226.86,1.62,3.00,1.29,0.01,42.80,0.90,0.57
Tottori,22,0.00,21.14,0.00,1,0.14,0.03,0.00,0.00,0.00,715.67,,0.00
Toyama,327,22.00,309.57,3.14,8,4.14,0.40,0.00,0.00,0.00,49.84,1.05,0.00
Wakayama,215,4.00,198.71,0.57,6,3.71,0.41,0.00,0.00,0.00,45.74,1.64,0.00
Yamagata,76,1.00,76.00,0.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Yamaguchi,89,0.00,83.43,0.00,5,1.14,0.09,0.00,0.00,0.00,34.80,0.67,0.00
Yamanashi,149,1.00,139.14,0.14,7,2.00,0.25,0.00,0.00,0.00,45.27,0.80,0.00
Zenkoku,57617,1143.00,54691.00,163.29,946,893.29,0.71,16.00,10.14,0.01,31.69,0.90,1.14
