Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,106450,1157.00,106426.00,165.29,8,8.00,0.11,1.00,0.14,0.00,7016.36,0.75,1.79
Akita,1924,27.00,1913.57,3.86,5,2.14,0.23,0.00,0.00,0.00,1441.86,1.92,0.00
Aomori,5896,38.00,5895.43,5.43,0,0.14,0.01,0.00,0.00,0.00,16683.71,0.46,0.00
Chiba,100394,1026.00,100372.43,146.57,7,6.00,0.10,0.00,0.00,0.00,8992.48,0.85,0.00
Ehime,5408,82.00,5404.00,11.71,0,1.71,0.13,0.00,0.00,0.00,1308.59,0.78,0.00
Fukui,3115,38.00,3114.00,5.43,0,0.29,0.04,0.00,0.00,0.00,3914.78,0.34,0.00
Fukuoka,74483,622.00,74472.00,88.86,2,3.14,0.06,0.00,0.00,0.00,9578.57,0.54,0.00
Fukushima,9486,175.00,9484.86,25.00,0,0.29,0.02,0.00,0.00,0.00,26843.05,1.64,0.00
Gifu,19226,218.00,19210.71,31.14,4,5.57,0.28,0.00,0.00,0.00,1297.33,0.75,0.00
Gunma,16817,176.00,16811.43,25.14,1,1.57,0.08,0.00,0.00,0.00,4047.13,0.56,0.00
Hiroshima,22119,202.00,22103.14,28.86,4,4.71,0.17,0.00,0.00,0.00,2559.74,0.75,0.00
Hokkaido,60854,1472.00,60826.71,210.29,8,8.29,0.16,0.00,0.00,0.00,4213.76,1.07,0.00
Hyogo,78582,1396.00,78546.86,199.43,14,10.71,0.20,0.00,0.00,0.00,4027.46,0.87,0.00
Ibaraki,24422,219.00,24414.29,31.29,3,2.14,0.08,0.00,0.14,0.01,9753.01,1.17,6.67
Ishikawa,7965,129.00,7963.57,18.43,0,0.29,0.03,0.00,0.00,0.00,67616.68,,0.00
Iwate,3486,53.00,3486.00,7.57,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagawa,4703,38.00,4703.00,5.43,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Kagoshima,9102,66.00,9102.00,9.43,0,0.00,0.00,0.00,0.00,0.00,77283.14,,0.00
Kanagawa,169024,1311.00,168986.71,187.29,13,10.43,0.11,0.00,0.43,0.00,10357.68,1.14,4.11
Kochi,4166,33.00,4166.00,4.71,0,0.00,0.00,0.00,0.00,0.00,14147.06,,4.11
Kumamoto,14393,136.00,14393.86,19.43,0,-0.29,-0.02,0.00,0.00,0.00,30552.32,,4.11
Kyoto,35930,291.00,35913.00,41.57,6,4.29,0.17,0.00,0.00,0.00,5861.79,1.14,0.00
Mie,14808,163.00,14807.71,23.29,0,0.29,0.02,0.00,0.00,0.00,5129.54,0.19,0.00
Miyagi,16274,118.00,16272.86,16.86,0,0.57,0.02,0.00,0.00,0.00,11757.04,0.61,0.00
Miyazaki,6151,41.00,6151.00,5.86,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Nagano,8883,97.00,8879.71,13.86,1,1.00,0.05,0.00,0.00,0.00,6280.75,1.49,0.00
Nagasaki,6118,73.00,6118.00,10.43,0,0.00,0.00,0.00,0.00,0.00,9032.05,,0.00
Nara,15919,149.00,15907.71,21.29,6,2.57,0.19,0.00,0.00,0.00,4059.93,0.87,0.00
Niigata,8003,61.00,7999.71,8.71,2,1.00,0.05,0.00,0.00,0.00,5778.51,1.27,0.00
Oita,8186,84.00,8186.00,12.00,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Okayama,15426,136.00,15393.14,19.43,9,9.14,0.49,0.00,0.00,0.00,921.27,0.98,0.00
Okinawa,50287,397.00,50276.14,56.71,3,3.00,0.21,0.00,0.14,0.01,5401.34,0.64,4.76
Osaka,202825,3056.00,202712.43,436.57,64,30.14,0.34,1.00,0.43,0.00,4303.37,1.01,1.42
Saga,5864,30.00,5861.71,4.29,0,0.86,0.11,0.00,0.00,0.00,4060.60,1.14,0.00
Saitama,115692,1050.00,115662.29,150.00,8,7.14,0.10,1.00,0.43,0.01,11094.69,1.05,6.00
Shiga,12417,104.00,12415.00,14.86,1,0.71,0.05,0.00,0.14,0.01,8969.18,0.71,20.00
Shimane,1731,5.00,1729.86,0.71,0,0.71,0.11,0.00,0.00,0.00,616.03,0.35,0.00
Shizuoka,26766,209.00,26760.43,29.86,0,1.57,0.04,0.00,0.00,0.00,9770.66,0.80,0.00
Tochigi,15461,117.00,15456.86,16.71,1,1.57,0.08,1.00,0.14,0.01,6815.50,1.76,9.09
Tokushima,3290,65.00,3288.00,9.29,1,0.43,0.06,0.00,0.00,0.00,9303.77,1.34,0.00
Tokyo,381900,3158.00,381820.57,451.14,31,22.00,0.16,1.00,0.43,0.00,12094.81,1.26,1.95
Tottori,1668,5.00,1668.00,0.71,0,0.00,0.00,0.00,0.00,0.00,28323.73,,1.95
Toyama,4867,52.00,4867.00,7.43,0,0.00,0.00,0.00,0.00,0.00,55098.85,,1.95
Wakayama,5296,62.00,5295.43,8.86,0,0.14,0.02,0.00,0.00,0.00,12844.36,0.37,0.00
Yamagata,3551,56.00,3551.00,8.00,0,0.00,0.00,0.00,0.00,0.00,7535.51,,0.00
Yamaguchi,5782,93.00,5763.71,13.29,11,4.43,0.33,0.00,0.00,0.00,1142.37,1.76,0.00
Yamanashi,5155,29.00,5155.00,4.14,0,0.00,0.00,0.00,0.00,0.00,,,0.00
Zenkoku,1720265,18315.00,1719708.86,2616.43,213,156.71,0.12,5.00,2.43,0.00,6315.43,0.92,1.55
