番号,地点記号,掲載地点名,緯度,経度,MSL潮位表基準面,MSL標高,潮位表基準面標高,M2振幅,M2遅角,S2振幅,S2遅角,K1振幅,K1角度,O1振幅,O1遅角,分潮一覧表,備考
1,WN,稚内,45゜24',141゜41',18.0,14.9,-3.1,2.22,111.61,1.99,141.63,6.48,17.80,6.33,351.53,2015年,
2,KE,枝幸,44゜56',142゜35',57.0,-,-,16.90,86.19,8.08,130.87,17.54,174.24,16.80,152.92,-,
3,A0,紋別,44゜21',143゜22',71.0,-,-,17.57,90.07,8.16,134.04,21.46,184.69,21.12,161.40,-,
4,AS,網走,44゜01',144゜17',68.0,0.6,-67.4,17.12,91.29,7.93,135.39,21.43,197.98,22.09,176.04,2015年,
5,A6,羅臼,44゜01',145゜12',64.0,-,-,17.26,94.28,7.74,138.38,19.75,197.41,19.96,176.77,-,
6,NM,根室,43゜21',145゜35',87.0,-,-,30.50,104.77,14.11,149.82,23.51,172.82,18.49,146.31,-,
7,HN,花咲,43゜17',145゜34',86.0,-2.4,-88.4,28.86,105.66,13.00,147.52,21.48,171.93,22.30,159.44,2015年,
8,KP,霧多布,43゜05',145゜07',81.0,-,-,28.59,105.20,13.21,146.96,21.79,162.58,17.29,160.06,-,
9,KR,釧路,42゜59',144゜22',87.0,-1.3,-88.3,28.96,105.82,13.40,145.94,25.06,168.39,19.04,141.45,2015年,
10,B1,十勝,42゜18',143゜19',85.0,-,-,29.57,104.37,13.61,144.35,23.15,163.47,18.57,153.91,-,
11,A9,浦河,42゜10',142゜46',93.0,-,-,30.46,107.82,14.19,146.90,23.45,168.45,19.58,150.39,-,
12,C8,苫小牧東,42゜36',141゜49',88.0,-,-,31.15,106.53,14.50,145.27,23.31,166.76,18.52,149.68,-,
13,TM,苫小牧西,42゜38',141゜37',88.0,-,-,31.30,105.67,14.58,144.42,23.30,166.45,18.61,149.43,-,
14,SO,白老,42゜31',141゜19',88.0,-,-,31.16,105.07,14.54,143.70,23.26,165.98,18.77,149.45,-,
15,A8,室蘭,42゜21',140゜57',95.0,-,-,33.41,104.79,15.55,143.38,23.53,165.73,19.08,149.22,-,
16,A3,森,42゜07',140゜36',92.0,-,-,33.95,104.71,15.66,143.96,23.57,165.87,19.08,149.33,-,
17,HK,函館,41゜47',140゜43',57.0,-9.7,-66.7,21.79,108.97,9.96,146.72,12.94,175.70,10.31,160.86,2015年,
18,Q0,吉岡,41゜27',140゜14',45.0,-,-,14.69,128.48,6.68,164.60,10.83,210.21,9.40,195.87,-,
19,A5,松前,41゜25',140゜06',23.0,-,-,8.12,120.91,3.48,157.69,5.49,266.89,5.35,253.60,-,
20,ES,江差,41゜52',140゜08',24.0,-,-,5.60,100.91,2.24,138.74,6.26,18.46,6.80,347.55,-,
21,ZP,奥尻,42゜05',139゜29',19.0,21.1,2.1,5.31,105.76,2.23,139.56,4.82,340.13,4.51,318.93,-,
22,OR,奥尻港,42゜10',139゜31',20.0,-,-,5.04,103.87,2.14,138.71,4.09,344.17,4.33,327.41,-,
23,SE,瀬棚,42゜27',139゜51',20.0,-,-,4.91,109.39,2.16,143.49,5.95,340.77,5.68,311.22,-,
24,B6,寿都,42゜48',140゜14',17.0,-,-,4.4,116.1,2.2,150.3,4.2,347.0,3.9,334.5,-,
25,B5,岩内,42゜59',140゜31',18.0,-,-,4.83,115.03,2.22,148.05,4.83,348.17,4.85,328.76,-,
26,Z8,忍路,43゜13',140゜52',17.0,10.2,-6.8,4.70,118.74,2.16,150.25,5.25,349.74,5.37,326.12,-,
27,B3,小樽,43゜12',141゜00',16.0,13.8,-2.2,4.75,119.45,2.25,150.36,5.21,349.62,5.36,326.37,2015年,
28,IK,石狩新港,43゜13',141゜18',18.0,-,-,4.66,121.25,2.28,151.27,5.17,350.19,5.40,327.18,-,
29,B2,留萌,43゜57',141゜38',16.0,-,-,4.68,128.50,2.24,158.25,5.29,348.58,5.24,325.42,-,
30,F3,沓形,45゜11',141゜08',18.0,-,-,3.70,146.68,1.96,166.22,5.45,353.26,5.40,329.41,-,
31,Q1,竜飛,41゜15',140゜23',33.0,5.9,-27.1,12.83,116.18,6.10,151.97,6.01,191.01,4.90,179.67,-,
32,AO,青森,40゜50',140゜46',37.0,-,-,18.09,104.63,8.28,142.78,5.53,160.17,3.70,149.12,-,
33,ZA,浅虫,40゜54',140゜52',37.0,18.1,-18.9,18.64,102.52,8.57,140.32,5.54,160.23,3.75,148.06,-,
34,Q2,大湊,41゜15',141゜09',41.0,-,-,19.79,105.63,9.17,143.42,5.74,161.14,3.87,148.53,-,
35,B4,大間,41゜32',140゜54',46.0,-,-,20.23,106.65,9.41,144.31,9.73,157.08,7.20,141.60,-,
36,SH,下北,41゜22',141゜14',80.0,4.4,-75.6,28.75,103.59,13.25,142.54,19.87,157.41,15.22,139.77,2015年,
37,XS,むつ小川原,40゜56',141゜23',85.0,-,-,30.26,104.17,13.92,142.95,22.41,165.25,18.22,149.32,-,
38,HC,八戸,40゜32',141゜32',85.0,-,-,30.60,104.56,14.08,143.25,22.33,163.61,17.81,147.73,-,
39,HG,八戸港,40゜32',141゜33',85.0,-,-,30.60,104.56,14.08,143.25,22.33,163.61,17.81,147.73,-,
40,XT,久慈,40゜12',141゜48',89.0,-,-,30.38,105.87,13.89,144.26,23.30,163.75,18.65,146.43,-,
41,MY,宮古,39゜39',141゜59',83.0,4.7,-78.3,30.24,108.29,14.00,146.12,23.87,166.99,19.48,149.45,2015年,＊２
42,Q6,釜石,39゜16',141゜53',86.0,-4.6,-90.6,30.35,110.44,14.01,147.66,23.15,168.22,18.85,152.15,-,
43,OF,大船渡,39゜01',141゜45',88.0,-5.7,-93.7,30.57,110.75,14.14,147.55,23.41,167.22,18.64,150.60,2015年,
44,AY,鮎川,38゜18',141゜30',88.0,-15.2,-103.2,31.84,114.24,14.81,149.73,24.10,169.67,19.46,152.79,2015年,
45,E6,石巻,38゜24',141゜16',90.0,-,-,33.12,114.59,15.36,149.83,24.17,169.50,19.49,153.31,-,
46,SG,塩釜,38゜19',141゜02',92.0,-,-,34.72,117.82,15.82,152.91,24.73,170.41,19.50,153.96,-,
47,SD,仙台新港,38゜16',141゜01',93.0,-,-,33.23,114.84,15.48,149.90,24.33,169.80,19.61,153.32,-,
48,ZM,相馬,37゜50',140゜58',88.0,-4.9,-92.9,33.13,117.71,15.39,152.55,24.45,171.85,19.69,155.34,-,
49,ON,小名浜,36゜56',140゜54',84.0,-8.6,-92.6,30.54,122.93,14.46,156.17,21.76,173.66,17.31,156.98,2015年,
50,D1,日立,36゜30',140゜38',86.0,-,-,30.94,122.30,14.62,155.15,22.42,169.65,17.45,152.31,-,
51,D3,大洗,36゜18',140゜34',87.0,-,-,31.01,124.26,14.70,157.11,22.95,170.96,17.81,151.95,-,
52,D2,鹿島,35゜56',140゜42',89.0,-,-,30.75,125.57,14.57,158.77,23.65,173.50,18.91,153.72,-,
53,CS,銚子漁港,35゜45',140゜52',90.0,1.0,-89.0,30.42,127.94,14.47,161.07,23.24,175.30,18.96,156.07,2015年,
54,ZF,勝浦,35゜08',140゜15',90.0,0.2,-89.8,35.91,140.20,16.58,169.70,22.36,176.95,17.48,158.72,-,
55,MR,布良,34゜55',139゜50',90.0,10.0,-80.0,35.53,140.25,16.83,169.73,23.23,176.90,18.21,157.40,2015年,
56,TT,館山,34゜59',139゜51',100.0,-,-,37.3,147.6,17.2,174.0,24.2,177.7,16.9,157.3,-,
57,KZ,木更津,35゜22',139゜55',115.0,-,-,44.10,150.70,21.50,179.30,24.40,177.60,19.00,159.80,-,
58,QL,千葉,35゜34',140゜03',120.0,8.3,-111.7,48.27,152.76,23.91,181.20,25.24,179.08,19.81,160.54,-,
59,CB,千葉港,35゜36',140゜06',120.0,-,-,47.94,153.19,23.64,181.17,25.18,179.15,19.68,160.59,-,
60,TK,東京,35゜39',139゜46',120.0,7.1,-112.9,48.03,154.02,23.77,182.48,25.20,179.66,19.73,161.12,2015年,
61,KW,川崎,35゜31',139゜45',115.0,-,-,45.30,152.86,22.35,181.29,24.86,179.19,19.70,160.21,-,
62,YK,京浜港,35゜28',139゜38',115.0,-,-,44.24,153.04,21.78,181.60,24.65,179.19,19.40,160.59,-,
