Country,date,Td(days)
['Afghanistan'],2020/05/06,10.54
['Algeria'],2020/04/03,10.61
['Argentina'],2020/04/14,16.75
['Austria'],2020/03/30,18.32
['Bangladesh'],2020/04/20,6.81
['Belarus'],2020/05/04,15.59
['Belgium'],2020/03/24,4.75
['Bolivia'],2020/05/07,10.08
['Bosnia and Herzegovina'],2020/05/09,60.09
['Brazil'],2020/03/28,5.05
['Cameroon'],2020/05/06,18.65
['Canada'],2020/03/31,6.77
['Chile'],2020/04/16,16.30
['China'],2020/01/28,3.19
['Colombia'],2020/04/11,14.69
['Czechia'],2020/04/09,31.17
['Denmark'],2020/04/01,9.86
['Dominican Republic'],2020/04/08,9.77
['Ecuador'],2020/04/02,7.66
['Egypt'],2020/04/08,10.13
['Finland'],2020/04/21,28.21
['France'],2020/03/16,4.42
['Germany'],2020/03/23,6.00
['Greece'],2020/04/14,57.02
['Honduras'],2020/05/07,12.58
['Hungary'],2020/04/13,14.76
['India'],2020/04/06,5.88
['Indonesia'],2020/03/28,7.85
['Iran'],2020/03/05,5.00
['Iraq'],2020/05/05,24.98
['Ireland'],2020/04/03,7.75
['Israel'],2020/04/11,23.40
['Italy'],2020/03/04,3.55
['Japan'],2020/04/12,10.55
['Luxembourg'],2020/05/07,341.12
['Malaysia'],2020/04/28,60.71
['Mexico'],2020/04/06,6.96
['Moldova'],2020/04/27,25.15
['Morocco'],2020/04/10,9.22
['Netherlands'],2020/03/20,4.75
['Nigeria'],2020/05/06,11.58
['Norway'],2020/04/08,46.40
['Pakistan'],2020/04/15,10.03
['Panama'],2020/04/16,16.59
['Peru'],2020/04/07,4.60
['Philippines'],2020/04/02,10.36
['Poland'],2020/04/06,10.90
['Portugal'],2020/03/28,6.79
['Romania'],2020/04/02,8.33
['Russia'],2020/04/11,4.97
['Saudi Arabia'],2020/04/20,8.31
['Serbia'],2020/04/16,14.55
['Slovenia'],2020/05/08,569.15
['South Africa'],2020/04/29,12.23
['Spain'],2020/03/13,3.32
['Sweden'],2020/03/27,7.57
['Switzerland'],2020/03/23,8.05
['Turkey'],2020/03/28,4.14
['USA'],2020/03/16,2.34
['Ukraine'],2020/04/15,8.78
['UAE'],2020/04/30,18.10
['UK'],2020/03/18,3.58
