Country,date,Td(days)
Afghanistan,2020/04/06,8.50
Albania,2020/03/28,9.56
Algeria,2020/03/20,4.08
Andorra,2020/03/31,13.54
Argentina,2020/03/27,6.24
Armenia,2020/04/09,20.49
Australia,2020/03/26,8.23
Austria,2020/03/22,5.60
Azerbaijan,2020/04/10,15.31
Bahamas,2020/04/23,34.28
Bangladesh,2020/04/06,2.75
Belarus,2020/04/06,3.62
Belgium,2020/03/17,3.90
Bolivia,2020/04/04,7.45
Bosnia and Herzegovina,2020/03/30,7.51
Brazil,2020/03/20,3.76
Bulgaria,2020/04/01,14.37
Burkina Faso,2020/03/28,10.13
Cameroon,2020/04/08,21.55
Canada,2020/03/20,3.27
Chad,2020/05/02,4.73
Chile,2020/03/31,7.65
China,2020/01/28,3.19
Colombia,2020/03/29,6.54
Congo (Brazzaville),2020/05/04,17.91
Congo (Kinshasa),2020/04/02,10.48
Cote d'Ivoire,2020/04/21,18.14
Croatia,2020/04/04,15.61
Cuba,2020/04/07,7.81
Cyprus,2020/04/02,10.35
Czechia,2020/03/28,8.92
Denmark,2020/03/21,9.17
Diamond Princess,2020/03/24,NG
Dominican Republic,2020/03/25,4.56
Ecuador,2020/03/22,4.91
Egypt,2020/03/21,7.56
El Salvador,2020/04/30,8.72
Estonia,2020/04/02,15.22
Finland,2020/03/29,10.14
France,2020/03/07,3.04
Georgia,2020/05/08,61.86
Germany,2020/03/15,3.48
Ghana,2020/04/24,10.12
Greece,2020/03/21,7.61
Guatemala,2020/04/23,10.57
Guinea,2020/05/05,19.80
Guyana,2020/05/05,25.30
Haiti,2020/05/04,6.82
Honduras,2020/04/01,8.14
Hungary,2020/03/25,5.74
Iceland,2020/04/20,426.58
India,2020/03/23,4.45
Indonesia,2020/03/18,4.19
Iran,2020/02/24,1.64
Iraq,2020/03/14,6.41
Ireland,2020/03/26,6.53
Israel,2020/03/27,5.75
Italy,2020/02/25,2.52
Japan,2020/03/09,10.96
Kazakhstan,2020/04/10,8.31
Kenya,2020/04/15,16.04
"Korea, South",2020/02/25,3.37
Kosovo,2020/04/16,11.29
Kuwait,2020/04/21,9.62
Kyrgyzstan,2020/05/03,24.64
Latvia,2020/04/22,47.61
Lebanon,2020/03/29,22.87
Liberia,2020/04/25,18.14
Lithuania,2020/04/04,16.05
Luxembourg,2020/03/27,10.38
Malaysia,2020/03/22,7.91
Mali,2020/04/13,7.08
Mauritius,2020/04/27,NG
Mexico,2020/03/27,5.55
Moldova,2020/04/04,6.59
Morocco,2020/03/26,5.11
Netherlands,2020/03/13,3.61
New Zealand,2020/04/17,132.01
Niger,2020/04/05,5.29
Nigeria,2020/04/11,8.89
North Macedonia,2020/04/01,8.47
Norway,2020/03/23,9.17
Oman,2020/04/24,16.48
Pakistan,2020/03/27,6.96
Panama,2020/03/28,6.60
Paraguay,2020/04/30,8.31
Peru,2020/03/27,5.05
Philippines,2020/03/15,4.29
Poland,2020/03/24,5.11
Portugal,2020/03/21,3.67
Qatar,2020/04/22,8.75
Romania,2020/03/24,4.46
Russia,2020/03/31,4.25
San Marino,2020/03/18,9.45
Saudi Arabia,2020/03/31,8.43
Senegal,2020/05/04,12.43
Serbia,2020/03/28,4.78
Sierra Leone,2020/05/05,8.39
Singapore,2020/04/14,5.06
Slovakia,2020/04/18,21.17
Slovenia,2020/03/29,14.63
Somalia,2020/04/23,8.05
South Africa,2020/04/05,16.81
Spain,2020/03/07,2.16
Sudan,2020/04/18,3.91
Sweden,2020/03/18,7.42
Switzerland,2020/03/13,3.29
Tajikistan,2020/05/07,5.91
Tanzania,2020/04/20,10.40
Thailand,2020/03/31,14.49
Togo,2020/05/08,8.50
Tunisia,2020/03/31,10.23
Turkey,2020/03/22,2.34
US,2020/03/04,2.41
Ukraine,2020/03/29,4.90
United Arab Emirates,2020/04/04,5.47
United Kingdom,2020/03/13,3.07
Uruguay,2020/04/19,37.06
Uzbekistan,2020/05/03,39.07
Venezuela,2020/04/21,28.23
