番号,地点記号,掲載地点名,緯度,経度,MSL潮位表基準面,MSL標高,潮位表基準面標高,M2振幅,M2遅角,S2振幅,S2遅角,K1振幅,K1角度,O1振幅,O1遅角,分潮一覧表,備考
52,ZF,勝浦,35゜08',140゜15',90.0,-2.1,-92.1,35.87,140.50,16.55,169.59,22.38,176.81,17.46,158.49,-,
53,MR,布良,34゜55',139゜50',90.0,4.5,-85.5,35.44,140.35,16.74,169.32,23.20,176.71,18.17,157.20,2011年,
54,TT,館山,34゜59',139゜51',100.0,-,-,37.3,147.6,17.2,174.0,24.2,177.7,16.9,157.3,-,
55,KZ,木更津,35゜22',139゜55',115.0,-,-,44.10,150.70,21.50,179.30,24.40,177.60,19.00,159.80,-,
56,QL,千葉,35゜34',140゜03',120.0,6.9,-113.1,48.11,152.85,23.73,181.02,25.22,179.00,19.75,160.41,-,
57,CB,千葉港,35゜36',140゜06',120.0,-,-,47.94,153.19,23.64,181.17,25.18,179.15,19.68,160.59,-,
58,TK,東京,35゜39',139゜46',120.0,6.8,-113.2,48.03,154.03,23.70,182.20,25.17,179.43,19.77,160.81,2011年,
59,KW,川崎,35゜31',139゜45',115.0,-,-,45.30,152.86,22.35,181.29,24.86,179.19,19.70,160.21,-,
60,YK,京浜港,35゜28',139゜38',115.0,-,-,44.28,153.34,21.69,181.60,24.69,179.26,19.39,160.79,-,
61,QS,横浜,35゜27',139゜39',115.0,7.8,-107.2,44.34,152.83,21.71,181.05,24.59,178.96,19.28,160.48,-,
62,HM,本牧,35゜26',139゜40',115.0,-,-,44.50,152.66,21.84,181.90,24.59,178.87,19.38,160.50,-,
63,QN,横須賀,35゜17',139゜39',110.0,9.7,-100.3,40.94,152.36,19.92,180.93,24.08,179.05,18.89,160.54,-,
64,Z1,油壺,35゜10',139゜37',93.0,7.2,-85.8,36.07,146.67,17.03,173.98,23.23,176.85,18.21,158.22,-,
65,OK,岡田,34゜47',139゜23',90.0,-1.5,-91.5,33.84,145.15,16.20,173.32,22.67,178.50,17.81,159.76,2011年,
66,QO,神津島,34゜13',139゜08',97.0,-,-97.0,37.39,165.02,17.62,190.52,21.78,186.54,17.17,166.52,-,＊１
67,MJ,三宅島（坪田）,34゜03',139゜33',91.0,-14.8,-105.8,36.03,152.23,16.98,178.78,22.84,175.61,17.82,158.15,2011年,
68,QP,三宅島（阿古）,34゜04',139゜29',91.0,-15.2,-106.2,34.13,156.57,16.37,183.00,22.00,184.73,17.30,165.25,-,
69,D4,八丈島（八重根）,33゜06',139゜46',95.0,-,-,33.56,164.65,15.72,189.54,22.06,189.80,17.32,168.33,-,
70,QQ,八丈島（神湊）,33゜08',139゜48',81.0,-11.6,-92.6,31.88,158.89,15.46,185.64,19.89,181.15,15.41,164.46,-,
71,CC,父島,27゜06',142゜12',68.0,3.2,-64.8,28.33,185.84,12.64,208.66,16.44,195.10,12.09,175.12,2011年,
72,MC,南鳥島,24゜17',153゜59',30.0,-,-30.0,7.75,91.51,4.62,137.12,9.71,197.09,7.44,175.32,2011年,＊１
73,D8,湘南港,35゜18',139゜29',92.0,-,-,36.02,149.23,17.01,176.62,23.16,178.82,18.32,158.57,-,
74,Z3,伊東,34゜54',139゜08',98.0,-4.8,-102.8,35.47,146.43,16.75,174.08,23.81,177.26,18.50,158.10,-,
75,D6,下田,34゜41',138゜58',101.0,-,-,38.79,159.32,18.05,185.92,23.99,182.11,18.58,161.89,-,
76,QK,南伊豆,34゜38',138゜53',100.0,-,-,39.80,162.90,18.45,188.27,24.12,183.99,18.61,163.90,-,
77,G9,石廊崎,34゜37',138゜51',100.0,2.0,-98.0,40.11,165.15,18.63,189.75,24.50,185.63,18.85,165.04,2011年,
78,Z4,田子,34゜48',138゜46',100.0,8.3,-91.7,40.39,166.13,18.87,191.48,20.88,187.15,16.26,167.91,-,
79,UC,内浦,35゜01',138゜53',100.0,5.8,-94.2,40.59,167.62,18.68,192.28,20.51,179.99,15.19,161.72,2011年,
80,SM,清水港,35゜01',138゜31',95.0,12.5,-82.5,39.58,166.34,18.49,191.17,21.23,180.10,15.70,160.50,2011年,
81,Z5,焼津,34゜52',138゜20',95.0,13.6,-81.4,40.94,164.40,18.90,189.38,23.03,182.33,17.50,160.93,-,
82,OM,御前崎,34゜37',138゜13',100.0,2.5,-97.5,40.85,166.20,18.90,191.42,23.15,185.62,17.82,164.20,2011年,
83,MI,舞阪,34゜41',137゜37',70.0,1.5,-68.5,31.41,178.95,13.84,203.04,16.74,193.18,12.30,173.39,2011年,
84,I4,赤羽根,34゜36',137゜11',105.0,-7.2,-112.2,43.35,172.44,20.54,192.40,21.91,182.84,16.31,168.27,2011年,
85,G4,三河,34゜44',137゜19',135.0,-,-,61.83,176.19,29.28,202.30,23.89,187.27,18.04,166.90,-,
86,G5,形原,34゜47',137゜11',135.0,-,-,60.40,180.28,28.12,206.47,23.87,189.70,18.14,168.58,-,
87,G8,衣浦,34゜53',136゜57',130.0,-,-,60.03,178.09,28.19,204.08,23.64,187.05,17.63,167.06,-,
88,ZD,鬼崎,34゜54',136゜49',130.0,-2.9,-132.9,62.38,176.82,29.19,202.76,23.95,186.61,17.88,166.42,-,
89,NG,名古屋,35゜05',136゜53',140.0,1.7,-138.3,64.77,177.84,30.42,203.87,24.06,186.91,17.94,166.77,2011年,
90,G3,四日市港,34゜58',136゜38',130.0,-,-,62.64,176.83,29.27,202.90,23.87,186.38,17.80,166.34,-,
91,TB,鳥羽,34゜29',136゜49',120.0,-0.1,-120.1,54.72,178.34,25.44,204.18,23.34,187.95,17.51,167.17,2011年,
92,OW,尾鷲,34゜05',136゜12',104.0,1.0,-103.0,43.87,170.24,19.76,194.14,22.19,185.90,17.18,165.55,2011年,
93,KN,熊野,33゜56',136゜10',102.0,3.7,-98.3,43.19,169.63,19.74,193.61,21.85,187.45,17.16,167.59,2011年,
94,UR,浦神,33゜34',135゜54',105.0,9.2,-95.8,45.51,171.46,20.27,195.76,21.46,186.71,16.44,167.68,2011年,
95,KS,串本,33゜29',135゜46',105.0,22.5,-82.5,45.28,175.45,20.11,198.40,21.84,188.30,16.48,168.22,2011年,
96,SR,白浜,33゜41',135゜23',110.0,11.0,-99.0,47.62,172.87,21.59,197.11,21.99,189.22,16.96,168.44,2011年,
97,GB,御坊,33゜51',135゜10',110.0,10.9,-99.1,48.09,173.89,21.84,198.28,22.00,189.08,17.17,168.56,2011年,
98,H1,下津,34゜07',135゜08',110.0,-,-,45.04,186.14,21.43,209.21,23.85,192.24,18.14,170.91,-,
99,Z9,海南,34゜09',135゜12',111.0,9.0,-102.0,44.53,186.21,21.54,207.88,24.02,191.50,18.39,170.56,-,
100,WY,和歌山,34゜13',135゜09',111.0,10.4,-100.6,43.87,187.73,21.30,209.19,24.06,191.99,18.42,171.05,2011年,
101,TN,淡輪,34゜20',135゜11',95.0,20.3,-74.7,31.45,205.06,17.40,221.25,25.26,200.98,19.10,178.94,2011年,
102,KK,関空島,34゜26',135゜12',95.0,-,-,29.62,208.96,16.95,223.70,25.44,202.99,19.17,181.05,-,
103,J2,岸和田,34゜28',135゜22',95.0,-,-,31.39,211.79,16.70,227.38,25.95,203.69,19.84,180.56,-,
104,IO,泉大津,34゜31',135゜24',95.0,-,-,30.36,213.62,17.31,226.36,25.89,203.09,19.15,180.92,-,
105,SI,堺,34゜36',135゜28',95.0,-,-,30.61,213.73,17.28,228.44,26.34,202.70,19.65,181.20,-,
106,OS,大阪,34゜39',135゜26',95.0,15.0,-80.0,29.71,215.47,16.88,227.82,26.06,203.77,19.60,181.31,2011年,
107,AM,尼崎,34゜42',135゜24',95.0,-,-,29.45,215.60,16.63,228.28,25.95,204.08,19.59,181.92,-,
108,J5,西宮,34゜43',135゜20',95.0,-,-,28.98,220.70,16.77,232.76,25.30,206.31,18.74,182.82,-,
109,KB,神戸,34゜41',135゜11',95.0,13.7,-81.3,28.49,216.59,16.33,228.43,25.85,204.03,19.48,181.52,2011年,
110,AK,明石,34゜39',134゜59',70.0,-,-,14.81,258.96,8.56,240.41,25.33,216.15,19.26,193.94,-,
111,ST,洲本,34゜21',134゜54',95.0,15.6,-79.4,29.05,193.59,16.41,214.50,23.53,204.01,17.98,182.02,2011年,
112,EI,江井,34゜28',134゜50',80.0,-,-,29.61,335.14,6.07,339.77,27.60,228.96,20.49,204.27,-,
113,K1,姫路（飾磨）,34゜47',134゜40',90.0,-,-,32.01,321.49,8.00,321.83,27.14,226.25,20.21,201.65,-,
114,UN,宇野,34゜29',133゜57',140.0,15.5,-124.5,68.91,325.40,22.20,350.11,30.66,231.85,22.47,207.47,2011年,
115,MM,水島,34゜32',133゜44',190.0,-,-,101.54,326.44,36.57,359.45,32.71,234.65,23.70,210.17,-,
116,IZ,糸崎,34゜24',133゜05',200.0,-,-,105.81,310.12,39.36,343.09,31.47,230.12,22.59,206.30,-,
117,TH,竹原,34゜20',132゜55',200.0,-,-,105.61,293.86,41.85,324.41,31.70,220.80,23.46,198.67,-,
118,Q9,呉,34゜14',132゜33',200.0,15.7,-184.3,103.31,278.93,42.62,308.74,31.22,216.92,22.89,194.50,-,
119,Q8,広島,34゜21',132゜28',200.0,16.5,-183.5,101.98,278.13,42.00,307.91,31.03,216.77,22.76,194.30,-,
120,QA,徳山,34゜02',131゜48',180.0,13.5,-166.5,88.15,252.11,37.47,281.01,28.38,207.46,21.06,185.81,-,
121,J9,三田尻,34゜02',131゜35',180.0,-,-,90.88,251.58,38.84,280.64,28.71,207.22,21.45,185.55,-,
122,WH,宇部,33゜56',131゜15',210.0,-,-,104.99,255.71,45.16,285.58,29.41,208.85,22.23,187.31,-,
123,CF,長府,34゜01',131゜00',210.0,-,-,108.10,259.16,47.13,289.53,29.50,211.77,22.05,190.38,-,
124,DS,下関,33゜56',130゜56',120.0,11.5,-108.5,58.47,265.15,26.52,294.41,14.88,244.92,13.52,231.40,2011年,
125,TI,田ノ首,33゜55',130゜55',100.0,-,-,46.20,271.38,21.47,300.94,13.14,265.98,13.55,249.17,-,
126,OH,大山の鼻,33゜55',130゜54',90.0,-,-,44.45,273.66,20.73,302.26,12.51,269.52,12.92,252.47,-,
127,HR,南風泊,33゜57',130゜53',80.0,-,-,35.70,287.43,17.04,314.05,11.52,287.95,12.06,267.73,-,
128,MT,松山,33゜52',132゜43',190.0,13.6,-176.4,99.78,264.50,41.04,292.56,30.80,208.30,22.63,186.54,2011年,
129,M3,波止浜,34゜06',132゜56',200.0,-,-,110.27,297.34,43.64,328.58,32.52,222.59,23.97,200.66,-,
130,M0,今治市小島,34゜08',132゜59',200.0,-,-,108.79,298.04,41.52,328.37,32.21,226.09,23.74,205.90,-,＊４
131,L0,今治,34゜04',133゜00',200.0,-,-,99.71,313.35,37.17,347.00,31.67,233.95,22.91,211.23,-,
132,NI,新居浜,33゜58',133゜16',200.0,-,-,110.72,319.46,41.30,354.00,32.70,235.84,23.78,212.85,-,
133,L8,伊予三島,33゜59',133゜33',210.0,-,-,116.61,323.16,42.87,357.47,33.20,236.28,24.55,212.27,-,
134,TX,多度津,34゜17',133゜45',190.0,-,-,102.10,328.13,36.87,0.69,32.77,235.40,23.91,210.53,-,
135,AX,青木,34゜22',133゜41',200.0,-,-,107.70,329.16,39.19,2.85,33.21,236.47,24.26,212.45,-,
136,J8,与島,34゜23',133゜49',180.0,-,-,90.45,325.74,32.08,357.48,33.06,233.83,24.05,207.80,-,
137,TA,高松,34゜21',134゜03',140.0,11.3,-128.7,66.03,325.15,20.61,347.41,30.83,230.31,22.59,205.89,2011年,
138,KM,小松島,34゜01',134゜35',101.0,10.3,-90.7,41.79,179.53,20.18,203.49,22.23,194.16,17.18,173.18,2011年,
139,J6,橘,33゜52',134゜38',110.0,-,-,44.30,173.71,21.03,199.21,22.26,192.31,16.88,171.49,-,
140,AW,阿波由岐,33゜46',134゜36',106.0,10.7,-95.3,47.06,171.50,21.23,195.98,20.97,189.21,16.49,169.35,2011年,
141,HW,日和佐,33゜43',134゜33',108.0,-,-,48.05,172.90,22.24,198.18,19.32,184.49,15.98,170.08,-,
142,L7,甲浦,33゜33',134゜18',109.0,-,-,47.92,170.48,21.29,195.47,21.14,186.81,16.39,167.01,-,
143,MU,室戸岬,33゜16',134゜10',110.0,16.6,-93.4,49.40,173.42,21.78,197.38,22.16,188.39,17.00,168.38,2011年,
144,KC,高知,33゜30',133゜34',108.0,14.6,-93.4,49.29,174.71,21.67,198.54,21.75,190.24,16.81,170.08,2011年,
145,V7,須崎,33゜23',133゜18',112.0,-,-,50.34,173.1,21.91,196.8,21.54,189.5,16.74,168.9,-,
146,ZH,久礼,33゜20',133゜15',111.0,9.9,-101.1,49.95,172.51,21.91,196.55,21.62,188.92,16.69,168.99,-,
147,L6,高知下田,32゜56',133゜00',108.0,-,-,49.46,174.54,21.42,198.69,21.32,189.82,16.23,169.77,-,
148,TS,土佐清水,32゜47',132゜58',112.0,20.2,-91.8,51.61,174.48,22.67,198.27,22.22,188.90,17.14,169.10,2011年,
149,SU,片島,32゜55',132゜42',117.0,-,-,53.4,179.0,22.9,204.4,21.5,190.0,17.3,171.0,-,
150,UW,宇和島,33゜14',132゜33',130.0,13.5,-116.5,57.40,209.72,24.35,234.45,24.73,195.35,18.81,174.75,2011年,
151,N1,日明,33゜55',130゜53',80.0,-,-,39.54,276.82,18.94,304.22,11.09,277.74,11.45,260.10,-,
152,N0,砂津,33゜54',130゜53',90.0,-,-,42.82,273.69,20.35,301.83,10.78,270.75,10.77,255.39,-,
153,MO,門司,33゜57',130゜57',130.0,-,-,67.51,259.30,30.23,289.28,16.39,232.60,13.86,219.13,-,
154,AH,青浜,33゜57',131゜01',210.0,-,-,107.92,256.93,46.99,286.85,29.41,210.67,22.06,189.22,-,
155,O3,苅田,33゜47',130゜59',210.0,-,-,106.29,257.77,46.49,287.85,29.53,210.71,22.12,188.95,-,
156,BP,別府,33゜18',131゜30',130.0,-,-,58.84,241.19,24.58,269.95,25.66,205.92,19.46,184.32,-,
157,QC,大分,33゜16',131゜41',130.0,12.0,-118.0,58.77,243.07,24.20,270.99,25.75,206.20,19.41,184.71,-,
158,X5,佐伯,32゜57',131゜58',105.0,11.7,-93.3,42.45,206.17,18.07,229.95,22.11,200.95,16.99,180.25,2011年,
159,Z6,細島,32゜26',131゜40',106.0,13.2,-92.8,51.65,176.35,22.26,200.05,20.79,189.30,16.12,169.70,-,
160,MG,宮崎,31゜54',131゜27',113.0,-,-,51.66,175.17,22.76,200.32,22.09,187.80,16.77,168.39,-,
161,AB,油津,31゜35',131゜25',116.0,14.9,-101.1,52.53,174.22,22.87,198.31,22.72,190.95,17.71,170.09,2011年,
162,X6,志布志,31゜29',131゜07',116.0,-,-,55.94,177.93,24.30,202.73,22.47,191.78,17.50,171.52,-,
163,QG,大泊,31゜01',130゜41',142.0,13.2,-128.8,68.77,192.80,29.84,217.85,25.13,194.84,19.57,174.89,-,
164,KG,鹿児島,31゜35',130゜34',155.0,20.8,-134.2,77.08,204.72,33.73,230.24,25.29,201.12,19.71,180.78,2011年,
165,MK,枕崎,31゜16',130゜18',150.0,19.6,-130.4,69.97,204.71,30.48,230.10,24.66,199.80,19.18,179.62,2011年,
166,ZJ,阿久根,32゜01',130゜11',160.0,20.6,-139.4,79.36,221.10,34.97,247.03,25.57,205.69,19.96,185.74,-,
167,QH,西之表,30゜44',131゜00',120.0,0.0,-120.0,58.77,194.71,25.63,219.59,22.96,198.94,17.96,179.21,-,
168,TJ,種子島,30゜28',130゜58',120.0,-1.0,-121.0,52.93,177.10,23.19,202.34,21.05,192.66,16.35,173.97,2011年,＊２
169,QI,中之島,29゜51',129゜51',125.0,4.9,-120.1,58.64,195.90,25.29,221.00,23.37,198.31,18.00,178.26,-,
170,QJ,名瀬,28゜24',129゜30',115.0,7.3,-107.7,56.18,197.32,24.33,222.70,20.08,204.08,15.23,185.71,-,
171,O9,奄美,28゜19',129゜32',119.0,4.4,-114.6,55.93,182.99,23.13,207.47,22.04,195.77,16.80,174.67,2011年,
172,NK,中城湾港,26゜20',127゜50',120.0,-,-,56.25,186.79,23.34,211.21,21.58,203.34,16.20,184.24,-,
173,ZO,沖縄,26゜11',127゜49',120.0,4.2,-115.8,56.15,185.40,23.33,209.44,21.65,202.74,16.23,183.47,-,
174,NH,那覇,26゜13',127゜40',118.0,5.1,-112.9,57.54,198.31,24.12,222.32,20.88,210.45,15.88,190.82,2011年,
175,DJ,南大東,25゜52',131゜14',98.0,30.5,-67.5,51.96,188.95,22.07,213.60,19.04,201.00,14.98,183.10,2011年,
176,R1,平良,24゜49',125゜17',103.0,-,-,47.65,198.96,20.28,220.69,18.53,216.94,15.68,199.74,-,
177,IS,石垣,24゜20',124゜10',107.0,14.9,-92.1,44.11,193.44,19.46,216.58,19.86,221.64,16.93,199.27,2011年,
178,IJ,西表,24゜21',123゜45',103.0,-,-,50.20,204.60,14.60,219.00,19.10,217.20,18.70,200.20,-,
179,YJ,与那国,24゜27',122゜57',100.0,5.3,-94.7,44.14,192.46,18.80,214.92,19.98,219.79,16.60,196.93,2011年,
180,O7,水俣,32゜12',130゜22',195.0,-,-,100.59,247.55,43.78,280.72,26.69,217.26,20.91,197.37,-,
181,O5,八代,32゜31',130゜34',215.0,-,-,113.17,249.77,48.44,284.08,26.99,217.59,20.69,197.64,-,
182,HS,本渡瀬戸,32゜26',130゜13',205.0,-,-,100.67,249.98,43.97,283.03,26.83,217.50,20.58,196.88,-,
183,MS,三角,32゜37',130゜27',221.0,21.9,-199.1,119.20,250.65,51.88,284.49,27.25,217.63,20.92,197.61,2011年,
184,KU,熊本,32゜45',130゜34',245.0,-,-,134.68,255.08,57.90,290.68,28.06,217.48,21.17,197.30,-,
185,O6,大牟田,33゜01',130゜25',265.0,-,-,148.97,255.29,65.77,289.95,28.51,218.24,21.77,198.21,-,
186,OU,大浦,32゜59',130゜13',268.0,21.6,-246.4,150.92,257.68,66.88,292.67,28.75,219.67,21.94,199.34,2011年,
187,KT,口之津,32゜36',130゜12',194.0,16.7,-177.3,99.75,248.40,42.49,281.17,26.64,215.92,20.80,196.14,2011年,
188,NS,長崎,32゜44',129゜52',164.0,20.4,-143.6,81.73,229.38,36.27,254.81,25.62,207.33,19.86,187.13,2011年,
189,KO,皇后,32゜43',129゜50',164.0,-,-,81.32,229.73,36.21,255.10,25.74,207.70,19.89,187.51,-,
190,FE,福江,32゜42',128゜51',159.0,3.4,-155.6,76.78,231.04,34.50,256.31,24.46,206.80,18.95,187.04,2011年,
191,QD,佐世保,33゜09',129゜43',165.0,20.6,-144.4,82.85,240.47,37.10,265.62,24.44,213.83,19.13,193.93,-,
192,X2,平戸瀬戸,33゜22',129゜35',155.0,-,-,76.64,248.37,35.12,273.65,22.21,221.82,17.95,202.98,-,
193,ZL,仮屋,33゜28',129゜51',127.0,18.4,-108.6,65.44,267.81,30.59,292.06,18.17,243.70,15.73,225.85,-,
194,KA,唐津,33゜28',129゜58',118.0,-,-,58.83,271.65,27.52,296.36,15.80,254.59,14.14,237.47,-,
195,QF,博多,33゜37',130゜24',110.0,19.3,-90.7,51.36,279.11,24.38,303.08,14.78,266.50,13.97,247.87,-,
196,X3,郷ノ浦,33゜45',129゜41',127.0,-,-,61.48,263.88,29.04,288.96,15.44,239.88,13.52,223.96,-,
197,QE,厳原,34゜12',129゜18',93.0,3.1,-89.9,52.17,252.67,24.58,278.44,8.39,206.73,6.09,199.77,-,
198,O1,対馬,34゜16',129゜19',88.0,1.7,-86.3,49.33,252.49,23.43,278.05,7.60,207.83,5.42,203.94,2011年,＊３
199,K5,萩,34゜26',131゜25',48.0,-,-,15.56,315.96,7.82,335.17,9.67,326.64,11.09,301.22,-,
200,ZK,須佐,34゜38',131゜36',40.0,19.2,-20.8,12.52,328.61,6.32,345.37,9.08,337.83,10.53,310.12,-,
201,HA,浜田,34゜54',132゜04',29.0,20.5,-8.5,8.01,353.14,3.91,3.74,7.19,353.09,8.74,325.74,2011年,
202,SK,境,35゜33',133゜15',17.0,23.5,6.5,5.80,65.93,2.14,80.68,4.86,342.51,4.56,310.95,2011年,
203,SA,西郷,36゜12',133゜20',17.0,5.8,-11.2,5.94,63.16,2.07,78.58,5.06,347.68,5.59,324.11,2011年,
204,ZE,田後,35゜36',134゜19',20.0,20.8,0.8,6.21,65.61,2.22,83.29,5.14,342.17,5.23,314.20,-,
205,T6,津居山,35゜39',134゜50',17.0,-,-,5.92,69.47,2.05,87.40,5.00,342.13,4.97,313.42,-,
206,T2,宮津,35゜32',135゜12',18.0,-,-,6.28,68.22,2.29,88.87,5.07,341.92,5.13,314.34,-,
207,MZ,舞鶴,35゜29',135゜23',19.0,22.8,3.8,6.20,70.70,2.27,90.33,5.19,342.09,5.26,314.62,2011年,
208,XM,敦賀,35゜40',136゜04',18.0,-,-,5.96,71.26,2.11,93.94,5.17,341.45,5.27,315.09,-,
209,ZG,三国,36゜15',136゜09',18.0,29.1,11.1,5.66,79.27,1.90,103.13,4.97,346.88,5.12,318.91,-,
