Country,Deaths/Mil.,2020/03/16 07:05:26 UTC
 Guatemala ,1.000
 Sudan ,1.000
 Ukraine ,0.333
 Guyana ,0.250
 Philippines ,0.086
 Iraq ,0.081
 Algeria ,0.074
 Italy ,0.073
 San Marino ,0.064
 Ecuador ,0.054
 Iran ,0.052
 Indonesia ,0.043
 Azerbaijan ,0.043
 China ,0.040
 Bulgaria ,0.039
Total:,0.038
 Spain ,0.037
 Argentina ,0.036
 Morocco ,0.036
 Hungary ,0.031
 Japan ,0.030
 Hong Kong ,0.027
 Lebanon ,0.027
 UK ,0.025
 Poland ,0.024
 Albania ,0.024
 France ,0.023
 USA ,0.018
 Netherlands ,0.018
 Panama ,0.018
 India ,0.017
 Taiwan ,0.017
 Egypt ,0.016
 Australia ,0.015
 Luxembourg ,0.013
 Greece ,0.012
 Ireland ,0.012
 Diamond Princess ,0.010
 S. Korea ,0.009
 Thailand ,0.009
 Switzerland ,0.006
 Belgium ,0.005
 Slovenia ,0.005
 Sweden ,0.003
 Canada ,0.003
 Germany ,0.002
 Norway ,0.002
 Denmark ,0.002
 Austria ,0.001
