2020/06/03 23:56:00 UTC
"
North America
","2,147,495","+26,709","128,835","+1,681","837,643","+46,509","1,181,017","19,313",,,,,,North America,"
",,
"
South America
","985,591","+39,861","44,272","+1,614","466,014","+71,355","475,305","11,404",,,,,,South America,"
",,
"
Europe
","2,028,241","+17,092","176,446",+889,"1,027,854","+14,800","823,941","8,538",,,,,,Europe,"
",,
"
Asia
","1,226,630","+32,403","32,465",+634,"748,508","+17,618","445,657","14,502",,,,,,Asia,"
",,
"
Africa
","164,985","+5,147","4,627",+107,"72,380","+3,395","87,978",435,,,,,,Africa,"
",,
"
Oceania
","8,839",+8,124,,"8,222",+14,493,5,,,,,,Australia/Oceania,"
",,
"

",721,,15,,651,,55,4,,,,,,,"
",,
World,"6,562,502","+121,220","386,784","+4,925","3,161,272","+153,691","3,014,446","54,201",842,49.6,,,,All,"
",,
USA,"1,901,723","+20,518","109,140 ","+1,081","688,668","+42,694","1,103,915","16,939","5,748",330,"19,096,671","57,718","330,859,357 ",North America,174,"3,032",17
Brazil,"583,980","+27,312","32,547 ","+1,269","266,132","+25,505","285,301","8,318","2,749",153,"930,013","4,378","212,446,884 ",South America,364,"6,527",228
Russia,"432,277","+8,536","5,215 ",+178,"195,957","+8,972","231,105","2,300","2,962",36,"11,426,045","78,298","145,930,019 ",Europe,338,"27,983",13
Spain,"287,406",+394,"27,128 ",+1,N/A,N/A,N/A,617,"6,147",580,"4,063,843","86,921","46,753,492 ",Europe,163,"1,723",12
UK,"279,856","+1,871","39,728 ",+359,N/A,N/A,N/A,"1,559","4,124",585,"4,786,219","70,531","67,859,798 ",Europe,242,"1,708",14
Italy,"233,836",+321,"33,601 ",+71,"160,938",+846,"39,297",353,"3,867",556,"3,999,591","66,144","60,468,053 ",Europe,259,"1,800",15
India,"216,824","+9,633","6,088 ",+259,"104,071","+3,786","106,665","8,944",157,4,"4,103,233","2,976","1,378,974,417 ",Asia,"6,360","226,507",336
Germany,"184,425",+334,"8,699 ",+25,"167,300",+900,"8,426",632,"2,202",104,"4,348,880","51,918","83,764,536 ",Europe,454,"9,629",19
Peru,"178,914","+4,030","4,894 ",+127,"72,319","+3,062","101,701",964,"5,432",149,"1,115,615","33,872","32,935,983 ",South America,184,"6,730",30
Turkey,"166,422",+867,"4,609 ",+24,"130,852",+931,"30,961",612,"1,975",55,"2,155,349","25,577","84,269,726 ",Asia,506,"18,284",39
Iran,"160,696","+3,134","8,012 ",+70,"125,206","+2,129","27,478","2,557","1,915",95,"997,009","11,882","83,909,638 ",Asia,522,"10,473",84
France,"151,677",+352,"29,021 ",+81,"69,455",+643,"53,201","1,210","2,324",445,"1,384,633","21,216","65,263,122 ",Europe,430,"2,249",47
Chile,"113,628","+4,942","1,275 ",+87,"86,173","+41,227","26,180","1,446","5,948",67,"628,318","32,890","19,103,852 ",South America,168,"14,983",30
Mexico,"97,326","+3,891","10,637 ",+470,"70,308","+2,817","16,381",378,755,83,"293,078","2,275","128,829,434 ",North America,"1,324","12,111",440
Canada,"93,085",+675,"7,498 ",+103,"51,048",+691,"34,539","1,721","2,468",199,"1,755,926","46,555","37,717,219 ",North America,405,"5,030",21
Saudi Arabia,"91,182","+2,171",579 ,+30,"68,159","+2,369","22,444","1,321","2,622",17,"870,963","25,049","34,771,048 ",Asia,381,"60,054",40
Pakistan,"80,463","+4,065","1,688 ",+67,"28,923","+1,813","49,852",111,365,8,"595,344","2,699","220,544,600 ",Asia,"2,741","130,654",370
Qatar,"62,160","+1,901",45 ,+2,"37,542","+1,506","24,573",237,"22,138",16,"236,437","84,207","2,807,805 ",Asia,45,"62,396",12
Belgium,"58,685",+70,"9,522 ",+17,"15,959",+25,"33,204",172,"5,065",822,"884,386","76,333","11,585,939 ",Europe,197,"1,217",13
Bangladesh,"55,140","+2,695",746 ,+37,"11,590",+470,"42,804",1,335,5,"345,583","2,100","164,564,713 ",Asia,"2,984","220,596",476
Netherlands,"46,733",+86,"5,977 ",+10,N/A,N/A,N/A,116,"2,728",349,"368,529","21,511","17,132,145 ",Europe,367,"2,866",46
Belarus,"45,116",+861,248 ,+5,"20,171",+976,"24,697",92,"4,774",26,"573,699","60,712","9,449,542 ",Europe,209,"38,103",16
Ecuador,"40,966",+552,"3,486 ",+48,"20,019",,"17,461",252,"2,325",198,"119,375","6,774","17,621,950 ",South America,430,"5,055",148
Sweden,"40,803","+2,214","4,542 ",+74,N/A,N/A,N/A,308,"4,042",450,"275,500","27,292","10,094,604 ",Europe,247,"2,223",37
South Africa,"37,525","+1,713",792 ,+37,"19,682","+1,369","17,051",208,633,13,"785,979","13,265","59,250,820 ",Africa,"1,579","74,812",75
Singapore,"36,405",+569,24 ,,"23,582",+407,"12,799",5,"6,226",4,"408,495","69,865","5,846,897 ",Asia,161,"243,621",14
UAE,"36,359",+571,270 ,+1,"19,153",+427,"16,936",1,"3,680",27,"2,145,493","217,129","9,881,188 ",Asia,272,"36,597",5
Colombia,"33,354","+1,521","1,045 ",+36,"12,288","+1,146","20,021",136,656,21,"362,432","7,129","50,841,482 ",South America,"1,524","48,652",140
Portugal,"33,261",+366,"1,447 ",+11,"20,079",+210,"11,735",56,"3,261",142,"847,181","83,067","10,198,769 ",Europe,307,"7,048",12
Switzerland,"30,893",+19,"1,921 ",+1,"28,600",+100,372,25,"3,571",222,"404,071","46,714","8,649,901 ",Europe,280,"4,503",21
Kuwait,"29,359",+710,230 ,+4,"15,750","+1,469","13,379",191,"6,883",54,"303,285","71,100","4,265,609 ",Asia,145,"18,546",14
Egypt,"28,615","+1,079","1,088 ",+36,"7,350",+523,"20,177",41,280,11,"135,000","1,321","102,178,508 ",Africa,"3,571","93,914",757
Indonesia,"28,233",+684,"1,698 ",+35,"8,406",+471,"18,129",,103,6,"354,434","1,297","273,302,908 ",Asia,"9,680","160,956",771
Ireland,"25,111",+45,"1,659 ",+1,"22,698",+609,754,36,"5,090",336,"348,416","70,622","4,933,560 ",Europe,196,"2,974",14
Ukraine,"24,823",+483,735 ,+8,"10,440",+362,"13,648",292,567,17,"381,552","8,721","43,751,560 ",Europe,"1,763","59,526",115
Poland,"24,687",+292,"1,115 ",+23,"12,014",+288,"11,558",160,652,29,"967,177","25,553","37,849,522 ",Europe,"1,533","33,946",39
Philippines,"19,748",+751,974 ,+8,"4,153",+90,"14,621",78,180,9,"376,800","3,442","109,467,656 ",Asia,"5,543","112,390",291
Romania,"19,669",+152,"1,296 ",+8,"13,800",+274,"4,573",162,"1,022",67,"459,405","23,870","19,246,341 ",Europe,979,"14,851",42
Argentina,"19,268",+949,583 ,+14,"5,896",+187,"12,789",274,427,13,"172,947","3,829","45,164,434 ",South America,"2,344","77,469",261
Dominican Republic,"18,040",+288,516 ,+1,"11,224",+149,"6,300",110,"1,664",48,"86,285","7,960","10,839,641 ",North America,601,"21,007",126
Israel,"17,377",+92,291 ,+1,"14,983",+43,"2,103",28,"1,889",32,"593,499","64,528","9,197,590 ",Asia,529,"31,607",15
Afghanistan,"17,267",+758,294 ,+24,"1,522",+72,"15,451",19,444,8,"42,273","1,088","38,855,768 ",Asia,"2,250","132,162",919
Japan,"16,986",+56,900 ,+6,"14,771",+121,"1,315",101,134,7,"300,277","2,374","126,503,264 ",Asia,"7,448","140,559",421
Austria,"16,771",+12,670 ,+1,"15,672",+43,429,21,"1,863",74,"462,958","51,425","9,002,608 ",Europe,537,"13,437",19
Panama,"14,609",+514,357 ,+5,"9,519",+5,"4,733",75,"3,390",83,"69,483","16,124","4,309,396 ",North America,295,"12,071",62
Oman,"13,537",+738,67 ,+8,"2,845",+33,"10,625",31,"2,657",13,"100,181","19,660","5,095,664 ",Asia,376,"76,055",51
Bahrain,"12,815",+504,20 ,+1,"7,410",+3,"5,385",10,"7,555",12,"335,895","198,020","1,696,267 ",Asia,132,"84,813",5
Kazakhstan,"11,796",+225,48 ,+4,"6,240",+299,"5,508",62,629,3,"867,286","46,232","18,759,403 ",Asia,"1,590","390,821",22
Denmark,"11,771",+37,580 ,,"10,552",+63,639,20,"2,033",100,"657,999","113,630","5,790,721 ",Europe,492,"9,984",9
S. Korea,"11,590",+49,273 ,+1,"10,467",+21,850,15,226,5,"956,852","18,664","51,266,042 ",Asia,"4,423","187,788",54
Serbia,"11,523",+69,245 ,,"6,852",+86,"4,426",12,"1,318",28,"257,242","29,433","8,739,790 ",Europe,758,"35,673",34
Nigeria,"11,166",+347,315 ,+1,"3,329",+89,"7,522",7,54,2,"69,801",339,"205,710,189 ",Africa,"18,423","653,048","2,947"
Bolivia,"10,991",+460,376 ,+33,"1,298",+161,"9,317",3,943,32,"28,239","2,422","11,660,610 ",South America,"1,061","31,012",413
Armenia,"10,524",+515,170 ,+12,"3,454",+27,"6,900",10,"3,552",57,"61,650","20,808","2,962,846 ",Asia,282,"17,429",48
Algeria,"9,733",+107,673 ,+6,"6,218",+151,"2,842",32,222,15,,,"43,787,434 ",Africa,"4,499","65,063",
Czechia,"9,438",+74,325 ,+2,"6,749",+63,"2,364",12,881,30,"454,397","42,437","10,707,556 ",Europe,"1,135","32,946",24
Moldova,"8,795",+247,310 ,+3,"4,863",+125,"3,622",248,"2,180",77,"57,003","14,128","4,034,616 ",Europe,459,"13,015",71
Ghana,"8,548",+251,38 ,,"3,132",+146,"5,378",3,276,1,"218,425","7,041","31,019,835 ",Africa,"3,629","816,311",142
Norway,"8,477",+22,237 ,,"7,727",,513,6,"1,565",44,"250,968","46,321","5,418,068 ",Europe,639,"22,861",22
Iraq,"8,168",+781,256 ,+21,"4,095",+587,"3,817",46,203,6,"238,251","5,934","40,147,813 ",Asia,"4,915","156,827",169
Malaysia,"7,970",+93,115 ,,"6,531",+61,"1,324",6,246,4,"560,738","17,342","32,333,861 ",Asia,"4,057","281,164",58
Morocco,"7,922",+56,206 ,,"6,866",+456,850,13,215,6,"247,824","6,720","36,876,878 ",Africa,"4,655","179,014",149
Australia,"7,229",+8,102 ,,"6,640",+14,487,5,284,4,"1,512,700","59,375","25,477,145 ",Australia/Oceania,"3,524","249,776",17
Finland,"6,911",+24,321 ,+1,"5,500",,"1,090",7,"1,247",58,"192,800","34,801","5,540,104 ",Europe,802,"17,259",29
Cameroon,"6,585",,200 ,,"3,676",,"2,709",28,249,8,,,"26,490,288 ",Africa,"4,023","132,451",
Azerbaijan,"6,260",+325,76 ,+5,"3,665",+101,"2,519",42,618,8,"315,527","31,141","10,132,279 ",Asia,"1,619","133,319",32
Guatemala,"5,586",+250,123 ,+7,824,+29,"4,639",5,312,7,"31,427","1,757","17,888,866 ",North America,"3,202","145,438",569
Honduras,"5,527",+165,225 ,+8,563,+14,"4,739",13,559,23,"14,790","1,495","9,892,136 ",North America,"1,790","43,965",669
Sudan,"5,499",+189,314 ,+7,"1,711",+86,"3,474",,126,7,401,9,"43,764,035 ",Africa,"7,959","139,376","109,137"
Tajikistan,"4,191",+91,48 ,+1,"2,347",+130,"1,796",,440,5,,,"9,519,918 ",Asia,"2,272","198,332",
Luxembourg,"4,024",+4,110 ,,"3,861",+13,53,2,"6,437",176,"79,484","127,140","625,170 ",Europe,155,"5,683",8
Djibouti,"3,935",+156,26 ,+1,"1,636",+29,"2,273",,"3,987",26,"30,394","30,798","986,873 ",Africa,251,"37,957",32
Guinea,"3,933",+47,23 ,,"2,332",+65,"1,578",24,300,2,"14,407","1,100","13,102,388 ",Africa,"3,331","569,669",909
Senegal,"3,932",+96,45 ,+2,"2,063",+109,"1,824",17,235,3,"46,288","2,771","16,706,455 ",Africa,"4,249","371,255",361
Hungary,"3,931",+10,534 ,+2,"2,190",+30,"1,207",24,407,55,"191,572","19,827","9,662,056 ",Europe,"2,458","18,094",50
Uzbekistan,"3,843",+83,16 ,+1,"3,014",+106,813,11,115,0.5,"460,000","13,760","33,431,174 ",Asia,"8,699","2,089,448",73
DRC,"3,495",+169,75 ,+3,492,+10,"2,928",,39,0.8,,,"89,323,912 ",Africa,"25,558","1,190,985",
Ivory Coast,"3,110",+86,35 ,+2,"1,530",+29,"1,545",,118,1,"28,522","1,084","26,323,384 ",Africa,"8,464","752,097",923
Thailand,"3,084",+1,58 ,,"2,968",+2,58,1,44,0.8,"420,529","6,026","69,787,353 ",Asia,"22,629","1,203,230",166
Greece,"2,937",,179 ,,"1,374",,"1,384",11,282,17,"185,590","17,800","10,426,532 ",Europe,"3,550","58,249",56
Gabon,"2,902",+99,20 ,,801,+22,"2,081",15,"1,306",9,"14,122","6,357","2,221,355 ",Africa,765,"111,068",157
El Salvador,"2,705",+52,49 ,+3,"1,179",+63,"1,477",51,417,8,"96,647","14,906","6,483,803 ",North America,"2,397","132,323",67
Bulgaria,"2,560",+22,146 ,+2,"1,206",+83,"1,208",9,368,21,"84,261","12,120","6,951,948 ",Europe,"2,716","47,616",83
Bosnia and Herzegovina,"2,551",+16,157 ,,"1,939",+29,455,4,777,48,"67,952","20,703","3,282,199 ",Europe,"1,287","20,906",48
Haiti,"2,507",+281,48 ,+3,24,,"2,435",,220,4,"5,562",488,"11,391,801 ",North America,"4,544","237,329","2,048"
