2020/06/03 23:56:00 UTC
North Macedonia,"2,492",+101,145 ,+4,"1,605",+10,742,34,"1,196",70,"32,161","15,437","2,083,380 ",Europe,836,"14,368",65
Nepal,"2,300",+201,9 ,+1,278,+12,"2,013",,79,0.3,"200,646","6,896","29,094,730 ",Asia,"12,650","3,232,748",145
Croatia,"2,246",,103 ,,"2,095",+7,48,4,547,25,"67,814","16,512","4,106,980 ",Europe,"1,829","39,874",61
Kenya,"2,216",+123,74 ,+3,553,+54,"1,589",7,41,1,"85,058","1,585","53,673,567 ",Africa,"24,221","725,318",631
Somalia,"2,146",+57,79 ,,406,+45,"1,661",2,135,5,,,"15,855,179 ",Africa,"7,388","200,698",
Cuba,"2,107",+15,83 ,,"1,830",+3,194,4,186,7,"110,349","9,742","11,327,103 ",North America,"5,376","136,471",103
Mayotte,"1,993",+7,24 ,,"1,523",+50,446,9,"7,320",88,"7,600","27,914","272,264 ",Africa,137,"11,344",36
Estonia,"1,880",+10,69 ,+1,"1,650",+18,161,,"1,417",52,"86,000","64,834","1,326,472 ",Europe,706,"19,224",15
Kyrgyzstan,"1,871",+26,20 ,+3,"1,265",+46,586,5,287,3,"119,124","18,283","6,515,639 ",Asia,"3,482","325,782",55
Maldives,"1,850",+9,7 ,,644,+36,"1,199",9,"3,427",13,"11,775","21,814","539,782 ",Asia,292,"77,112",46
Venezuela,"1,819",,18 ,,334,,"1,467",,64,0.6,"987,902","34,734","28,441,527 ",South America,"15,636","1,580,085",29
Iceland,"1,806",,10 ,,"1,794",,2,,"5,295",29,"61,355","179,885","341,079 ",Europe,189,"34,108",6
Sri Lanka,"1,735",+52,11 ,,836,+13,888,1,81,0.5,"68,204","3,186","21,406,699 ",Asia,"12,338","1,946,064",314
Lithuania,"1,684",+2,71 ,,"1,260",+11,353,17,618,26,"315,112","115,650","2,724,713 ",Europe,"1,618","38,376",9
Slovakia,"1,525",+3,28 ,,"1,375",+3,122,,279,5,"181,629","33,269","5,459,454 ",Europe,"3,580","194,981",30
New Zealand,"1,504",,22 ,,"1,481",,1,,301,4,"283,525","56,681","5,002,100 ",Australia/Oceania,"3,326","227,368",18
Ethiopia,"1,486",+142,17 ,+3,246,+15,"1,223",6,13,0.1,"120,429","1,050","114,724,281 ",Africa,"77,203","6,748,487",953
Slovenia,"1,477",+2,109 ,,"1,358",,10,,710,52,"81,873","39,383","2,078,918 ",Europe,"1,408","19,073",25
Mali,"1,386",+35,79 ,+1,788,+19,519,,69,4,"3,483",172,"20,200,490 ",Africa,"14,575","255,702","5,800"
Guinea-Bissau,"1,339",,8 ,,53,,"1,278",,682,4,"1,500",764,"1,964,122 ",Africa,"1,467","245,515","1,309"
Equatorial Guinea,"1,306",,12 ,,200,,"1,094",,934,9,"8,268","5,910","1,398,900 ",Africa,"1,071","116,575",169
Lebanon,"1,256",+14,27 ,,724,+5,505,5,184,4,"88,310","12,934","6,827,539 ",Asia,"5,436","252,872",77
Albania,"1,184",+20,33 ,,898,+7,253,4,411,11,"15,365","5,339","2,878,018 ",Europe,"2,431","87,213",187
CAR,"1,173",+104,4 ,,23,,"1,146",,243,0.8,"15,881","3,293","4,823,052 ",Africa,"4,112","1,205,763",304
Costa Rica,"1,157",+52,10 ,,685,+3,462,5,227,2,"27,318","5,366","5,090,604 ",North America,"4,400","509,060",186
Nicaragua,"1,118",,46 ,,370,,702,,169,7,,,"6,618,484 ",North America,"5,920","143,880",
Hong Kong,"1,094",,4 ,,"1,039",+1,51,2,146,0.5,"202,930","27,085","7,492,419 ",Asia,"6,849","1,873,105",37
Zambia,"1,089",,7 ,,912,,170,1,59,0.4,"28,236","1,540","18,339,751 ",Africa,"16,841","2,619,964",650
Tunisia,"1,087",+1,49 ,+1,965,,73,1,92,4,"53,161","4,502","11,809,190 ",Africa,"10,864","241,004",222
Latvia,"1,079",+8,24 ,,760,,295,3,572,13,"112,965","59,847","1,887,558 ",Europe,"1,749","78,648",17
Paraguay,"1,070",+57,11 ,,511,+13,548,2,150,2,"33,081","4,642","7,125,773 ",South America,"6,660","647,798",215
South Sudan,994,,10 ,,6,,978,,89,0.9,"3,356",300,"11,183,630 ",Africa,"11,251","1,118,363","3,332"
Niger,961,+1,65 ,,857,+9,39,,40,3,"6,087",252,"24,127,274 ",Africa,"25,106","371,189","3,964"
Cyprus,958,+6,17 ,,790,,151,4,794,14,"117,411","97,299","1,206,704 ",Asia,"1,260","70,983",10
Sierra Leone,909,+13,47 ,+1,491,+11,371,,114,6,,,"7,963,749 ",Africa,"8,761","169,441",
Madagascar,908,+63,6 ,,195,+10,707,9,33,0.2,"11,954",433,"27,630,820 ",Africa,"30,430","4,605,137","2,311"
Burkina Faso,884,+3,53 ,,753,+33,78,,42,3,,,"20,854,250 ",Africa,"23,591","393,476",
Andorra,851,+7,51 ,,735,+2,65,7,"11,015",660,"3,750","48,540","77,256 ",Europe,91,"1,515",21
Uruguay,828,+2,23 ,,698,+7,107,4,238,7,"45,777","13,181","3,472,856 ",South America,"4,194","150,994",76
Chad,820,+17,66 ,,590,+28,164,,50,4,,,"16,385,212 ",Africa,"19,982","248,261",
Georgia,800,+4,13 ,,640,+6,147,6,201,3,"60,273","15,107","3,989,702 ",Asia,"4,987","306,900",66
Jordan,757,+2,9 ,,561,+12,187,5,74,0.9,"204,374","20,046","10,195,440 ",Asia,"13,468","1,132,827",50
Mauritania,745,+77,34 ,+3,57,+2,654,,161,7,"7,654","1,650","4,639,283 ",Africa,"6,227","136,450",606
Diamond Princess,712,,13 ,,651,,48,4,,,,, ,,,,
San Marino,674,+2,42 ,,391,+7,241,1,"19,867","1,238","4,662","137,417","33,926 ",Europe,50,808,7
Malta,622,+2,9 ,,562,+8,51,1,"1,409",20,"71,723","162,468","441,458 ",Europe,710,"49,051",6
Congo,611,,20 ,,179,,412,,111,4,,,"5,506,685 ",Africa,"9,013","275,334",
Jamaica,590,+2,9 ,,356,+34,225,2,199,3,"13,407","4,529","2,960,223 ",North America,"5,017","328,914",221
Channel Islands,561,+1,46 ,,512,,3,,"3,229",265,"10,255","59,024","173,742 ",Europe,310,"3,777",17
French Guiana,533,+16,1 ,,254,+47,278,3,"1,788",3,,,"298,026 ",South America,559,"298,026",
Tanzania,509,,21 ,,183,,305,7,9,0.4,,,"59,587,676 ",Africa,"117,068","2,837,508",
Uganda,507,+18, ,,82,,425,,11,,"96,825","2,123","45,614,034 ",Africa,"89,969",,471
Sao Tome and Principe,484,,12 ,,68,,404,,"2,212",55,175,800,"218,831 ",Africa,452,"18,236","1,250"
Réunion,478,+1,1 ,,411,,66,1,534,1,"17,200","19,221","894,836 ",Africa,"1,872","894,836",52
Cabo Verde,477,+11,5 ,,238,+1,234,,859,9,"1,307","2,353","555,525 ",Africa,"1,165","111,105",425
Palestine,457,+6,3 ,,372,,82,,90,0.6,"44,876","8,814","5,091,549 ",Asia,"11,141","1,697,183",113
Togo,452,+7,13 ,,236,+6,203,,55,2,"21,515","2,604","8,262,563 ",Africa,"18,280","635,582",384
Taiwan,443,,7 ,,428,+1,8,,19,0.3,"72,683","3,052","23,813,683 ",Asia,"53,755","3,401,955",328
Yemen,419,+20,95 ,+8,17,+2,307,,14,3,120,4,"29,771,764 ",Asia,"71,054","313,387","248,098"
Rwanda,397,+13,2 ,,271,+2,124,,31,0.2,"71,141","5,504","12,925,233 ",Africa,"32,557","6,462,617",182
Malawi,369,+11,4 ,,51,+9,314,1,19,0.2,"5,049",265,"19,088,114 ",Africa,"51,729","4,772,029","3,781"
Isle of Man,336,,24 ,,312,+1,0,,"3,953",282,"5,046","59,365","85,000 ",Europe,253,"3,542",17
Mauritius,335,,10 ,,322,,3,,263,8,"122,008","95,947","1,271,617 ",Africa,"3,796","127,162",10
Vietnam,328,, ,,302,+4,26,1,3,,"275,000","2,827","97,272,479 ",Asia,"296,562",,354
Montenegro,324,,9 ,,315,,0,,516,14,"10,167","16,188","628,060 ",Europe,"1,938","69,784",62
Liberia,316,+5,28 ,,169,+2,119,,63,6,,,"5,047,775 ",Africa,"15,974","180,278",
Mozambique,316,+9,2 ,,109,+11,205,,10,0.06,"11,563",371,"31,180,247 ",Africa,"98,672","15,590,124","2,697"
Eswatini,295,+1,3 ,,201,+3,91,2,254,3,"6,551","5,651","1,159,249 ",Africa,"3,930","386,416",177
Benin,244,,3 ,,148,,93,,20,0.2,"35,794","2,959","12,096,262 ",Africa,"49,575","4,032,087",338
Myanmar,233,+1,6 ,,145,+2,82,,4,0.1,"29,923",550,"54,382,712 ",Asia,"233,402","9,063,785","1,817"
Zimbabwe,222,+16,4 ,,29,,189,,15,0.3,"46,613","3,140","14,845,953 ",Africa,"66,874","3,711,488",318
Martinique,200,,14 ,,98,,88,,533,37,,,"375,285 ",North America,"1,876","26,806",
Libya,196,+14,5 ,,52,,139,,29,0.7,"7,501","1,093","6,864,011 ",Africa,"35,020","1,372,802",915
Faeroe Islands,187,, ,,187,,0,,"3,828",,"9,857","201,785","48,849 ",Europe,261,,5
Mongolia,185,, ,,44,,141,19,57,,"14,623","4,466","3,274,105 ",Asia,"17,698",,224
Gibraltar,173,+1, ,,153,+2,20,,"5,135",,"8,205","243,530","33,692 ",Europe,195,,4
Guadeloupe,162,,14 ,,138,,10,1,405,35,"4,137","10,339","400,119 ",North America,"2,470","28,580",97
Cayman Islands,156,+5,1 ,,78,+1,77,,"2,376",15,"12,508","190,488","65,663 ",North America,421,"65,663",5
Guyana,153,,12 ,,70,,71,2,195,15,"1,658","2,109","786,274 ",South America,"5,139","65,523",474
Bermuda,141,,9 ,,113,,19,2,"2,263",144,"7,679","123,270","62,294 ",North America,442,"6,922",8
Brunei ,141,,2 ,,138,,1,1,323,5,"19,885","45,487","437,162 ",Asia,"3,100","218,581",22
Comoros,132,,2 ,,27,,103,,152,2,,,"868,080 ",Africa,"6,576","434,040",
Cambodia,125,, ,,123,,2,1,7,,"21,517","1,288","16,700,905 ",Asia,"133,607",,776
Syria,123,,6 ,,53,+3,64,,7,0.3,,,"17,465,045 ",Asia,"141,992","2,910,841",
Trinidad and Tobago,117,,8 ,,108,,1,,84,6,"3,228","2,307","1,399,160 ",North America,"11,959","174,895",433
Bahamas,102,,11 ,,49,,42,1,260,28,"2,101","5,347","392,959 ",North America,"3,853","35,724",187
Aruba,101,,3 ,,98,,0,,946,28,"2,138","20,031","106,733 ",North America,"1,057","35,578",50
Monaco,99,,4 ,,90,,5,1,"2,524",102,"16,200","413,044","39,221 ",Europe,396,"9,805",2
Barbados,92,,7 ,,81,+5,4,1,320,24,"5,580","19,419","287,350 ",North America,"3,123","41,050",51
Angola,86,,4 ,,18,,64,1,3,0.1,"10,000",305,"32,776,687 ",Africa,"381,124","8,194,172","3,278"
Liechtenstein,82,,1 ,,55,,26,,"2,151",26,900,"23,610","38,120 ",Europe,465,"38,120",42
Sint Maarten,77,,15 ,,60,,2,1,"1,797",350,450,"10,504","42,839 ",North America,556,"2,856",95
Suriname,74,+20,1 ,,9,,64,,126,2,782,"1,334","586,235 ",South America,"7,922","586,235",750
Burundi,63,,1 ,,33,,29,,5,0.08,284,24,"11,860,020 ",Africa,"188,254","11,860,020","41,761"
French Polynesia,60,, ,,60,,0,,214,,"4,040","14,388","280,788 ",Australia/Oceania,"4,680",,70
Bhutan,47,, ,,9,,38,,61,,"17,898","23,215","770,958 ",Asia,"16,403",,43
Macao,45,, ,,45,,0,,69,,,,"648,645 ",Asia,"14,414",,
Saint Martin,41,,3 ,,33,,5,1,"1,062",78,614,"15,901","38,613 ",North America,942,"12,871",63
Botswana,40,,1 ,,23,,16,,17,0.4,"23,337","9,940","2,347,757 ",Africa,"58,694","2,347,757",101
Eritrea,39,, ,,39,,0,,11,,,,"3,542,590 ",Africa,"90,836",,
Antigua and Barbuda,26,,3 ,,20,+1,3,1,266,31,246,"2,514","97,868 ",North America,"3,764","32,623",398
Gambia,26,+1,1 ,,20,,5,,11,0.4,"1,873",777,"2,410,835 ",Africa,"92,724","2,410,835","1,287"
St. Vincent Grenadines,26,, ,,15,,11,,234,,595,"5,365","110,914 ",North America,"4,266",,186
Namibia,25,, ,,16,,9,,10,,"4,005","1,579","2,537,207 ",Africa,"101,488",,634
Timor-Leste,24,, ,,24,,0,,18,,"1,568","1,191","1,316,414 ",Asia,"54,851",,840
Grenada,23,, ,,18,,5,2,204,,"3,516","31,258","112,485 ",North America,"4,891",,32
Curaçao,21,+1,1 ,,15,,5,,128,6,572,"3,487","164,044 ",North America,"7,812","164,044",287
New Caledonia,20,, ,,18,,2,,70,,"6,867","24,070","285,290 ",Australia/Oceania,"14,265",,42
Laos,19,, ,,18,+2,1,,3,,"7,491","1,031","7,267,282 ",Asia,"382,489",,970
Belize,18,,2 ,,16,,0,,45,5,"1,671","4,209","397,048 ",North America,"22,058","198,524",238
Dominica,18,, ,,16,,2,,250,,534,"7,419","71,973 ",North America,"3,999",,135
Fiji,18,, ,,15,,3,,20,,"2,431","2,713","895,961 ",Australia/Oceania,"49,776",,369
Saint Lucia,18,, ,,18,,0,,98,,"1,113","6,063","183,566 ",North America,"10,198",,165
Saint Kitts and Nevis,15,, ,,15,,0,,282,,403,"7,579","53,171 ",North America,"3,545",,132
Falkland Islands,13,, ,,13,,0,,"3,745",,535,"154,134","3,471 ",South America,267,,6
Greenland,13,, ,,11,,2,,229,,"2,203","38,810","56,763 ",North America,"4,366",,26
Turks and Caicos,12,,1 ,,11,,0,,310,26,153,"3,956","38,676 ",North America,"3,223","38,676",253
Vatican City,12,, ,,2,,10,,"14,981",,,,801 ,Europe,67,,
Montserrat,11,,1 ,,10,,0,,"2,204",200,61,"12,220","4,992 ",North America,454,"4,992",82
Seychelles,11,, ,,11,,0,,112,,,,"98,302 ",Africa,"8,937",,
MS Zaandam,9,,2 ,,,,7,,,,,, ,,,,
Western Sahara,9,,1  ,,6,,2,,15,2,,,"596,106 ",Africa,"66,234","596,106",
British Virgin Islands,8,,1 ,,7,,0,,265,33,167,"5,527","30,216 ",North America,"3,777","30,216",181
Papua New Guinea,8,, ,,8,,0,,0.9,,"4,646",520,"8,933,327 ",Australia/Oceania,"1,116,666",,"1,923"
Caribbean Netherlands,7,, ,,7,,0,,267,,424,"16,180","26,205 ",North America,"3,744",,62
St. Barth,6,, ,,6,,0,,608,,137,"13,873","9,875 ",North America,"1,646",,72
Lesotho,4,+2, ,,2,+1,2,,2,,"1,515",708,"2,140,977 ",Africa,"535,244",,"1,413"
Anguilla,3,, ,,3,,0,,200,,41,"2,735","14,993 ",North America,"4,998",,366
Saint Pierre Miquelon,1,, ,,1,,0,,173,,,,"5,796 ",North America,"5,796",,
China,"83,021",,"4,634 ",,"78,314",,73,3,58,3,,,"1,439,323,776 ",Asia,"17,337","310,601",
