20200417 03:51:24 JST
都道府県,2020/04/10,2020/04/17,Td
香川県,3.0,20.0,2.558
富山県,14.0,54.0,3.594
群馬県,29.0,107.0,3.717
静岡県,15.0,47.0,4.248
広島県,23.0,67.0,4.538
福岡県,161.0,433.0,4.904
沖縄県,32.0,86.0,4.908
滋賀県,24.0,52.0,6.275
石川県,66.0,140.0,6.452
山形県,22.0,45.0,6.780
埼玉県,242.0,479.0,7.106
兵庫県,216.0,423.0,7.219
宮城県,34.0,65.0,7.487
長野県,19.0,36.0,7.592
神奈川県,327.0,614.0,7.701
栃木県,21.0,39.0,7.838
岐阜県,69.0,128.0,7.852
大阪府,525.0,969.0,7.917
青森県,12.0,22.0,8.005
東京都,1347.0,2457.0,8.072
全国,4667.0,8442.0,8.186
山梨県,22.0,39.0,8.475
奈良県,30.0,53.0,8.526
高知県,37.0,62.0,9.399
千葉県,317.0,525.0,9.618
山口県,17.0,28.0,9.724
愛媛県,25.0,40.0,10.323
茨城県,77.0,119.0,11.146
佐賀県,11.0,17.0,11.146
三重県,13.0,20.0,11.263
福井県,67.0,100.0,12.116
秋田県,11.0,16.0,12.949
北海道,208.0,302.0,13.012
京都府,149.0,215.0,13.232
宮崎県,12.0,17.0,13.930
福島県,29.0,40.0,15.088
熊本県,23.0,31.0,16.255
鹿児島県,3.0,4.0,16.866
和歌山県,29.0,37.0,19.916
愛知県,278.0,350.0,21.067
長崎県,12.0,15.0,21.744
新潟県,37.0,46.0,22.285
大分県,41.0,50.0,24.450
岡山県,15.0,16.0,75.180
