20200507 09:14:10 JST
都道府県,2020/04/30,2020/05/07,Td,K
北海道,688.0,891.0,18.766,0.228
佐賀県,37.0,45.0,24.788,0.178
東京都,4073.0,4727.0,32.583,0.138
山口県,32.0,37.0,33.420,0.135
神奈川県,975.0,1125.0,33.906,0.133
富山県,190.0,216.0,37.831,0.120
福島県,70.0,79.0,40.115,0.114
全国,13547.0,15043.0,46.321,0.099
奈良県,80.0,88.0,50.908,0.091
石川県,245.0,268.0,54.074,0.086
長野県,66.0,72.0,55.763,0.083
静岡県,67.0,73.0,56.572,0.082
埼玉県,828.0,901.0,57.426,0.081
広島県,149.0,162.0,58.004,0.080
大阪府,1555.0,1689.0,58.698,0.079
京都府,313.0,338.0,63.142,0.074
山梨県,52.0,56.0,65.472,0.071
長崎県,16.0,17.0,80.034,0.059
兵庫県,636.0,673.0,85.806,0.055
福岡県,619.0,650.0,99.290,0.048
山形県,66.0,69.0,109.153,0.043
岡山県,22.0,23.0,109.153,0.043
熊本県,45.0,47.0,111.579,0.043
島根県,23.0,24.0,114.006,0.042
滋賀県,94.0,98.0,116.432,0.041
千葉県,801.0,835.0,116.717,0.041
新潟県,75.0,78.0,123.711,0.038
茨城県,162.0,168.0,133.416,0.036
和歌山県,60.0,62.0,147.974,0.032
愛知県,482.0,498.0,148.580,0.032
岐阜県,146.0,150.0,179.514,0.027
愛媛県,47.0,48.0,230.463,0.021
高知県,73.0,74.0,356.619,0.014
宮城県,87.0,88.0,424.548,0.011
沖縄県,141.0,142.0,686.559,0.007
青森県,26.0,26.0,1000,0.000
岩手県,0.0,0.0,1000,0
秋田県,16.0,16.0,1000,0.000
栃木県,54.0,54.0,1000,0.000
群馬県,146.0,146.0,1000,0.000
福井県,122.0,122.0,1000,0.000
三重県,45.0,45.0,1000,0.000
鳥取県,3.0,3.0,1000,0.000
徳島県,5.0,5.0,1000,0.000
香川県,28.0,28.0,1000,0.000
大分県,60.0,60.0,1000,0.000
宮崎県,17.0,17.0,1000,0.000
鹿児島県,10.0,10.0,1000,0.000
