20200704 07:46:50 JST,,,,,
都道府県,2020/06/27,2020/07/04,Td,K,R0
鹿児島県,11,21,7.504,0.476,1.909
鳥取県,3,4,16.866,0.25,1.333
栃木県,66,82,22.353,0.195,1.242
徳島県,5,6,26.612,0.167,1.2
埼玉県,1074,1165,59.658,0.078,1.085
岡山県,26,28,65.472,0.071,1.077
東京都,5943,6399,65.632,0.071,1.077
神奈川県,1444,1521,93.396,0.051,1.053
京都府,365,383,100.795,0.047,1.049
全国,17737,18588,103.536,0.046,1.048
北海道,1210,1267,105.407,0.045,1.047
宮城県,91,95,112.792,0.042,1.044
千葉県,937,978,113.295,0.042,1.044
山梨県,72,75,118.858,0.04,1.042
茨城県,170,176,139.886,0.034,1.035
岐阜県,156,160,191.645,0.025,1.026
大阪府,1811,1851,222.093,0.022,1.022
滋賀県,101,103,247.446,0.019,1.02
福岡県,842,854,342.871,0.014,1.014
静岡県,80,81,390.583,0.012,1.013
群馬県,152,153,739.932,0.007,1.007
広島県,168,169,817.565,0.006,1.006
兵庫県,704,708,856.381,0.006,1.006
富山県,227,228,1103.835,0.004,1.004
愛知県,523,525,1271.23,0.004,1.004
青森県,27,27,5000,0,1
岩手県,0,0,5000,0,1
秋田県,16,16,5000,0,1
山形県,69,69,5000,0,1
福島県,82,82,5000,0,1
新潟県,84,84,5000,0,1
石川県,300,300,5000,0,1
福井県,122,122,5000,0,1
長野県,77,77,5000,0,1
三重県,46,46,5000,0,1
奈良県,92,92,5000,0,1
和歌山県,64,64,5000,0,1
島根県,24,24,5000,0,1
山口県,37,37,5000,0,1
香川県,28,28,5000,0,1
愛媛県,82,82,5000,0,1
高知県,74,74,5000,0,1
佐賀県,47,47,5000,0,1
長崎県,17,17,5000,0,1
熊本県,49,49,5000,0,1
大分県,60,60,5000,0,1
宮崎県,17,17,5000,0,1
沖縄県,142,142,5000,0,1
