20200719 07:12:39 JST
都道府県,2020/07/12,2020/07/19,Td,K,R0
長崎県,19.0,32.0,9.308,0.406,1.684
香川県,28.0,42.0,11.967,0.333,1.500
奈良県,107.0,143.0,16.730,0.252,1.336
鹿児島県,124.0,162.0,18.151,0.235,1.306
宮城県,100.0,126.0,20.994,0.206,1.260
鳥取県,4.0,5.0,21.744,0.200,1.250
栃木県,90.0,112.0,22.187,0.196,1.244
和歌山県,71.0,87.0,23.875,0.184,1.225
岡山県,28.0,34.0,24.990,0.176,1.214
三重県,46.0,55.0,27.153,0.164,1.196
埼玉県,1396.0,1668.0,27.256,0.163,1.195
東京都,7515.0,8933.0,28.071,0.159,1.189
京都府,420.0,490.0,31.476,0.143,1.167
大阪府,1945.0,2245.0,33.825,0.134,1.154
広島県,173.0,198.0,35.948,0.126,1.145
全国,20604.0,23531.0,36.527,0.124,1.142
神奈川県,1685.0,1919.0,37.312,0.122,1.139
千葉県,1074.0,1223.0,37.347,0.122,1.139
宮崎県,18.0,20.0,46.052,0.100,1.111
静岡県,92.0,102.0,47.023,0.098,1.109
山口県,37.0,41.0,47.266,0.098,1.108
茨城県,196.0,215.0,52.441,0.088,1.097
長野県,77.0,83.0,64.663,0.072,1.078
愛知県,528.0,569.0,64.880,0.072,1.078
兵庫県,722.0,777.0,66.090,0.071,1.076
青森県,28.0,30.0,70.327,0.067,1.071
群馬県,155.0,166.0,70.768,0.066,1.071
岐阜県,162.0,172.0,81.005,0.058,1.062
福岡県,902.0,953.0,88.218,0.054,1.057
山形県,71.0,75.0,88.527,0.053,1.056
滋賀県,104.0,109.0,103.329,0.046,1.048
島根県,24.0,25.0,118.858,0.040,1.042
新潟県,86.0,89.0,141.504,0.034,1.035
福井県,122.0,126.0,150.400,0.032,1.033
北海道,1283.0,1323.0,158.042,0.030,1.031
沖縄県,145.0,149.0,178.301,0.027,1.028
高知県,74.0,76.0,181.940,0.026,1.027
熊本県,49.0,50.0,240.167,0.020,1.020
山梨県,76.0,77.0,371.175,0.013,1.013
福島県,83.0,84.0,405.140,0.012,1.012
石川県,300.0,301.0,1458.034,0.003,1.003
岩手県,0.0,0.0,5000,0,1
秋田県,16.0,16.0,5000,0.000,1
富山県,230.0,230.0,5000,0.000,1
徳島県,10.0,10.0,5000,0.000,1
愛媛県,82.0,82.0,5000,0.000,1
佐賀県,47.0,47.0,5000,0.000,1
大分県,60.0,60.0,5000,0.000,1
