20200410 03:00:26 JST,,,
都道府県,2020/04/03,2020/04/10,Td
山形県,1,22,1.57
宮城県,7,34,3.07
福島県,6,29,3.08
石川県,15,66,3.275
宮崎県,3,12,3.5
広島県,6,23,3.611
岡山県,4,15,3.671
沖縄県,9,32,3.825
茨城県,24,77,4.162
岐阜県,22,69,4.245
福岡県,52,161,4.293
福井県,22,67,4.357
滋賀県,8,24,4.417
山口県,6,17,4.659
富山県,5,14,4.712
愛媛県,9,25,4.749
山梨県,8,22,4.796
佐賀県,4,11,4.796
静岡県,6,15,5.295
長崎県,5,12,5.542
埼玉県,101,242,5.553
神奈川県,138,327,5.624
東京都,593,1347,5.914
長野県,9,19,6.493
京都府,71,149,6.546
全国,2306,4667,6.882
奈良県,15,30,7
大阪府,279,525,7.675
高知県,20,37,7.887
秋田県,6,11,8.005
千葉県,175,317,8.167
和歌山県,18,29,10.174
愛知県,181,278,11.307
熊本県,15,23,11.351
青森県,8,12,11.967
栃木県,14,21,11.967
香川県,2,3,11.967
鹿児島県,2,3,11.967
群馬県,20,29,13.058
大分県,29,41,14.012
兵庫県,161,216,16.511
新潟県,31,37,27.423
三重県,11,13,29.045
北海道,182,208,36.336
