20200729 06:23:45 JST
都道府県,2020/07/22,2020/07/29,Td,K,R0
宮崎県,20.0,73.0,3.748,0.726,3.649
熊本県,50.0,100.0,7.000,0.500,2.000
静岡県,109.0,200.0,7.994,0.455,1.835
愛知県,640.0,1096.0,9.019,0.416,1.713
徳島県,10.0,16.0,10.323,0.375,1.600
岡山県,43.0,64.0,12.201,0.328,1.488
和歌山県,93.0,130.0,14.486,0.285,1.398
滋賀県,111.0,155.0,14.532,0.284,1.396
佐賀県,48.0,67.0,14.549,0.284,1.396
福岡県,1028.0,1432.0,14.638,0.282,1.393
奈良県,156.0,209.0,16.589,0.254,1.340
岐阜県,180.0,240.0,16.866,0.250,1.333
長崎県,40.0,53.0,17.242,0.245,1.325
大阪府,2469.0,3188.0,18.984,0.226,1.291
鹿児島県,170.0,216.0,20.261,0.213,1.271
沖縄県,153.0,192.0,21.369,0.203,1.255
広島県,209.0,261.0,21.838,0.199,1.249
三重県,57.0,70.0,23.617,0.186,1.228
栃木県,133.0,163.0,23.854,0.184,1.226
京都府,539.0,657.0,24.509,0.180,1.219
兵庫県,834.0,1014.0,24.828,0.178,1.216
全国,25106.0,30257.0,25.999,0.170,1.205
鳥取県,5.0,6.0,26.612,0.167,1.200
山口県,42.0,50.0,27.829,0.160,1.190
東京都,9579.0,11345.0,28.676,0.156,1.184
埼玉県,1783.0,2091.0,30.450,0.147,1.173
千葉県,1318.0,1499.0,37.705,0.121,1.137
山梨県,78.0,88.0,40.223,0.114,1.128
秋田県,16.0,18.0,41.195,0.111,1.125
神奈川県,2009.0,2253.0,42.329,0.108,1.121
島根県,25.0,28.0,42.814,0.107,1.120
長野県,84.0,92.0,53.336,0.087,1.095
茨城県,226.0,244.0,63.315,0.074,1.080
宮城県,132.0,142.0,66.443,0.070,1.076
群馬県,167.0,179.0,69.922,0.067,1.072
愛媛県,83.0,87.0,103.087,0.046,1.048
新潟県,90.0,94.0,111.579,0.043,1.044
高知県,76.0,79.0,125.328,0.038,1.039
青森県,30.0,31.0,147.974,0.032,1.033
石川県,303.0,313.0,149.429,0.032,1.033
北海道,1348.0,1391.0,154.519,0.031,1.032
福島県,84.0,86.0,206.202,0.023,1.024
福井県,126.0,129.0,206.202,0.023,1.024
香川県,44.0,45.0,215.906,0.022,1.023
富山県,231.0,236.0,226.581,0.021,1.022
岩手県,0.0,0.0,5000,0,1
山形県,75.0,75.0,5000,0.000,1
大分県,60.0,60.0,5000,0.000,1
