20200826 07:05:46 JST
都道府県,2020/08/19,2020/08/26,Td,K,R0
山口県,83.0,114.0,15.289,0.272,1.373
岩手県,9.0,12.0,16.866,0.250,1.333
群馬県,307.0,384.0,21.681,0.201,1.251
大分県,113.0,140.0,22.646,0.193,1.239
長野県,149.0,183.0,23.606,0.186,1.228
奈良県,403.0,492.0,24.316,0.181,1.221
福島県,106.0,128.0,25.728,0.172,1.208
石川県,475.0,573.0,25.868,0.171,1.206
三重県,284.0,342.0,26.109,0.170,1.204
宮崎県,267.0,321.0,26.342,0.168,1.202
徳島県,91.0,109.0,26.883,0.165,1.198
山梨県,140.0,167.0,27.513,0.162,1.193
京都府,1119.0,1319.0,29.507,0.152,1.179
滋賀県,346.0,401.0,32.890,0.137,1.159
沖縄県,1656.0,1911.0,33.878,0.133,1.154
和歌山県,198.0,227.0,35.498,0.128,1.146
熊本県,412.0,471.0,36.254,0.125,1.143
大阪府,6916.0,7901.0,36.440,0.125,1.142
神奈川県,3904.0,4459.0,36.503,0.124,1.142
福岡県,3633.0,4118.0,38.721,0.118,1.133
佐賀県,198.0,224.0,39.326,0.116,1.131
千葉県,2495.0,2801.0,41.941,0.109,1.123
兵庫県,1900.0,2129.0,42.637,0.108,1.121
岡山県,126.0,141.0,43.138,0.106,1.119
愛知県,3744.0,4187.0,43.388,0.106,1.118
全国,55809.0,62215.0,44.653,0.103,1.115
茨城県,456.0,507.0,45.766,0.101,1.112
富山県,308.0,342.0,46.337,0.099,1.110
埼玉県,3256.0,3592.0,49.405,0.094,1.103
長崎県,185.0,204.0,49.630,0.093,1.103
香川県,65.0,71.0,54.954,0.085,1.092
東京都,17875.0,19428.0,58.239,0.080,1.087
新潟県,130.0,139.0,72.484,0.065,1.069
静岡県,418.0,446.0,74.834,0.063,1.067
高知県,103.0,109.0,85.696,0.055,1.058
福井県,155.0,164.0,85.966,0.055,1.058
鹿児島県,328.0,346.0,90.819,0.052,1.055
岐阜県,516.0,543.0,95.133,0.050,1.052
北海道,1627.0,1712.0,95.279,0.050,1.052
鳥取県,21.0,22.0,104.300,0.045,1.048
秋田県,43.0,45.0,106.726,0.044,1.047
宮城県,184.0,192.0,114.006,0.042,1.043
栃木県,277.0,289.0,114.410,0.042,1.043
愛媛県,110.0,114.0,135.842,0.035,1.036
広島県,437.0,451.0,153.866,0.031,1.032
島根県,132.0,135.0,215.906,0.022,1.023
山形県,76.0,77.0,371.175,0.013,1.013
青森県,33.0,33.0,5000,0.000,1
