20200827 07:30:24 JST
都道府県,2020/08/20,2020/08/27,Td,K,R0
山口県,84.0,114.0,15.888,0.263,1.357
岩手県,9.0,12.0,16.866,0.250,1.333
群馬県,307.0,384.0,21.681,0.201,1.251
長野県,150.0,183.0,24.400,0.180,1.220
三重県,285.0,342.0,26.612,0.167,1.200
石川県,486.0,573.0,29.464,0.152,1.179
山梨県,142.0,167.0,29.920,0.150,1.176
宮崎県,273.0,321.0,29.956,0.150,1.176
福島県,109.0,128.0,30.196,0.148,1.174
大分県,120.0,140.0,31.476,0.143,1.167
京都府,1138.0,1319.0,32.872,0.137,1.159
徳島県,95.0,109.0,35.295,0.128,1.147
滋賀県,354.0,401.0,38.921,0.117,1.133
沖縄県,1689.0,1911.0,39.291,0.116,1.131
熊本県,417.0,471.0,39.845,0.115,1.129
佐賀県,199.0,224.0,41.000,0.112,1.126
奈良県,440.0,492.0,43.436,0.106,1.118
福岡県,3683.0,4118.0,43.461,0.106,1.118
神奈川県,3988.0,4459.0,43.463,0.106,1.118
大阪府,7101.0,7901.0,45.451,0.101,1.113
兵庫県,1924.0,2129.0,47.923,0.096,1.107
千葉県,2532.0,2801.0,48.056,0.096,1.106
愛知県,3787.0,4187.0,48.322,0.096,1.106
岡山県,128.0,141.0,50.161,0.092,1.102
全国,56671.0,62215.0,51.986,0.089,1.098
埼玉県,3280.0,3592.0,53.398,0.087,1.095
茨城県,463.0,507.0,53.446,0.087,1.095
香川県,65.0,71.0,54.954,0.085,1.092
和歌山県,209.0,227.0,58.730,0.079,1.086
長崎県,189.0,204.0,63.531,0.074,1.079
東京都,18082.0,19428.0,67.579,0.069,1.074
富山県,319.0,342.0,69.693,0.067,1.072
高知県,103.0,109.0,85.696,0.055,1.058
福井県,155.0,164.0,85.966,0.055,1.058
静岡県,425.0,446.0,100.602,0.047,1.049
北海道,1632.0,1712.0,101.388,0.047,1.049
鳥取県,21.0,22.0,104.300,0.045,1.048
新潟県,133.0,139.0,109.962,0.043,1.045
岐阜県,520.0,543.0,112.107,0.042,1.044
宮城県,185.0,192.0,130.643,0.036,1.038
愛媛県,110.0,114.0,135.842,0.035,1.036
鹿児島県,335.0,346.0,150.179,0.032,1.033
広島県,437.0,451.0,153.866,0.031,1.032
栃木県,282.0,289.0,197.884,0.024,1.025
秋田県,44.0,45.0,215.906,0.022,1.023
島根県,133.0,135.0,325.080,0.015,1.015
山形県,76.0,77.0,371.175,0.013,1.013
青森県,33.0,33.0,5000,0.000,1
