20201003 11:05:49 JST
都道府県,2020/09/26,2020/10/03,Td,K,R0
広島県,492.0,577.0,30.446,0.147,1.173
福島県,232.0,253.0,55.994,0.083,1.091
鹿児島県,389.0,422.0,59.588,0.078,1.085
宮城県,375.0,406.0,61.088,0.076,1.083
神奈川県,6509.0,6975.0,70.170,0.067,1.072
千葉県,3715.0,3934.0,84.710,0.056,1.059
沖縄県,2382.0,2516.0,88.654,0.053,1.056
北海道,1996.0,2107.0,89.653,0.053,1.056
山梨県,180.0,190.0,89.741,0.053,1.056
三重県,483.0,509.0,92.541,0.051,1.054
東京都,24648.0,25973.0,92.664,0.051,1.054
岡山県,149.0,157.0,92.774,0.051,1.054
栃木県,411.0,432.0,97.367,0.049,1.051
静岡県,522.0,548.0,99.820,0.047,1.050
全国,79416.0,83087.0,107.373,0.044,1.046
茨城県,631.0,659.0,111.752,0.042,1.044
埼玉県,4494.0,4685.0,116.572,0.041,1.043
愛知県,5145.0,5363.0,116.922,0.041,1.042
滋賀県,483.0,503.0,119.586,0.040,1.041
大阪府,10271.0,10669.0,127.625,0.037,1.039
兵庫県,2616.0,2717.0,128.083,0.037,1.039
岐阜県,606.0,627.0,142.428,0.033,1.035
京都府,1705.0,1762.0,147.548,0.032,1.033
山口県,195.0,201.0,160.105,0.030,1.031
奈良県,558.0,574.0,171.629,0.028,1.029
青森県,35.0,36.0,172.236,0.028,1.029
群馬県,688.0,706.0,187.871,0.025,1.026
長野県,303.0,310.0,212.440,0.023,1.023
富山県,410.0,419.0,223.454,0.021,1.022
石川県,763.0,777.0,266.854,0.018,1.018
和歌山県,238.0,242.0,291.115,0.017,1.017
島根県,138.0,140.0,337.210,0.014,1.014
新潟県,168.0,170.0,409.992,0.012,1.012
熊本県,572.0,578.0,464.982,0.010,1.010
高知県,137.0,138.0,667.151,0.007,1.007
徳島県,147.0,148.0,715.672,0.007,1.007
福岡県,5007.0,5040.0,738.609,0.007,1.007
佐賀県,244.0,245.0,1186.320,0.004,1.004
岩手県,23.0,23.0,5000,0.000,1
秋田県,53.0,53.0,5000,0.000,1
山形県,78.0,78.0,5000,0.000,1
福井県,244.0,244.0,5000,0.000,1
鳥取県,36.0,36.0,5000,0.000,1
香川県,93.0,93.0,5000,0.000,1
愛媛県,114.0,114.0,5000,0.000,1
長崎県,236.0,236.0,5000,0.000,1
大分県,158.0,158.0,5000,0.000,1
宮崎県,344.0,344.0,5000,0.000,1
