20200830 06:30:51 JST
都道府県,2020/08/23,2020/08/30,Td,K,R0
岩手県,11.0,19.0,8.878,0.421,1.727
山口県,100.0,151.0,11.774,0.338,1.510
長野県,163.0,219.0,16.430,0.256,1.344
福井県,156.0,206.0,17.452,0.243,1.321
福島県,122.0,151.0,22.752,0.192,1.238
徳島県,104.0,127.0,24.285,0.181,1.221
群馬県,361.0,432.0,27.024,0.164,1.197
滋賀県,373.0,436.0,31.090,0.144,1.169
長崎県,192.0,224.0,31.476,0.143,1.167
石川県,532.0,613.0,34.236,0.132,1.152
三重県,318.0,360.0,39.113,0.117,1.132
京都府,1243.0,1401.0,40.549,0.113,1.127
熊本県,442.0,498.0,40.674,0.112,1.127
高知県,106.0,119.0,41.942,0.109,1.123
沖縄県,1834.0,2056.0,42.464,0.108,1.121
福岡県,3900.0,4346.0,44.810,0.103,1.114
神奈川県,4269.0,4742.0,46.175,0.100,1.111
静岡県,433.0,478.0,49.073,0.094,1.104
富山県,336.0,370.0,50.337,0.092,1.101
大阪府,7586.0,8339.0,51.269,0.090,1.099
千葉県,2695.0,2961.0,51.547,0.090,1.099
埼玉県,3465.0,3806.0,51.691,0.090,1.098
佐賀県,214.0,235.0,51.833,0.089,1.098
茨城県,490.0,538.0,51.919,0.089,1.098
愛知県,3978.0,4362.0,52.653,0.088,1.097
全国,59839.0,65496.0,53.714,0.086,1.095
宮崎県,303.0,331.0,54.896,0.085,1.092
岡山県,133.0,145.0,56.168,0.083,1.090
兵庫県,2033.0,2209.0,58.439,0.080,1.087
東京都,18865.0,20322.0,65.219,0.072,1.077
奈良県,472.0,508.0,66.012,0.071,1.076
秋田県,45.0,48.0,75.180,0.062,1.067
山梨県,162.0,172.0,81.005,0.058,1.062
青森県,33.0,35.0,82.461,0.057,1.061
栃木県,286.0,302.0,89.134,0.053,1.056
大分県,137.0,144.0,97.367,0.049,1.051
鹿児島県,340.0,356.0,105.513,0.045,1.047
北海道,1671.0,1744.0,113.474,0.042,1.044
香川県,71.0,74.0,117.241,0.041,1.042
広島県,438.0,454.0,135.236,0.035,1.037
岐阜県,533.0,551.0,146.087,0.033,1.034
新潟県,137.0,141.0,168.596,0.028,1.029
和歌山県,223.0,228.0,218.818,0.022,1.022
島根県,134.0,137.0,219.141,0.022,1.022
宮城県,189.0,193.0,231.676,0.021,1.021
愛媛県,112.0,114.0,274.133,0.018,1.018
山形県,77.0,77.0,5000,0.000,1
鳥取県,22.0,22.0,5000,0.000,1
