20201022 04:28:19 JST
都道府県,2020/10/15,2020/10/22,Td,K,R0
青森県,39.0,122.0,4.254,0.680,3.129
福島県,319.0,369.0,33.323,0.136,1.157
岩手県,24.0,26.0,60.618,0.077,1.083
宮城県,491.0,526.0,70.465,0.067,1.071
徳島県,149.0,159.0,74.695,0.063,1.067
沖縄県,2769.0,2954.0,75.023,0.063,1.067
宮崎県,344.0,366.0,78.269,0.060,1.064
北海道,2390.0,2542.0,78.693,0.060,1.064
岡山県,164.0,173.0,90.819,0.052,1.055
埼玉県,5131.0,5393.0,97.428,0.049,1.051
栃木県,444.0,466.0,100.329,0.047,1.050
神奈川県,7591.0,7965.0,100.887,0.047,1.049
千葉県,4346.0,4548.0,106.798,0.044,1.046
熊本県,714.0,746.0,110.669,0.043,1.045
東京都,27959.0,29046.0,127.211,0.037,1.039
全国,88921.0,92224.0,133.034,0.036,1.037
京都府,1863.0,1928.0,141.479,0.034,1.035
兵庫県,2913.0,3008.0,151.192,0.032,1.033
香川県,96.0,99.0,157.679,0.030,1.031
群馬県,763.0,785.0,170.692,0.028,1.029
福井県,249.0,256.0,175.008,0.027,1.028
大阪府,11249.0,11555.0,180.783,0.026,1.027
茨城県,710.0,728.0,193.802,0.025,1.025
愛知県,5557.0,5685.0,213.063,0.023,1.023
静岡県,567.0,580.0,214.040,0.022,1.023
長野県,320.0,326.0,261.193,0.018,1.019
滋賀県,518.0,527.0,281.680,0.017,1.017
石川県,782.0,795.0,294.288,0.016,1.017
奈良県,603.0,613.0,294.997,0.016,1.017
鹿児島県,456.0,463.0,318.495,0.015,1.015
広島県,641.0,650.0,347.993,0.014,1.014
三重県,542.0,549.0,378.107,0.013,1.013
岐阜県,636.0,644.0,388.157,0.012,1.013
佐賀県,249.0,252.0,405.140,0.012,1.012
和歌山県,252.0,255.0,409.992,0.012,1.012
山梨県,197.0,199.0,480.347,0.010,1.010
愛媛県,115.0,116.0,560.406,0.009,1.009
福岡県,5105.0,5142.0,671.872,0.007,1.007
高知県,139.0,140.0,676.855,0.007,1.007
大分県,158.0,159.0,769.044,0.006,1.006
新潟県,179.0,180.0,870.937,0.006,1.006
長崎県,241.0,242.0,1171.764,0.004,1.004
秋田県,59.0,59.0,5000,0.000,1
山形県,81.0,81.0,5000,0.000,1
富山県,422.0,422.0,5000,0.000,1
鳥取県,36.0,36.0,5000,0.000,1
島根県,140.0,140.0,5000,0.000,1
山口県,209.0,209.0,5000,0.000,1
