20201029 07:19:23 JST
都道府県,2020/10/22,2020/10/29,Td,K,R0
青森県,122.0,187.0,11.361,0.348,1.533
岡山県,173.0,206.0,27.792,0.160,1.191
宮城県,526.0,602.0,35.953,0.126,1.144
群馬県,785.0,870.0,47.194,0.098,1.108
北海道,2542.0,2804.0,49.462,0.093,1.103
沖縄県,2954.0,3194.0,62.115,0.075,1.081
和歌山県,255.0,272.0,75.180,0.062,1.067
千葉県,4548.0,4836.0,79.023,0.060,1.063
神奈川県,7965.0,8389.0,93.552,0.051,1.053
埼玉県,5393.0,5653.0,103.049,0.046,1.048
大阪府,11555.0,12089.0,107.399,0.044,1.046
福島県,369.0,386.0,107.725,0.044,1.046
兵庫県,3008.0,3142.0,111.326,0.043,1.045
岐阜県,644.0,672.0,114.006,0.042,1.043
全国,92224.0,96191.0,115.208,0.041,1.043
岩手県,26.0,27.0,128.564,0.037,1.038
東京都,29046.0,30127.0,132.783,0.036,1.037
山形県,81.0,84.0,133.416,0.036,1.037
秋田県,59.0,61.0,145.547,0.033,1.034
愛知県,5685.0,5869.0,152.325,0.031,1.032
徳島県,159.0,164.0,156.708,0.030,1.031
熊本県,746.0,769.0,159.788,0.030,1.031
鳥取県,36.0,37.0,177.088,0.027,1.028
静岡県,580.0,596.0,178.301,0.027,1.028
長野県,326.0,334.0,200.136,0.024,1.025
京都府,1928.0,1974.0,205.780,0.023,1.024
栃木県,466.0,477.0,207.966,0.023,1.024
滋賀県,527.0,539.0,215.502,0.022,1.023
奈良県,613.0,626.0,231.209,0.021,1.021
茨城県,728.0,743.0,237.903,0.020,1.021
香川県,99.0,101.0,242.593,0.020,1.020
山梨県,199.0,203.0,243.806,0.020,1.020
山口県,209.0,213.0,255.937,0.019,1.019
高知県,140.0,142.0,342.062,0.014,1.014
新潟県,180.0,182.0,439.104,0.011,1.011
三重県,549.0,555.0,446.382,0.011,1.011
広島県,650.0,656.0,528.059,0.009,1.009
福岡県,5142.0,5189.0,533.255,0.009,1.009
長崎県,242.0,244.0,589.518,0.008,1.008
佐賀県,252.0,254.0,613.779,0.008,1.008
島根県,140.0,141.0,681.707,0.007,1.007
石川県,795.0,799.0,966.765,0.005,1.005
宮崎県,366.0,367.0,1778.268,0.003,1.003
富山県,422.0,422.0,5000,0.000,1
福井県,256.0,256.0,5000,0.000,1
愛媛県,116.0,116.0,5000,0.000,1
大分県,159.0,159.0,5000,0.000,1
鹿児島県,463.0,463.0,5000,0.000,1
