20200726 11:21:00 JST
都道府県,2020/07/19,2020/07/26,Td,K,R0
愛知県,569.0,869.0,11.458,0.345,1.527
長崎県,32.0,47.0,12.622,0.319,1.469
岡山県,34.0,49.0,13.277,0.306,1.441
滋賀県,109.0,151.0,14.887,0.278,1.385
奈良県,143.0,195.0,15.644,0.267,1.364
宮崎県,20.0,27.0,16.168,0.259,1.350
佐賀県,47.0,63.0,16.561,0.254,1.340
栃木県,112.0,147.0,17.843,0.238,1.312
福岡県,953.0,1240.0,18.431,0.231,1.301
大阪府,2245.0,2915.0,18.578,0.230,1.298
和歌山県,87.0,112.0,19.209,0.223,1.287
岐阜県,172.0,216.0,21.301,0.204,1.256
鹿児島県,162.0,203.0,21.506,0.202,1.253
広島県,198.0,244.0,23.226,0.189,1.232
埼玉県,1668.0,2000.0,26.730,0.166,1.199
京都府,490.0,586.0,27.119,0.164,1.196
東京都,8933.0,10680.0,27.164,0.164,1.196
全国,23531.0,28117.0,27.250,0.163,1.195
兵庫県,777.0,918.0,29.096,0.154,1.181
千葉県,1223.0,1432.0,30.755,0.146,1.171
静岡県,102.0,119.0,31.476,0.143,1.167
沖縄県,149.0,172.0,33.801,0.134,1.154
山口県,41.0,47.0,35.526,0.128,1.146
神奈川県,1919.0,2188.0,36.987,0.123,1.140
熊本県,50.0,57.0,37.030,0.123,1.140
茨城県,215.0,239.0,45.849,0.100,1.112
宮城県,126.0,140.0,46.052,0.100,1.111
三重県,55.0,61.0,46.861,0.098,1.109
山梨県,77.0,85.0,49.087,0.094,1.104
香川県,42.0,45.0,70.327,0.067,1.071
群馬県,166.0,177.0,75.622,0.062,1.066
長野県,83.0,87.0,103.087,0.046,1.048
島根県,25.0,26.0,123.711,0.038,1.040
北海道,1323.0,1371.0,136.146,0.035,1.036
新潟県,89.0,92.0,146.356,0.033,1.034
青森県,30.0,31.0,147.974,0.032,1.033
石川県,301.0,310.0,164.688,0.029,1.030
高知県,76.0,78.0,186.793,0.026,1.026
愛媛県,82.0,84.0,201.350,0.024,1.024
福島県,84.0,86.0,206.202,0.023,1.024
富山県,230.0,235.0,225.611,0.021,1.022
福井県,126.0,127.0,613.779,0.008,1.008
岩手県,0.0,0.0,5000,0,1
秋田県,16.0,16.0,5000,0.000,1
山形県,75.0,75.0,5000,0.000,1
鳥取県,5.0,5.0,5000,0.000,1
徳島県,10.0,10.0,5000,0.000,1
大分県,60.0,60.0,5000,0.000,1
