20200906 08:42:08 JST
都道府県,2020/08/30,2020/09/06,Td,K,R0
長野県,219.0,284.0,18.669,0.229,1.297
山口県,151.0,178.0,29.495,0.152,1.179
宮城県,193.0,226.0,30.739,0.146,1.171
福井県,206.0,241.0,30.920,0.145,1.170
岩手県,19.0,22.0,33.096,0.136,1.158
福島県,151.0,173.0,35.674,0.127,1.146
徳島県,127.0,145.0,36.606,0.124,1.142
神奈川県,4742.0,5285.0,44.755,0.103,1.115
石川県,613.0,681.0,46.123,0.100,1.111
香川県,74.0,82.0,47.266,0.098,1.108
福岡県,4346.0,4755.0,53.947,0.086,1.094
高知県,119.0,130.0,54.880,0.085,1.092
群馬県,432.0,471.0,56.137,0.083,1.090
富山県,370.0,401.0,60.305,0.077,1.084
京都府,1401.0,1512.0,63.636,0.073,1.079
熊本県,498.0,537.0,64.352,0.073,1.078
三重県,360.0,388.0,64.779,0.072,1.078
埼玉県,3806.0,4079.0,70.042,0.067,1.072
沖縄県,2056.0,2200.0,71.675,0.065,1.070
大阪府,8339.0,8900.0,74.523,0.063,1.067
全国,65496.0,69902.0,74.526,0.063,1.067
千葉県,2961.0,3160.0,74.595,0.063,1.067
大分県,144.0,153.0,80.034,0.059,1.062
東京都,20322.0,21475.0,87.922,0.054,1.057
愛知県,4362.0,4604.0,89.861,0.053,1.055
茨城県,538.0,567.0,92.418,0.051,1.054
滋賀県,436.0,459.0,94.383,0.050,1.053
兵庫県,2209.0,2322.0,97.257,0.049,1.051
奈良県,508.0,531.0,109.575,0.043,1.045
長崎県,224.0,234.0,111.094,0.043,1.045
秋田県,48.0,50.0,118.858,0.040,1.042
鹿児島県,356.0,370.0,125.791,0.038,1.039
北海道,1744.0,1809.0,132.595,0.036,1.037
新潟県,141.0,145.0,173.449,0.028,1.028
岐阜県,551.0,564.0,208.068,0.023,1.024
栃木県,302.0,309.0,211.747,0.023,1.023
宮崎県,331.0,338.0,231.849,0.021,1.021
静岡県,478.0,487.0,260.115,0.018,1.019
佐賀県,235.0,239.0,287.476,0.017,1.017
和歌山県,228.0,231.0,371.175,0.013,1.013
山形県,77.0,78.0,376.027,0.013,1.013
山梨県,172.0,174.0,419.696,0.011,1.012
広島県,454.0,459.0,442.986,0.011,1.011
岡山県,145.0,146.0,705.968,0.007,1.007
青森県,35.0,35.0,5000,0.000,1
鳥取県,22.0,22.0,5000,0.000,1
島根県,137.0,137.0,5000,0.000,1
愛媛県,114.0,114.0,5000,0.000,1
