20200407 03:22:17 JST
都道府県,day0,day1,Td
富山県,1.0,10.0,2.107
福島県,2.0,16.0,2.333
佐賀県,1.0,8.0,2.333
福岡県,23.0,109.0,3.119
長崎県,2.0,9.0,3.226
石川県,11.0,43.0,3.559
宮城県,6.0,23.0,3.611
福井県,15.0,51.0,3.965
茨城県,20.0,64.0,4.171
滋賀県,6.0,18.0,4.417
徳島県,1.0,3.0,4.417
愛媛県,4.0,12.0,4.417
鹿児島県,1.0,3.0,4.417
秋田県,4.0,11.0,4.796
岡山県,4.0,11.0,4.796
広島県,6.0,16.0,4.947
山梨県,5.0,13.0,5.078
静岡県,4.0,10.0,5.295
岐阜県,21.0,50.0,5.593
東京都,449.0,1040.0,5.777
奈良県,11.0,25.0,5.910
埼玉県,84.0,174.0,6.663
高知県,15.0,31.0,6.684
京都府,54.0,111.0,6.734
香川県,1.0,2.0,7.000
宮崎県,3.0,6.0,7.000
神奈川県,115.0,226.0,7.182
全国,1887.0,3569.0,7.613
大阪府,217.0,409.0,7.655
熊本県,11.0,20.0,8.116
青森県,7.0,11.0,10.735
長野県,8.0,12.0,11.967
千葉県,160.0,238.0,12.219
和歌山県,17.0,25.0,12.581
群馬県,18.0,26.0,13.195
兵庫県,136.0,195.0,13.465
愛知県,170.0,227.0,16.780
山口県,6.0,8.0,16.866
三重県,11.0,13.0,29.045
栃木県,12.0,14.0,31.476
大分県,28.0,31.0,47.670
北海道,177.0,194.0,52.907
新潟県,31.0,32.0,152.826
