20200831 07:10:55 JST
都道府県,2020/08/24,2020/08/31,Td,K,R0
岩手県,11.0,19.0,8.878,0.421,1.727
山口県,107.0,158.0,12.449,0.323,1.477
長野県,169.0,237.0,14.348,0.287,1.402
福井県,161.0,211.0,17.940,0.237,1.311
福島県,124.0,157.0,20.563,0.210,1.266
徳島県,104.0,128.0,23.368,0.188,1.231
長崎県,193.0,229.0,28.369,0.157,1.187
群馬県,374.0,434.0,32.610,0.138,1.160
高知県,107.0,124.0,32.906,0.137,1.159
滋賀県,384.0,441.0,35.057,0.129,1.148
石川県,550.0,620.0,40.501,0.113,1.127
京都府,1243.0,1401.0,40.549,0.113,1.127
富山県,338.0,379.0,42.379,0.108,1.121
沖縄県,1864.0,2084.0,43.491,0.106,1.118
神奈川県,4370.0,4848.0,46.743,0.099,1.109
福岡県,3987.0,4412.0,47.903,0.096,1.107
静岡県,433.0,478.0,49.073,0.094,1.104
三重県,331.0,365.0,49.622,0.093,1.103
埼玉県,3531.0,3862.0,54.150,0.086,1.094
千葉県,2738.0,2994.0,54.284,0.086,1.093
熊本県,466.0,509.0,54.973,0.084,1.092
大阪府,7720.0,8429.0,55.222,0.084,1.092
全国,60852.0,66332.0,56.270,0.083,1.090
秋田県,45.0,49.0,56.977,0.082,1.089
茨城県,498.0,542.0,57.308,0.081,1.088
佐賀県,218.0,237.0,58.063,0.080,1.087
愛知県,4068.0,4412.0,59.771,0.078,1.085
香川県,71.0,77.0,59.809,0.078,1.085
兵庫県,2072.0,2235.0,64.073,0.073,1.079
宮崎県,309.0,333.0,64.866,0.072,1.078
東京都,19121.0,20569.0,66.468,0.070,1.076
岡山県,135.0,145.0,67.900,0.069,1.074
山梨県,162.0,172.0,81.005,0.058,1.062
青森県,33.0,35.0,82.461,0.057,1.061
奈良県,482.0,510.0,85.927,0.055,1.058
鹿児島県,340.0,359.0,89.230,0.053,1.056
栃木県,288.0,303.0,95.564,0.050,1.052
北海道,1681.0,1760.0,105.651,0.045,1.047
大分県,138.0,144.0,114.006,0.042,1.043
宮城県,191.0,198.0,134.803,0.035,1.037
岐阜県,538.0,555.0,155.966,0.031,1.032
新潟県,138.0,142.0,169.810,0.028,1.029
島根県,134.0,137.0,219.141,0.022,1.022
和歌山県,225.0,230.0,220.758,0.022,1.022
広島県,448.0,456.0,274.133,0.018,1.018
愛媛県,113.0,114.0,550.702,0.009,1.009
山形県,77.0,77.0,5000,0.000,1
鳥取県,22.0,22.0,5000,0.000,1
