都道府県,3/18,3/25,Td
北海道,151,162,69.00272870690686
愛知県,121,139,34.986384095440464
和歌山県,13,15,33.906370783550955
石川県,5,6,26.612488118467514
三重県,5,6,26.612488118467514
熊本県,5,6,26.612488118467514
滋賀県,4,5,21.743986036537727
奈良県,4,5,21.743986036537727
大阪府,95,123,18.78393366211311
群馬県,10,13,18.49348757067798
長野県,3,4,16.865945877572468
沖縄県,3,4,16.865945877572468
兵庫県,64,87,15.803370103871222
京都府,16,23,13.369955396907677
神奈川県,49,73,12.171484784322763
新潟県,16,24,11.966579039460182
千葉県,29,46,10.517127758920497
東京都,96,160,9.498408141997068
埼玉県,31,53,9.047152079572134
山梨県,2,4,7.0
福岡県,4,9,5.983289519730091
栃木県,2,6,4.416508275000202
岐阜県,2,11,2.8461860646804666
