都道府県,2020/04/22,2020/04/29,Td
佐賀県,17.286,36.571,6.475
富山県,103.429,182.571,8.538
北海道,444.429,658.429,12.344
島根県,15.714,20.714,17.564
石川県,182.000,236.714,18.460
和歌山県,44.857,58.286,18.528
徳島県,3.857,5.000,18.697
長野県,52.143,66.143,20.401
滋賀県,74.714,94.429,20.720
東京都,3161.714,3977.000,21.150
埼玉県,652.714,814.857,21.868
新潟県,56.571,70.429,22.146
鳥取県,2.429,3.000,22.962
静岡県,52.857,65.000,23.463
神奈川県,788.286,969.143,23.491
全国,10825.857,13304.429,23.535
大阪府,1254.286,1531.714,24.282
兵庫県,524.286,629.000,26.646
奈良県,65.714,78.571,27.153
三重県,37.714,45.000,27.471
京都府,255.714,303.857,28.128
福岡県,520.286,614.286,29.215
沖縄県,116.429,137.143,29.632
愛知県,407.429,479.714,29.708
千葉県,674.143,791.714,30.182
岡山県,18.714,21.857,31.255
鹿児島県,8.571,10.000,31.476
福島県,60.429,69.571,34.438
群馬県,124.857,143.571,34.741
熊本県,39.143,45.000,34.795
茨城県,141.286,160.571,37.920
広島県,133.571,147.429,49.156
栃木県,48.286,53.286,49.243
香川県,25.571,28.000,53.478
青森県,22.000,23.857,59.871
高知県,67.429,72.857,62.662
福井県,112.571,121.143,66.120
山形県,62.000,66.571,68.203
大分県,56.714,60.000,86.154
山梨県,48.714,51.429,89.485
愛媛県,44.857,47.000,103.976
岐阜県,139.429,146.000,105.355
宮城県,82.429,86.143,110.086
山口県,30.429,31.571,131.596
秋田県,16.000,16.000,1000
長崎県,16.857,16.286,1000
宮崎県,17.000,17.000,1000
