都道府県,2020/04/16,2020/04/23,Td
鳥取県,1.000,2.714,4.859
富山県,49.143,116.857,5.601
鹿児島県,4.286,9.143,6.404
三重県,21.143,39.571,7.741
広島県,74.143,136.143,7.984
香川県,16.143,26.143,10.064
滋賀県,49.143,78.286,10.420
北海道,297.286,471.857,10.503
沖縄県,76.571,121.000,10.604
島根県,10.429,15.857,11.578
長野県,36.286,55.000,11.666
山形県,41.857,63.143,11.801
埼玉県,452.429,680.143,11.902
福島県,41.857,62.429,12.137
石川県,130.714,190.857,12.819
奈良県,47.714,68.571,13.380
大阪府,910.857,1307.429,13.424
東京都,2338.143,3296.000,14.131
全国,8047.857,11245.286,14.503
神奈川県,586.571,817.143,14.636
千葉県,500.429,696.857,14.654
徳島県,3.000,4.143,15.032
熊本県,29.286,40.286,15.215
佐賀県,14.429,19.571,15.916
宮城県,62.143,83.143,16.667
福岡県,405.429,535.714,17.412
兵庫県,410.857,542.143,17.498
群馬県,98.143,128.571,17.966
和歌山県,35.714,46.714,18.071
栃木県,38.000,49.571,18.252
山梨県,38.000,49.429,18.453
新潟県,45.143,58.286,18.988
茨城県,114.143,145.000,20.277
京都府,209.143,263.000,21.175
大分県,46.286,57.571,22.237
愛媛県,36.857,45.714,22.530
愛知県,344.714,421.714,24.066
福井県,95.000,114.857,25.562
山口県,25.429,30.571,26.342
静岡県,45.429,54.000,28.072
岐阜県,118.714,140.857,28.370
岡山県,16.571,19.000,35.479
高知県,60.143,68.571,36.995
長崎県,14.857,16.714,41.195
秋田県,15.286,16.000,106.241
青森県,22.000,22.000,1000
宮崎県,17.000,17.000,1000
