都道府県,2020/04/05,2020/04/12,Td
山形県,4.714,28.000,2.723
沖縄県,9.857,49.143,3.020
静岡県,8.000,31.286,3.558
福岡県,73.143,258.857,3.839
宮崎県,4.286,14.571,3.965
石川県,26.857,91.286,3.966
広島県,10.143,33.714,4.039
福島県,10.429,34.000,4.106
富山県,7.857,24.857,4.213
香川県,2.000,5.857,4.516
山梨県,10.000,28.143,4.689
宮城県,15.429,41.000,4.964
愛媛県,11.143,28.714,5.126
滋賀県,12.857,32.286,5.270
山口県,7.429,18.571,5.295
長野県,10.429,25.714,5.376
群馬県,22.857,55.429,5.477
岐阜県,35.714,84.571,5.629
神奈川県,182.286,424.429,5.741
埼玉県,137.857,320.857,5.744
佐賀県,5.286,11.714,6.097
東京都,807.000,1735.571,6.336
高知県,24.000,50.143,6.585
福井県,37.286,77.429,6.640
全国,2912.286,5983.857,6.738
栃木県,14.000,28.714,6.755
長崎県,6.429,13.000,6.890
大阪府,344.143,688.000,7.004
茨城県,46.000,89.714,7.264
岡山県,8.000,15.286,7.494
千葉県,203.143,384.429,7.607
京都府,92.000,171.857,7.765
奈良県,20.143,36.571,8.135
兵庫県,175.000,311.571,8.411
青森県,9.857,16.714,9.188
愛知県,203.000,307.000,11.730
和歌山県,21.286,32.000,11.901
秋田県,8.571,12.714,12.306
熊本県,16.429,24.143,12.604
大分県,30.429,40.571,16.866
鹿児島県,2.571,3.429,16.866
北海道,187.857,239.714,19.904
三重県,12.000,15.286,20.049
新潟県,31.571,39.714,21.146
徳島県,3.000,3.000,1000
