都道府県,2020/04/23,2020/04/30,Td
佐賀県,19.571,38.000,7.313
富山県,116.857,188.000,10.204
北海道,471.857,691.000,12.720
島根県,15.857,21.714,15.435
和歌山県,46.714,59.714,19.762
石川県,190.857,241.286,20.695
静岡県,54.000,67.000,22.493
新潟県,58.286,72.143,22.748
東京都,3296.000,4060.429,23.262
埼玉県,680.143,827.714,24.709
滋賀県,78.286,94.857,25.270
神奈川県,817.143,987.714,25.594
徳島県,4.143,5.000,25.802
全国,11245.286,13539.429,26.134
長野県,55.000,66.000,26.612
大阪府,1307.429,1559.286,27.542
京都府,263.000,309.143,30.016
岡山県,19.000,22.286,30.419
兵庫県,542.143,635.429,30.560
奈良県,68.571,79.857,31.845
福岡県,535.714,623.000,32.144
千葉県,696.857,798.571,35.613
沖縄県,121.000,138.429,36.057
愛知県,421.714,482.143,36.233
三重県,39.571,45.000,37.743
福島県,62.429,70.714,38.933
熊本県,40.286,45.571,39.357
群馬県,128.571,144.429,41.720
茨城県,145.000,161.714,44.474
青森県,22.000,24.429,46.337
鳥取県,2.714,3.000,48.480
広島県,136.143,149.429,52.109
鹿児島県,9.143,10.000,54.145
栃木県,49.571,53.429,64.753
香川県,26.143,28.000,70.700
高知県,68.571,73.286,72.974
山形県,63.143,66.857,84.887
福井県,114.857,121.429,87.209
山梨県,49.429,51.857,101.160
山口県,30.571,32.000,106.241
宮城県,83.143,86.714,115.364
大分県,57.571,60.000,117.431
岐阜県,140.857,146.429,125.080
愛媛県,45.714,47.000,174.931
秋田県,16.000,16.000,1000
長崎県,16.714,16.429,1000
宮崎県,17.000,17.000,1000
