都道府県,2020/04/10,2020/04/17,Td
島根県,1.429,11.714,2.306
香川県,3.000,19.000,2.629
広島県,22.143,87.429,3.533
富山県,16.571,55.714,4.001
群馬県,37.000,103.143,4.733
沖縄県,32.857,84.000,5.169
鳥取県,0.429,1.000,5.726
福岡県,185.571,426.000,5.839
静岡県,21.714,47.143,6.259
山形県,21.429,45.571,6.430
宮城県,32.857,66.857,6.830
滋賀県,26.286,53.429,6.840
石川県,70.429,138.714,7.158
長野県,20.429,39.000,7.504
埼玉県,259.286,485.286,7.741
岐阜県,68.000,125.143,7.955
山口県,14.714,27.000,7.993
山梨県,22.000,40.000,8.116
神奈川県,344.000,621.571,8.201
栃木県,22.571,39.714,8.587
東京都,1437.286,2465.714,8.990
全国,4948.714,8481.857,9.005
愛媛県,22.857,38.429,9.339
大阪府,572.286,955.000,9.475
兵庫県,259.714,428.286,9.700
三重県,14.143,23.286,9.731
千葉県,321.857,528.714,9.776
青森県,13.571,22.000,10.044
福島県,27.714,44.000,10.497
奈良県,31.714,50.143,10.591
茨城県,77.714,119.857,11.199
宮崎県,11.571,17.000,12.613
京都府,147.857,216.857,12.669
佐賀県,10.286,15.000,12.860
鹿児島県,3.143,4.571,12.949
福井県,67.143,97.571,12.982
高知県,42.286,61.429,12.993
北海道,218.143,313.714,13.354
熊本県,21.857,31.000,13.884
秋田県,11.571,15.714,15.855
長崎県,11.571,15.286,17.430
大分県,37.429,48.000,19.504
新潟県,36.857,46.857,20.212
愛知県,280.857,349.571,22.169
和歌山県,29.714,36.571,23.368
岡山県,13.857,16.857,24.759
徳島県,3.000,3.000,1000
