都道府県,2020/04/09,2020/04/16,Td
島根県,0.571,10.429,1.671
香川県,2.714,16.143,2.721
広島県,19.571,74.143,3.643
鳥取県,0.286,1.000,3.873
群馬県,29.286,98.143,4.012
富山県,14.714,49.143,4.024
沖縄県,27.143,76.571,4.678
福岡県,147.714,405.429,4.806
静岡県,17.571,45.429,5.108
山形県,17.714,41.857,5.643
石川県,60.143,130.714,6.250
宮城県,29.143,62.143,6.408
滋賀県,23.286,49.143,6.496
長野県,18.000,36.286,6.921
山梨県,19.000,38.000,7.000
山口県,13.000,25.429,7.232
埼玉県,231.857,452.429,7.258
岐阜県,61.143,118.714,7.313
神奈川県,305.714,586.571,7.446
栃木県,20.000,38.000,7.559
青森県,12.000,22.000,8.005
愛媛県,20.286,36.857,8.126
東京都,1292.000,2338.143,8.180
全国,4459.429,8047.857,8.218
大阪府,518.143,910.857,8.601
兵庫県,234.571,410.857,8.657
宮崎県,9.714,17.000,8.670
福島県,24.429,41.857,9.010
千葉県,294.429,500.429,9.147
奈良県,29.571,47.714,10.142
高知県,38.000,60.143,10.568
三重県,13.429,21.143,10.689
茨城県,73.143,114.143,10.903
福井県,61.143,95.000,11.011
佐賀県,9.429,14.429,11.404
京都府,137.000,209.143,11.470
鹿児島県,3.000,4.286,13.604
北海道,209.286,297.286,13.824
熊本県,20.857,29.286,14.296
長崎県,10.714,14.857,14.842
秋田県,11.143,15.286,15.349
愛知県,263.143,344.714,17.969
大分県,35.857,46.286,19.006
和歌山県,28.000,35.714,19.939
岡山県,13.000,16.571,19.989
新潟県,35.571,45.143,20.362
徳島県,3.000,3.000,1000
